,Nome,Codigo,Grupo 1 controle,Grupo 1 tratamento
0,Ouro Branco,314590.0,1.0,0
1,Congonhas,311800.0,1.0,0
2,Itabirito,313190.0,1.0,0
3,Itaú de Minas,313375.0,1.0,0
4,Pirapetinga,315110.0,1.0,0
5,Matozinhos,314110.0,0.0,0
6,Itamonte,313300.0,0.0,0
7,Sarzedo,316553.0,0.0,0
8,Arcos,310420.0,0.0,0
9,Ouro Preto,314610.0,0.0,0
10,Ijaci,313040.0,0.0,0
11,Pedro Leopoldo,314930.0,0.0,0
12,Rio Piracicaba,315570.0,0.0,0
13,Visconde do Rio Branco,317200.0,0.0,0
14,Itatiaiuçu,313370.0,0.0,0
15,Mariana,314000.0,0.0,0
16,Juatuba,313665.0,0.0,0
17,Timóteo,316870.0,0.0,0
18,João Monlevade,313620.0,0.0,0
19,Nova Lima,314480.0,0.0,0
20,Barão de Cocais,310540.0,0.0,0
21,Lagoa Santa,313760.0,0.0,0
22,Belo Oriente,310630.0,0.0,0
23,Itajubá,313240.0,0.0,0
24,Nova Serrana,314520.0,0.0,0
25,Itaúna,313380.0,0.0,0
26,Extrema,312510.0,0.0,0
27,Bela Vista de Minas,310600.0,0.0,0
28,Matias Barbosa,314080.0,0.0,0
29,Araxá,310400.0,0.0,0
30,Itabira,313170.0,0.0,0
31,Ubá,316990.0,0.0,0
32,Além Paraíba,310150.0,0.0,0
33,São José da Lapa,316295.0,0.0,0
34,Dores de Campos,312300.0,0.0,0
35,Catas Altas,311535.0,0.0,0
36,Itapeva,313360.0,0.0,0
37,Santana do Paraíso,315895.0,0.0,0
38,Cataguases,311530.0,0.0,0
39,Barroso,310590.0,0.0,0
40,Santa Rita do Sapucaí,315960.0,0.0,0
41,Tiradentes,316880.0,0.0,0
42,São Lourenço,316370.0,0.0,0
43,Araporã,310375.0,0.0,0
44,Guaxupé,312870.0,0.0,0
45,Vespasiano,317120.0,0.0,0
46,Pirapora,315120.0,0.0,0
47,Confins,311787.0,0.0,0
48,Viçosa,317130.0,0.0,0
49,Rio Acima,315480.0,0.0,0
50,Caeté,311000.0,0.0,0
51,Varginha,317070.0,0.0,0
52,Bicas,310690.0,0.0,0
53,Caxambu,311550.0,0.0,0
54,Cambuí,311060.0,0.0,0
55,Muriaé,314390.0,0.0,0
56,Santos Dumont,316070.0,0.0,0
57,Nova Era,314470.0,0.0,0
58,Pouso Alegre,315250.0,0.0,0
59,Prudente de Morais,315360.0,0.0,0
60,Sabará,315670.0,0.0,0
61,Lagoa da Prata,313720.0,0.0,0
62,Santa Bárbara,315720.0,0.0,0
63,Coronel Fabriciano,311940.0,0.0,0
64,Conselheiro Lafaiete,311830.0,0.0,0
65,Fronteira,312700.0,0.0,0
66,Ponte Nova,315210.0,0.0,0
67,São João Nepomuceno,316290.0,0.0,0
68,Poços de Caldas,315180.0,0.0,0
69,São João del Rei,316250.0,0.0,0
70,Campo Belo,311120.0,0.0,0
71,Astolfo Dutra,310460.0,0.0,0
