NOME_MUN,EXP_VIDA_AO_NASCER,MORTALIDADE_INFANTIL,IDHM,IDHM_RENDA,IDHM_LONGEVIDADE,IDHM_EDU,ANO,REND_MEDIO_FORMAL,TRANSF_PER_CAPITA_BOLSA_FAMILIA
Abadia dos Dourados,75.35,14.8,0.689,0.693,0.839,0.563,2010,,
Abaeté,75.9,14.0,0.698,0.72,0.848,0.556,2010,,
Abre Campo,74.36,16.3,0.654,0.646,0.823,0.525,2010,,
Acaiaca,74.36,16.3,0.63,0.61,0.823,0.499,2010,,
Açucena,75.66,14.3,0.61,0.595,0.844,0.451,2010,,
Água Boa,72.94,18.7,0.576,0.594,0.799,0.403,2010,,
Água Comprida,76.58,13.0,0.675,0.719,0.86,0.498,2010,,
Aguanil,75.7,14.3,0.663,0.672,0.845,0.513,2010,,
Águas Formosas,73.63,17.5,0.645,0.624,0.811,0.531,2010,,
Águas Vermelhas,73.46,17.8,0.601,0.586,0.808,0.458,2010,,
Aimorés,73.58,17.6,0.684,0.685,0.81,0.576,2010,,
Aiuruoca,77.23,12.1,0.668,0.677,0.871,0.505,2010,,
Alagoa,74.93,15.4,0.649,0.634,0.832,0.518,2010,,
Albertina,73.76,17.3,0.673,0.684,0.813,0.549,2010,,
Além Paraíba,76.43,13.2,0.726,0.713,0.857,0.626,2010,,
Alfenas,75.45,14.6,0.761,0.737,0.841,0.712,2010,,
Alfredo Vasconcelos,75.01,15.3,0.675,0.629,0.834,0.587,2010,,
Almenara,73.18,18.3,0.642,0.636,0.803,0.518,2010,,
Alpercata,74.43,16.2,0.646,0.629,0.824,0.521,2010,,
Alpinópolis,76.71,12.8,0.725,0.703,0.862,0.629,2010,,
Alterosa,75.83,14.1,0.668,0.657,0.847,0.536,2010,,
Alto Caparaó,75.54,14.5,0.661,0.666,0.842,0.514,2010,,
Alto Jequitibá,72.21,20.0,0.66,0.66,0.787,0.554,2010,,
Alto Rio Doce,74.7,15.8,0.62,0.595,0.828,0.483,2010,,
Alvarenga,72.85,18.8,0.592,0.589,0.798,0.441,2010,,
Alvinópolis,74.34,16.4,0.676,0.651,0.822,0.577,2010,,
Alvorada de Minas,72.65,19.2,0.572,0.57,0.794,0.414,2010,,
Amparo do Serra,73.63,17.5,0.641,0.616,0.811,0.528,2010,,
Andradas,77.69,11.5,0.734,0.731,0.878,0.617,2010,,
Andrelândia,74.06,16.8,0.7,0.675,0.818,0.621,2010,,
Angelândia,70.36,23.5,0.597,0.594,0.756,0.473,2010,,
Antônio Carlos,75.3,14.9,0.683,0.65,0.838,0.584,2010,,
Antônio Dias,75.93,13.9,0.645,0.624,0.849,0.507,2010,,
Antônio Prado de Minas,74.79,15.6,0.684,0.674,0.83,0.572,2010,,
Araçaí,73.28,18.1,0.695,0.659,0.805,0.632,2010,,
Aracitaba,74.37,16.3,0.661,0.608,0.823,0.577,2010,,
Araçuaí,74.27,16.5,0.663,0.633,0.821,0.56,2010,,
Araguari,77.28,11.71,0.773,0.74,0.871,0.716,2010,,
Arantina,75.05,15.2,0.697,0.633,0.834,0.641,2010,,
Araponga,70.6,23.1,0.536,0.597,0.76,0.339,2010,,
Araporã,73.78,17.3,0.708,0.676,0.813,0.646,2010,,
Arapuá,77.27,12.1,0.724,0.718,0.871,0.608,2010,,
Araújos,76.27,13.4,0.698,0.694,0.855,0.574,2010,,
Araxá,76.49,13.1,0.772,0.756,0.858,0.709,2010,,
Arceburgo,73.61,17.6,0.683,0.687,0.81,0.573,2010,,
Arcos,77.43,11.8,0.749,0.717,0.874,0.671,2010,,
Areado,75.84,14.1,0.727,0.7,0.847,0.649,2010,,
Argirita,74.0,16.9,0.643,0.645,0.817,0.505,2010,,
Aricanduva,72.22,20.0,0.582,0.553,0.787,0.454,2010,,
Arinos,73.88,17.1,0.656,0.607,0.815,0.57,2010,,
Astolfo Dutra,76.5,13.1,0.694,0.686,0.858,0.567,2010,,
Ataléia,73.77,17.3,0.588,0.592,0.813,0.423,2010,,
Augusto de Lima,73.9,17.1,0.656,0.622,0.815,0.557,2010,,
Baependi,74.97,15.4,0.681,0.664,0.833,0.57,2010,,
Baldim,72.21,20.0,0.671,0.65,0.787,0.59,2010,,
Bambuí,77.2,12.2,0.741,0.735,0.87,0.636,2010,,
Bandeira do Sul,73.14,18.4,0.692,0.681,0.802,0.608,2010,,
Bandeira,73.64,17.5,0.599,0.583,0.811,0.454,2010,,
Barão de Cocais,76.46,13.2,0.722,0.679,0.858,0.647,2010,,
Barão de Monte Alto,74.64,15.9,0.649,0.619,0.827,0.533,2010,,
Barbacena,77.88,10.53,0.769,0.751,0.881,0.687,2010,,
Barra Longa,74.36,16.3,0.624,0.613,0.823,0.482,2010,,
Barroso,76.84,12.6,0.734,0.675,0.864,0.678,2010,,
Bela Vista de Minas,72.72,19.1,0.674,0.644,0.795,0.597,2010,,
Belmiro Braga,74.81,15.6,0.66,0.653,0.83,0.531,2010,,
Belo Horizonte,76.37,12.95,0.81,0.841,0.856,0.737,2010,,
Belo Oriente,73.77,17.3,0.686,0.655,0.813,0.606,2010,,
Belo Vale,73.86,17.1,0.655,0.672,0.814,0.514,2010,,
Berilo,73.97,17.0,0.628,0.58,0.816,0.524,2010,,
Berizal,70.41,23.4,0.604,0.56,0.757,0.52,2010,,
Bertópolis,72.96,18.7,0.594,0.576,0.799,0.455,2010,,
Betim,76.82,12.68,0.749,0.709,0.864,0.687,2010,,
Bias Fortes,72.75,19.0,0.62,0.605,0.796,0.495,2010,,
Bicas,75.99,13.8,0.744,0.726,0.85,0.667,2010,,
Biquinhas,76.4,13.3,0.688,0.684,0.857,0.555,2010,,
Boa Esperança,76.28,13.4,0.704,0.694,0.855,0.587,2010,,
Bocaina de Minas,75.87,14.0,0.645,0.665,0.848,0.476,2010,,
Bocaiúva,74.29,16.4,0.7,0.648,0.822,0.644,2010,,
Bom Despacho,76.66,12.9,0.75,0.742,0.861,0.661,2010,,
Bom Jardim de Minas,74.34,16.4,0.673,0.653,0.822,0.569,2010,,
Bom Jesus da Penha,76.74,12.8,0.735,0.696,0.862,0.662,2010,,
Bom Jesus do Amparo,75.01,15.3,0.683,0.655,0.834,0.582,2010,,
Bom Jesus do Galho,73.01,18.6,0.623,0.615,0.8,0.491,2010,,
Bom Repouso,74.25,16.5,0.653,0.647,0.821,0.523,2010,,
Bom Sucesso,73.49,17.8,0.692,0.68,0.808,0.602,2010,,
Bonfim,75.01,15.3,0.637,0.669,0.834,0.464,2010,,
Bonfinópolis de Minas,72.73,19.1,0.678,0.655,0.796,0.598,2010,,
Bonito de Minas,71.57,21.2,0.537,0.514,0.776,0.388,2010,,
