ANO,NOME_MUN,GINI
2010,Abadia dos Dourados,0.4738
2010,Abaeté,0.551
2010,Abre Campo,0.5225
2010,Acaiaca,0.4821
2010,Açucena,0.4955
2010,Água Boa,0.5018
2010,Água Comprida,0.4474
2010,Aguanil,0.4662
2010,Águas Formosas,0.5774
2010,Águas Vermelhas,0.5209
2010,Aimorés,0.5328
2010,Aiuruoca,0.4888
2010,Alagoa,0.4212
2010,Albertina,0.3474
2010,Além Paraíba,0.5013
2010,Alfenas,0.5143
2010,Alfredo Vasconcelos,0.4113
2010,Almenara,0.5409
2010,Alpercata,0.4758
2010,Alpinópolis,0.47
2010,Alterosa,0.4527
2010,Alto Caparaó,0.4568
2010,Alto Jequitibá,0.5113
2010,Alto Rio Doce,0.4683
2010,Alvarenga,0.5258
2010,Alvinópolis,0.4631
2010,Alvorada de Minas,0.6221
2010,Amparo do Serra,0.4617
2010,Andradas,0.4464
2010,Andrelândia,0.5153
2010,Angelândia,0.5286
2010,Antônio Carlos,0.4795
2010,Antônio Dias,0.4887
2010,Antônio Prado de Minas,0.4705
2010,Araçaí,0.4315
2010,Aracitaba,0.4429
2010,Araçuaí,0.5748
2010,Araguari,0.4786
2010,Arantina,0.4232
2010,Araponga,0.4418
2010,Araporã,0.4183
2010,Arapuá,0.4573
2010,Araújos,0.361
2010,Araxá,0.4844
2010,Arceburgo,0.3794
2010,Arcos,0.4372
2010,Areado,0.4518
2010,Argirita,0.3892
2010,Aricanduva,0.5045
2010,Arinos,0.5531
2010,Astolfo Dutra,0.4175
2010,Ataléia,0.492
2010,Augusto de Lima,0.4268
2010,Baependi,0.5054
2010,Baldim,0.4635
2010,Bambuí,0.4924
2010,Bandeira,0.46
2010,Bandeira do Sul,0.3364
2010,Barão de Cocais,0.4317
2010,Barão de Monte Alto,0.5039
2010,Barbacena,0.5962
2010,Barra Longa,0.4878
2010,Barroso,0.4946
2010,Bela Vista de Minas,0.4125
2010,Belmiro Braga,0.4543
2010,Belo Horizonte,0.6106
2010,Belo Oriente,0.4383
2010,Belo Vale,0.4699
2010,Berilo,0.4606
2010,Berizal,0.4253
2010,Bertópolis,0.5442
2010,Betim,0.484
2010,Bias Fortes,0.4184
2010,Bicas,0.5489
2010,Biquinhas,0.4126
2010,Boa Esperança,0.4811
2010,Bocaina de Minas,0.4404
2010,Bocaiúva,0.5168
2010,Bom Despacho,0.4933
2010,Bom Jardim de Minas,0.4719
2010,Bom Jesus da Penha,0.4282
2010,Bom Jesus do Amparo,0.4577
2010,Bom Jesus do Galho,0.5047
2010,Bom Repouso,0.4503
2010,Bom Sucesso,0.4995
2010,Bonfim,0.4988
2010,Bonfinópolis de Minas,0.4784
2010,Bonito de Minas,0.5708
2010,Borda da Mata,0.4633
2010,Botelhos,0.4707
2010,Botumirim,0.4629
2010,Brás Pires,0.4487
2010,Brasilândia de Minas,0.4433
2010,Brasília de Minas,0.5418
2010,Brasópolis,0.5416
2010,Braúnas,0.5589
2010,Brumadinho,0.572
2010,Bueno Brandão,0.4456
2010,Buenópolis,0.4991
2010,Bugre,0.4376
2010,Buritis,0.572
2010,Buritizeiro,0.4269
2010,Cabeceira Grande,0.4826
2010,Cabo Verde,0.4505
2010,Cachoeira da Prata,0.4355
2010,Cachoeira de Minas,0.4677
2010,Cachoeira de Pajeú,0.523
2010,Cachoeira Dourada,0.3546
2010,Caetanópolis,0.4259
2010,Caeté,0.4649
2010,Caiana,0.421
2010,Cajuri,0.4354
2010,Caldas,0.4926
2010,Camacho,0.4607
