NOME_MUN,EXP_VIDA_AO_NASCER,MORTALIDADE_INFANTIL,IDHM,IDHM_RENDA,IDHM_LONGEVIDADE,IDHM_EDU,ANO,REND_MEDIO_FORMAL,TRANSF_PER_CAPITA_BOLSA_FAMILIA,GINI,TAXA_ALFAB,PROP_MENOS_DE_1_SM,PROP_1_A_2_SM,PROP_2_A_5_SM,PROP_5_A_10_SM,PROP_MAIS_DE_10_SM
Abadia dos Dourados,75.35,14.8,0.689,0.693,0.839,0.563,2010,,,0.4738,91.6,0.3741312086794371,0.1864722834378708,0.0713680284794033,0.0149177826750296,0.007289371079844
Abaeté,75.9,14.0,0.698,0.72,0.848,0.556,2010,,,0.551,92.0,0.3689995966115369,0.1899959661153691,0.0804255748285599,0.0235982250907624,0.009076240419524
Abre Campo,74.36,16.3,0.654,0.646,0.823,0.525,2010,,,0.5225,88.9,0.4472485103399929,0.1162811076060287,0.0456536978618997,0.0134945671223273,0.0045566070802663
Acaiaca,74.36,16.3,0.63,0.61,0.823,0.499,2010,,,0.4821,87.5,0.4277286135693215,0.1029498525073746,0.0412979351032448,0.0091445427728613,0.0011799410029498
Açucena,75.66,14.3,0.61,0.595,0.844,0.451,2010,,,0.4955,82.6,0.4131102765448958,0.1067486058950722,0.0336861272334129,0.0061454421304199,0.0015932627745533
Água Boa,72.94,18.7,0.576,0.594,0.799,0.403,2010,,,0.5018,76.3,0.4819113174323675,0.0769969585400992,0.0304946374259644,0.0062429966383864,0.0026412678085481
Água Comprida,76.58,13.0,0.675,0.719,0.86,0.498,2010,,,0.4474,92.6,0.3264393515930687,0.2353269983230855,0.1218557853549469,0.0307434320849636,0.0067076579094466
Aguanil,75.7,14.3,0.663,0.672,0.845,0.513,2010,,,0.4662,88.1,0.4370599831033511,0.1762883694733877,0.0574486060264714,0.01126443255421,0.0036609405801182
Águas Formosas,73.63,17.5,0.645,0.624,0.811,0.531,2010,,,0.5774,78.1,0.4679203539823008,0.0914888079125455,0.0414497657470067,0.0115174388339406,0.0054008328995314
Águas Vermelhas,73.46,17.8,0.601,0.586,0.808,0.458,2010,,,0.5209,75.5,0.4803791469194313,0.0695734597156398,0.026824644549763,0.0036966824644549,0.0019905213270142
Aimorés,73.58,17.6,0.684,0.685,0.81,0.576,2010,,,0.5328,86.7,0.3943806112480811,0.1510908498860306,0.073312555240266,0.020281899799972,0.0068846815834767
Aiuruoca,77.23,12.1,0.668,0.677,0.871,0.505,2010,,,0.4888,87.1,0.441317144959529,0.1620676968359087,0.0596026490066225,0.0189477557027225,0.0071743929359823
Alagoa,74.93,15.4,0.649,0.634,0.832,0.518,2010,,,0.4212,86.8,0.444023569023569,0.1224747474747474,0.0618686868686868,0.0096801346801346,0.0016835016835016
Albertina,73.76,17.3,0.673,0.684,0.813,0.549,2010,,,0.3474,89.3,0.3585719890153001,0.2938407218517065,0.0874852883483719,0.0098077677520596,0.0039231071008238
Além Paraíba,76.43,13.2,0.726,0.713,0.857,0.626,2010,,,0.5013,93.9,0.3270821472824085,0.180703928200663,0.1213958005425136,0.0315796523894042,0.0092428250895817
Alfenas,75.45,14.6,0.761,0.737,0.841,0.712,2010,,,0.5143,94.7,0.289166965720616,0.2154280632226053,0.1206565664445866,0.0349971134792716,0.0140269304582546
Alfredo Vasconcelos,75.01,15.3,0.675,0.629,0.834,0.587,2010,,,0.4113,90.9,0.4138263046408627,0.1480839591758136,0.0521856345079915,0.0075101097631426,0.0028885037550548
Almenara,73.18,18.3,0.642,0.636,0.803,0.518,2010,,,0.5409,80.0,0.4501955512099731,0.0911757516499633,0.052890491322415,0.0160107553165485,0.0051943290149107
Alpercata,74.43,16.2,0.646,0.629,0.824,0.521,2010,,,0.4758,85.7,0.3931792097065092,0.1229709788489916,0.043941629775373,0.0072142974258075,0.0011477291359239
Alpinópolis,76.71,12.8,0.725,0.703,0.862,0.629,2010,,,0.47,92.9,0.3232449297971919,0.2192199687987519,0.0960374414976599,0.021591263650546,0.0054914196567862
Alterosa,75.83,14.1,0.668,0.657,0.847,0.536,2010,,,0.4527,90.5,0.4087154416722859,0.1711901550910317,0.060856372218476,0.0115475387727579,0.0027815239379635
Alto Caparaó,75.54,14.5,0.661,0.666,0.842,0.514,2010,,,0.4568,89.8,0.4261894175188973,0.1796353935082258,0.0658070253445976,0.0131169408626056,0.0031124944419742
Alto Jequitibá,72.21,20.0,0.66,0.66,0.787,0.554,2010,,,0.5113,90.4,0.4748493764887208,0.1333893792910186,0.0601092896174863,0.0117696511139134,0.0058848255569567
Alto Rio Doce,74.7,15.8,0.62,0.595,0.828,0.483,2010,,,0.4683,86.7,0.4681669010782935,0.0929207688701359,0.0324425691514299,0.0087201125175808,0.0024378809188935
Alvarenga,72.85,18.8,0.592,0.589,0.798,0.441,2010,,,0.5258,83.7,0.4384494499738083,0.0906233630172865,0.0303823991618648,0.0049764274489261,0.001047668936616
Alvinópolis,74.34,16.4,0.676,0.651,0.822,0.577,2010,,,0.4631,89.7,0.4511385914643342,0.1377620268436133,0.049238425576836,0.0109334941939375,0.0027899261046599
Alvorada de Minas,72.65,19.2,0.572,0.57,0.794,0.414,2010,,,0.6221,81.9,0.3866476258479114,0.0792574080685469,0.0317743662977508,0.006069260978222,0.0024991074616208
Amparo do Serra,73.63,17.5,0.641,0.616,0.811,0.528,2010,,,0.4617,84.9,0.4744874715261959,0.0993166287015945,0.0394077448747152,0.0043280182232346,0.0015945330296127
Andradas,77.69,11.5,0.734,0.731,0.878,0.617,2010,,,0.4464,92.1,0.2937052278616064,0.2584362139917695,0.1211095869532083,0.0247218411827465,0.0084133516232281
Andrelândia,74.06,16.8,0.7,0.675,0.818,0.621,2010,,,0.5153,90.0,0.4131230639256547,0.131887731155543,0.0617666385055852,0.0168966488313151,0.0065709189899558
Angelândia,70.36,23.5,0.597,0.594,0.756,0.473,2010,,,0.5286,77.9,0.4573788374629889,0.0857098332554153,0.0254012778556958,0.0037400654511453,0.0012466884837151
Antônio Carlos,75.3,14.9,0.683,0.65,0.838,0.584,2010,,,0.4795,89.3,0.3777067436584863,0.1552897504640132,0.0640338214064755,0.0135079397813982,0.0037121055887811
Antônio Dias,75.93,13.9,0.645,0.624,0.849,0.507,2010,,,0.4887,85.9,0.3517581739666872,0.1360888340530536,0.049599012954966,0.0085132634176434,0.0020974706971005
Antônio Prado de Minas,74.79,15.6,0.684,0.674,0.83,0.572,2010,,,0.4705,89.8,0.464524765729585,0.1539491298527443,0.0829986613119143,0.0227576974564926,0.00334672021419
Araçaí,73.28,18.1,0.695,0.659,0.805,0.632,2010,,,0.4315,90.6,0.4182568334192882,0.1557503867973182,0.0670448684889118,0.0108303249097472,0.003094378545642
Aracitaba,74.37,16.3,0.661,0.608,0.823,0.577,2010,,,0.4429,88.4,0.4447468698965705,0.1110506260206859,0.0446379967338051,0.0027218290691344,0.0010887316276537
Araçuaí,74.27,16.5,0.663,0.633,0.821,0.56,2010,,,0.5748,84.3,0.4090579710144927,0.0969367588932806,0.0411396574440052,0.0100790513833992,0.0034914361001317
Araguari,77.28,11.71,0.773,0.74,0.871,0.716,2010,,,0.4786,95.4,0.2729835552075176,0.2303523884103367,0.140015661707126,0.0362307491516575,0.0116314278256329
Arantina,75.05,15.2,0.697,0.633,0.834,0.641,2010,,,0.4232,90.6,0.4034090909090909,0.1412337662337662,0.0746753246753246,0.0101461038961038,0.0008116883116883
Araponga,70.6,23.1,0.536,0.597,0.76,0.339,2010,,,0.4418,80.0,0.5013810146823666,0.0994330571303968,0.0296554731792411,0.0047972088966419,0.0015990696322139
Araporã,73.78,17.3,0.708,0.676,0.813,0.646,2010,,,0.4183,92.5,0.1814864605338966,0.2990205492606107,0.1110044171307854,0.0220856539274054,0.0042250816208949
Arapuá,77.27,12.1,0.724,0.718,0.871,0.608,2010,,,0.4573,92.6,0.381125961927906,0.2033211826650466,0.0785743215876873,0.0226812474686107,0.0093155123531794
Araújos,76.27,13.4,0.698,0.694,0.855,0.574,2010,,,0.361,92.6,0.3723292992678918,0.28447631854176,0.0981622590766472,0.0174809502465262,0.0029881966233378
Araxá,76.49,13.1,0.772,0.756,0.858,0.709,2010,,,0.4844,96.0,0.2537800540269646,0.2261431836794563,0.158193885907763,0.0392245541553091,0.0145334979403747
Arceburgo,73.61,17.6,0.683,0.687,0.81,0.573,2010,,,0.3794,90.0,0.3450832624285888,0.2499088367570195,0.0985778534095052,0.012519752035979,0.0048620396256229
Arcos,77.43,11.8,0.749,0.717,0.874,0.671,2010,,,0.4372,95.4,0.2965667236290197,0.2225260214385583,0.1349386360105639,0.0274040702190461,0.0086686344570452
Areado,75.84,14.1,0.727,0.7,0.847,0.649,2010,,,0.4518,93.3,0.3441438413711981,0.2129053940514199,0.0994790791463619,0.0197445807427323,0.0057973449840362
