ANO,SIGLA_UF,COD_MUN,VINCULOS_ATIVOS,VINCULOS_CLT,VINCULOS_ESTATUTARIOS,NUM_FIRMAS
2002,MG,3100104,784,547,237,203
2002,MG,3100203,2839,2186,653,1168
2002,MG,3100302,888,486,402,397
2002,MG,3100401,271,266,5,110
2002,MG,3100500,411,162,249,186
2002,MG,3100609,730,265,465,194
2002,MG,3100708,376,250,126,125
2002,MG,3100807,414,235,179,140
2002,MG,3100906,854,478,376,464
2002,MG,3101003,586,245,341,147
2002,MG,3101102,4138,4138,0,789
2002,MG,3101201,545,340,205,313
2002,MG,3101300,172,32,140,67
2002,MG,3101409,271,271,0,125
2002,MG,3101508,4906,4029,877,2194
2002,MG,3101607,12219,10678,1541,3784
2002,MG,3101631,693,579,114,182
2002,MG,3101706,2617,1740,877,1252
2002,MG,3101805,619,351,268,203
2002,MG,3101904,1654,1280,374,733
2002,MG,3102001,889,525,364,411
2002,MG,3102050,365,141,224,198
2002,MG,3102100,528,231,297,224
2002,MG,3102209,195,10,185,63
2002,MG,3102308,1841,1323,518,426
2002,MG,3102407,196,27,169,61
2002,MG,3102506,328,121,207,98
2002,MG,3102605,6077,5387,690,2073
2002,MG,3102704,564,348,216,151
2002,MG,3102803,1134,777,357,589
2002,MG,3102852,278,170,108,78
2002,MG,3102902,1168,831,337,336
2002,MG,3103009,1018,815,203,183
2002,MG,3103108,101,19,82,73
2002,MG,3103207,541,368,173,84
2002,MG,3103306,144,17,127,62
2002,MG,3103405,1838,1292,546,1068
2002,MG,3103504,13972,13744,228,4592
2002,MG,3103603,238,45,193,125
2002,MG,3103702,331,130,201,98
2002,MG,3103751,1609,1188,421,283
2002,MG,3103801,286,110,176,60
2002,MG,3103900,878,741,137,407
2002,MG,3104007,15933,13327,2606,4372
2002,MG,3104106,2007,1839,168,467
2002,MG,3104205,5437,4682,755,1909
2002,MG,3104304,980,729,251,865
2002,MG,3104403,394,212,182,126
2002,MG,3104452,161,18,143,30
2002,MG,3104502,917,532,385,530
2002,MG,3104601,2287,2115,172,530
2002,MG,3104700,744,285,459,282
2002,MG,3104809,475,313,162,167
2002,MG,3104908,2177,1842,335,918
2002,MG,3105004,842,634,208,231
2002,MG,3105103,2103,1666,437,963
2002,MG,3105202,115,37,78,84
2002,MG,3105301,272,148,124,166
2002,MG,3105400,2855,2017,838,756
2002,MG,3105509,434,211,223,207
2002,MG,3105608,21148,16831,4317,4472
2002,MG,3105707,389,175,214,189
2002,MG,3105905,2141,1603,538,752
2002,MG,3106002,566,285,281,252
2002,MG,3106101,413,317,96,136
2002,MG,3106200,927121,626622,300499,120010
2002,MG,3106309,3976,2683,1293,547
2002,MG,3106408,411,260,151,273
2002,MG,3106507,1734,1469,265,184
2002,MG,3106606,207,38,169,89
2002,MG,3106655,198,25,173,48
2002,MG,3106705,65608,56625,8983,6865
2002,MG,3106804,345,150,195,148
2002,MG,3106903,4284,3930,354,936
2002,MG,3107000,242,106,136,123
2002,MG,3107109,4156,3221,935,1981
2002,MG,3107208,287,209,78,187
2002,MG,3107307,5289,4313,976,1739
2002,MG,3107406,6790,5762,1028,2183
2002,MG,3107505,448,437,11,324
2002,MG,3107604,394,248,146,146
2002,MG,3107703,453,302,151,206
2002,MG,3107802,553,266,287,258
2002,MG,3107901,337,143,194,231
2002,MG,3108008,1849,1466,383,788
2002,MG,3108107,388,208,180,217
2002,MG,3108206,522,399,123,260
2002,MG,3108255,197,26,171,95
2002,MG,3108305,1734,1420,314,826
2002,MG,3108404,1531,1361,170,682
2002,MG,3108503,282,91,191,89
2002,MG,3108552,1070,942,128,439
2002,MG,3108602,684,464,220,796
2002,MG,3108701,183,23,160,88
2002,MG,3108800,211,211,0,78
2002,MG,3108909,1245,904,341,531
2002,MG,3109006,3728,3003,725,940
2002,MG,3109105,417,412,5,489
2002,MG,3109204,600,305,295,384
2002,MG,3109253,147,17,130,35
2002,MG,3109303,1485,1056,429,673
2002,MG,3109402,2780,2043,737,612
2002,MG,3109451,345,126,219,118
2002,MG,3109501,1580,1326,254,626
2002,MG,3109600,641,526,115,202
2002,MG,3109709,977,862,115,357
2002,MG,3109808,554,203,351,75
2002,MG,3109907,1491,1227,264,324
2002,MG,3110004,3138,2455,683,1295
2002,MG,3110103,313,62,251,91
2002,MG,3110202,253,112,141,75
2002,MG,3110301,1280,989,291,656
2002,MG,3110400,299,83,216,62
2002,MG,3110509,2610,2151,459,1103
2002,MG,3110608,3867,3307,560,1007
2002,MG,3110707,1479,1214,265,654
2002,MG,3110806,329,131,198,124
2002,MG,3110905,2313,1878,435,879
2002,MG,3111002,2125,1607,518,779
2002,MG,3111101,1829,1382,447,922
2002,MG,3111150,166,9,157,48
2002,MG,3111200,6689,5870,819,2668
2002,MG,3111309,967,463,504,339
