NOME_MUN,TAXA_ALFAB,ANO
Abadia dos Dourados,91.6,2010
Abaeté,92.0,2010
Abre Campo,88.9,2010
Acaiaca,87.5,2010
Açucena,82.6,2010
Água Boa,76.3,2010
Água Comprida,92.6,2010
Aguanil,88.1,2010
Águas Formosas,78.1,2010
Águas Vermelhas,75.5,2010
Aimorés,86.7,2010
Aiuruoca,87.1,2010
Alagoa,86.8,2010
Albertina,89.3,2010
Além Paraíba,93.9,2010
Alfenas,94.7,2010
Alfredo Vasconcelos,90.9,2010
Almenara,80.0,2010
Alpercata,85.7,2010
Alpinópolis,92.9,2010
Alterosa,90.5,2010
Alto Caparaó,89.8,2010
Alto Rio Doce,86.7,2010
Alvarenga,83.7,2010
Alvinópolis,89.7,2010
Alvorada de Minas,81.9,2010
Amparo do Serra,84.9,2010
Andradas,92.1,2010
Cachoeira de Pajeú,75.6,2010
Andrelândia,90.0,2010
Angelândia,77.9,2010
Antônio Carlos,89.3,2010
Antônio Dias,85.9,2010
Antônio Prado de Minas,89.8,2010
Araçaí,90.6,2010
Aracitaba,88.4,2010
Araçuaí,84.3,2010
Araguari,95.4,2010
Arantina,90.6,2010
Araponga,80.0,2010
Araporã,92.5,2010
Arapuá,92.6,2010
Araújos,92.6,2010
Araxá,96.0,2010
Arceburgo,90.0,2010
Arcos,95.4,2010
Areado,93.3,2010
Argirita,90.3,2010
Aricanduva,81.2,2010
Arinos,86.7,2010
Astolfo Dutra,93.5,2010
Ataléia,77.1,2010
Augusto de Lima,86.6,2010
Baependi,90.7,2010
Baldim,91.5,2010
Bambuí,93.0,2010
Bandeira,72.3,2010
Bandeira do Sul,91.2,2010
Barão de Cocais,95.7,2010
Barão do Monte Alto,85.2,2010
Barbacena,94.9,2010
Barra Longa,85.4,2010
Barroso,94.1,2010
Bela Vista de Minas,93.7,2010
Belmiro Braga,88.3,2010
Belo Horizonte,97.3,2010
Belo Oriente,89.6,2010
Belo Vale,92.2,2010
Berilo,82.0,2010
Bertópolis,72.2,2010
Berizal,77.8,2010
Betim,95.1,2010
Bias Fortes,86.4,2010
Bicas,93.8,2010
Biquinhas,89.8,2010
Boa Esperança,93.0,2010
Bocaina de Minas,83.9,2010
Bocaiúva,88.7,2010
Bom Despacho,94.6,2010
Bom Jardim de Minas,89.3,2010
Bom Jesus da Penha,89.8,2010
Bom Jesus do Amparo,90.9,2010
Bom Jesus do Galho,83.2,2010
Bom Repouso,90.1,2010
Bom Sucesso,88.8,2010
Bonfim,88.4,2010
Bonfinópolis de Minas,88.5,2010
Bonito de Minas,76.1,2010
Borda da Mata,92.3,2010
Botelhos,91.6,2010
Botumirim,85.3,2010
Brasilândia de Minas,90.6,2010
Brasília de Minas,86.2,2010
Brás Pires,87.8,2010
Braúnas,83.3,2010
Brazópolis,90.9,2010
Brumadinho,94.1,2010
Bueno Brandão,90.4,2010
Buenópolis,85.8,2010
Bugre,83.1,2010
Buritis,86.6,2010
Buritizeiro,87.6,2010
Cabeceira Grande,87.0,2010
Cabo Verde,90.4,2010
Cachoeira da Prata,96.4,2010
Cachoeira de Minas,92.1,2010
Cachoeira Dourada,88.9,2010
Caetanópolis,95.1,2010
Caeté,95.2,2010
Caiana,87.7,2010
Cajuri,89.6,2010
Caldas,92.5,2010
Camacho,87.9,2010
Camanducaia,90.2,2010
Cambuí,93.2,2010
Cambuquira,91.5,2010
Campanário,84.3,2010
Campanha,92.8,2010
Campestre,92.2,2010
Campina Verde,92.4,2010
Campo Azul,81.3,2010
Campo Belo,92.0,2010
Campo do Meio,90.8,2010
Campo Florido,92.2,2010
Campos Altos,91.0,2010
Campos Gerais,89.7,2010
Canaã,86.7,2010
Canápolis,86.6,2010
Cana Verde,88.8,2010
Candeias,87.1,2010
Cantagalo,86.0,2010
Caparaó,87.5,2010
Capela Nova,90.1,2010
Capelinha,83.5,2010
Capetinga,89.5,2010
Capim Branco,93.9,2010
Capinópolis,88.5,2010
Capitão Andrade,83.9,2010
Capitão Enéas,83.7,2010
Capitólio,93.4,2010
Caputira,88.1,2010
Caraí,76.7,2010
Caranaíba,91.8,2010
Carandaí,93.3,2010
Carangola,90.6,2010
Caratinga,91.2,2010
Carbonita,83.3,2010
Careaçu,88.3,2010
Carlos Chagas,80.0,2010
Carmésia,86.4,2010
Carmo da Cachoeira,90.9,2010
Carmo da Mata,92.4,2010
Carmo de Minas,90.4,2010
Carmo do Cajuru,94.2,2010
Carmo do Paranaíba,91.8,2010
Carmo do Rio Claro,91.8,2010
Carmópolis de Minas,95.2,2010
Carneirinho,89.2,2010
Carrancas,92.7,2010
Carvalhópolis,92.3,2010
Carvalhos,86.0,2010
Casa Grande,94.6,2010
Cascalho Rico,93.9,2010
Cássia,90.2,2010
Conceição da Barra de Minas,92.4,2010
