NOME_MUN,COD_MUN,DISTANCIA
Caeté,3110004,147.2624657698737
Barão de Cocais,3105400,152.87039262004933
Almenara,3101706,167.78316072018563
Buritis,3109303,170.152575901896
Santa Bárbara,3157203,178.3261487345464
Aimorés,3101102,185.83329462061744
Presidente Olegário,3153400,194.63241854044426
Araçuaí,3103405,196.07224181012936
Carandaí,3113206,199.42290942322882
Várzea da Palma,3170800,210.86964242850914
Lagoa Formosa,3137502,212.72760106407708
Diamantina,3121605,223.8533869361006
Mateus Leme,3140704,239.30944484407982
Raul Soares,3154002,243.76150696066108
Monte Belo,3143005,247.79434775917545
São Domingos do Prata,3161007,252.98091333624936
Congonhas,3118007,253.0138907620392
Conselheiro Pena,3118403,253.46275813303066
Matozinhos,3141108,253.94073706722344
Congonhal,3117900,258.84560598895933
Turmalina,3169703,260.1606321620116
Mantena,3139607,260.4737852124604
Santos Dumont,3160702,263.58032139899353
Jaboticatubas,3134608,268.61200555039795
Inhapim,3130903,270.4392138289214
Cachoeira de Minas,3109709,276.7458636359824
Nazareno,3144508,278.0568099878598
São Francisco de Paula,3161205,290.43027407213896
Nanuque,3144300,292.16333781310664
Itaobim,3133303,294.94900240946464
Ilicínea,3130507,295.7300036727577
Salinas,3157005,296.69261964427375
Prados,3152709,301.63077447529065
Capelinha,3112307,303.36452116607137
Estrela do Sul,3124807,304.32249011028915
Igarapé,3130101,304.44031366158424
Alterosa,3102001,306.0550586616854
Felixlândia,3125705,307.50899486645693
Itatiaiuçu,3133709,310.2910913959189
Bocaiúva,3107307,314.03327109873766
Nova Era,3144706,317.4510451690023
São Pedro dos Ferros,3164001,318.5809443390706
Corinto,3119104,319.1425241655804
Itutinga,3134509,322.6412677029837
Gouveia,3127602,323.33526254739616
Passa Tempo,3147709,324.2628764470588
Brazópolis,3108909,324.4504549575584
Brasilândia de Minas,3108552,325.2722386302413
Virgínia,3171709,326.9079187571814
Mariana,3140001,327.7418534535819
Itacarambi,3132107,327.74774508408484
Guidoval,3128808,331.95736178610343
Coimbra,3116704,332.0628120214677
Santana de Cataguases,3158409,332.0710291206915
Guapé,3128105,332.5258314189418
Maria da Fé,3139904,332.9289494254582
Antônio Carlos,3102902,334.14197140196836
Alfredo Vasconcelos,3101631,337.10168331428326
Baldim,3105004,342.9196486673061
Cordisburgo,3118908,345.74620930569995
Patrocínio do Muriaé,3148202,346.94478561284876
Espinosa,3124302,352.40760405845094
Cachoeira Dourada,3109808,354.11947518270784
Pirapetinga,3151107,357.6645223891362
Jaguaraçu,3135001,357.7459098695039
