NOME_MUN,COD_MUN,DISTANCIA
Matozinhos,3141108,89.55917820323182
Barão de Cocais,3105400,100.18409269248157
Mateus Leme,3140704,106.78415106447255
Ibiá,3129509,126.54697433310298
Vazante,3171006,131.27335866242782
Guaranésia,3128303,137.1092433814765
Juatuba,3136652,137.3726719648495
Carandaí,3113206,146.21949024846128
Itaú de Minas,3133758,150.38262987597886
Conceição das Alagoas,3117306,150.42058671009863
Barroso,3105905,151.8859805583798
Santa Vitória,3159803,157.3249015636672
Igarapé,3130101,163.65138458514772
Várzea da Palma,3170800,165.1132323428757
Rio Piracicaba,3155702,168.2955662602725
São Joaquim de Bicas,3162922,168.43496420173165
Santa Bárbara,3157203,169.10647312298883
Mariana,3140001,170.87855339338552
Paraguaçu,3147204,171.04850258734626
Pompéu,3152006,172.93680153978883
Sacramento,3156908,175.16362072591699
Paraisópolis,3147303,176.40048711218606
Itamonte,3133006,176.76364139114656
Nova Era,3144706,177.27984510883098
Sarzedo,3165537,177.8881758972877
Carmo do Cajuru,3114204,178.4286296721656
Santana do Paraíso,3158953,180.92045600104154
Coromandel,3119302,181.26461150435392
Monte Alegre de Minas,3142809,182.15512602756343
Itabirito,3131901,182.16560459946993
Aimorés,3101102,182.70332547089066
Visconde do Rio Branco,3172004,185.47895885785158
São José da Lapa,3162955,186.85036695105623
Carlos Chagas,3113701,186.94155835161902
Paraopeba,3147402,187.8793649870392
Três Marias,3169356,189.27327893866544
Camanducaia,3110509,190.528808587595
Buritis,3109303,193.133502859462
Delta,3121258,193.19265759838095
Nepomuceno,3144607,193.99526260465194
Itapagipe,3133402,195.430653576236
Campos Gerais,3111606,195.49490155439372
Cláudio,3116605,196.40581715431156
Jaíba,3135050,197.02377371435068
Bambuí,3105103,197.10436087450483
Santos Dumont,3160702,198.56283317548406
Bocaiúva,3107307,200.86620410468657
São Francisco,3161106,202.39048671771596
Astolfo Dutra,3104601,202.81497895658327
Capelinha,3112307,202.9626034869633
Espinosa,3124302,203.48294967329616
Campina Verde,3111101,203.54179251212787
Perdões,3149903,204.95485069078728
Itatiaiuçu,3133709,205.22778133404836
Porteirinha,3152204,206.5045201512483
Congonhas,3118007,206.55684784138214
Pedra Azul,3148707,208.46363506920537
Passa Quatro,3147600,210.08826840996164
Itamarandiba,3132503,211.35818033934265
Papagaios,3146909,212.0022358026199
Santa Juliana,3157708,212.97132654100943
Pitangui,3151404,215.3274528647093
Carmo do Rio Claro,3114402,215.35608454185405
Pains,3146503,216.8362444726728
Arcos,3104205,217.16663056794107
Itanhandu,3133105,222.09138930033816
Pirapetinga,3151107,222.14420970485125
Itapecerica,3133501,222.28122288446139
Cambuí,3110608,222.46730691007016
Santa Rita do Sapucaí,3159605,223.03584946664546
Conceição dos Ouros,3117801,224.98732599773737
Monte Belo,3143005,225.50363649835276
Capinópolis,3112604,226.15460306340609
Santo Antônio do Monte,3160405,227.49285011115924
Mutum,3144003,227.85508406119266
Brasília de Minas,3108602,229.38721036202293
Minas Novas,3141801,230.3495924560175
Pirapora,3151206,230.7283070841376
Conceição do Mato Dentro,3117504,231.8181266746627
Alvinópolis,3102308,232.84090513239823
Campestre,3111002,234.0125074979946
Lagoa Formosa,3137502,235.02668199152976
Monsenhor Paulo,3142601,235.402272642254
Prudente de Morais,3153608,235.4211670181578
Miraí,3142205,235.59036342726318
Campos Altos,3111507,236.56306698768242
Santo Antônio do Amparo,3159902,236.95134601626182
Martinho Campos,3140506,238.06993014425694
Esmeraldas,3124104,238.09036050474097
Corinto,3119104,238.71985977461003
Ouro Branco,3145901,239.23659226937303
São Gonçalo do Pará,3161809,239.95635130617023
Belo Oriente,3106309,240.09566147360846
Francisco Sá,3126703,240.97519528405877
Carneirinho,3114550,241.3277709210068
Canápolis,3111804,241.49361515761592
Presidente Olegário,3153400,241.87334465419022
Bom Sucesso,3108008,242.0827238355066
Poço Fundo,3151701,242.77747766765037
Perdigão,3149705,242.96407039778632
Jequitinhonha,3135803,243.00531130333496
Congonhal,3117900,243.40679473990247
Iguatama,3130309,244.006677922239
Araçuaí,3103405,245.04174069396646
Itacarambi,3132107,245.84180864101745
Alpinópolis,3101904,247.04263076482218
Carmo do Paranaíba,3114303,247.16874556867305
Rio Pardo de Minas,3155603,247.45919759794998
Dores de Campos,3123007,247.97617710999714
Extrema,3125101,249.00871089703523
Córrego Fundo,3119955,249.10907609470652
Brasilândia de Minas,3108552,249.70577415015134
Antônio Carlos,3102902,249.76387940696347
Carmópolis de Minas,3114501,250.05866742580622
Almenara,3101706,250.16433889636167
Prata,3152808,250.4549189902474
Arinos,3104502,250.86327141692175
Perdizes,3149804,251.18437885943067
Gouveia,3127602,251.39112956926527
Caetanópolis,3109907,252.52539759147712
Cabo Verde,3109501,252.83757613130607
Monte Azul,3142908,252.8431162995928
Botelhos,3108404,253.04878311257363
Muzambinho,3144102,253.31471399988902
Igaratinga,3130200,253.71551166846314
Buritizeiro,3109402,254.88244350807423
Pratápolis,3152907,255.51891662399163
Medina,3141405,255.68871887546794
Abaeté,3100203,255.78341284902024
São Tiago,3165008,256.454575425114
Conselheiro Pena,3118403,256.5210788218707
Passa Tempo,3147709,256.5679488853596
Monte Santo de Minas,3143203,256.67108799899705
Manga,3139300,257.30838788893806
Inconfidentes,3130606,257.74942892527224
Felixlândia,3125705,257.8407954637156
Lima Duarte,3138609,258.1800354525152
Guapé,3128105,258.4330997298207
São João do Paraíso,3162708,258.5678355984038
Cristina,3120508,258.9294480354308
Maravilhas,3139706,259.02868639164035
Caldas,3110301,259.4637391259702
Tocantins,3169000,259.96840057051406
Cássia,3115102,260.00846495596943
Elói Mendes,3123601,260.12871478838423
Catas Altas,3115359,260.3660510845
Ressaquinha,3154408,261.42179685612507
Ervália,3124005,262.07072336199883
Santa Rita de Caldas,3159209,262.81350931643686
São João Batista do Glória,3162203,262.8486811445359
Cachoeira de Minas,3109709,263.4736455114159
Pedralva,3149101,264.26545077027924
Conquista,3118205,264.55182022267246
Cambuquira,3110707,265.12286670872913
Rio Paranaíba,3155504,266.0595684484167
Taiobeiras,3168002,266.16819143628504
Montalvânia,3142700,266.2540475874212
Candeias,3112000,266.33472883661375
Raul Soares,3154002,266.46372813314474
Cristais,3120201,266.74514120016596
Araújos,3103900,266.79440841229655
Arceburgo,3104106,267.092895813738
Pedro Leopoldo,3149309,267.7430749138555
Coração de Jesus,3118809,268.0439063337635
Iturama,3134400,268.25622445906953
Carmo da Cachoeira,3113909,268.67001398959087
Guarani,3128402,269.0518185832357
Belo Vale,3106408,269.52059558955324
São Geraldo,3161502,269.69051148237327
Borda da Mata,3108305,269.90857382814943
Itamarati de Minas,3132602,270.1876990954165
Delfinópolis,3121209,270.60701871608853
Pouso Alto,3152600,270.61624891705253
