NOME_MUN,COD_MUN,DISTANCIA
Itabirito,3131901,44.88189673606074
Matozinhos,3141108,56.81568663804448
Barão de Cocais,3105400,59.36087545249728
Mariana,3140001,74.36948548438083
Rio Piracicaba,3155702,82.87189437925245
Mateus Leme,3140704,86.1413249419743
Vazante,3171006,94.11063184039571
Carandaí,3113206,97.12956599819397
Barroso,3105905,99.41786812340052
Santana do Paraíso,3158953,99.70094516537695
Itamonte,3133006,100.58296953610319
Ibiá,3129509,101.52346884261215
Pirapora,3151206,101.55361966782769
São José da Lapa,3162955,102.03634725553033
Delta,3121258,102.06543518528491
Itatiaiuçu,3133709,102.67773086334057
Guaranésia,3128303,104.546018544665
Sarzedo,3165537,104.99871250924467
Santa Rita do Sapucaí,3159605,105.65012675738839
Conceição das Alagoas,3117306,108.35866868165522
Arcos,3104205,109.46261897652195
Itaú de Minas,3133758,109.60989041782173
Itapagipe,3133402,111.67884229512205
Pedro Leopoldo,3149309,112.7644668348261
Nova Era,3144706,113.91247992849651
Pains,3146503,121.37711276299592
Ouro Preto,3146107,122.22791198527565
Congonhas,3118007,123.07011562281903
Pirapetinga,3151107,123.37933657439254
Santos Dumont,3160702,125.12482549614741
Coromandel,3119302,125.60766557086814
Sacramento,3156908,126.06352360645323
Visconde do Rio Branco,3172004,126.13600486128178
Catas Altas,3115359,128.76526088376278
Carmo do Cajuru,3114204,129.4082187460595
Santa Juliana,3157708,129.40998216676647
Bocaiúva,3107307,130.1042043194359
Prudente de Morais,3153608,130.25016019063224
Pedra Azul,3148707,131.11766126528534
Santa Vitória,3159803,133.46735026974497
Ressaquinha,3154408,133.82017796292854
Aimorés,3101102,134.4654327626796
Monsenhor Paulo,3142601,134.70811362906431
Congonhal,3117900,135.01121774706482
Buritis,3109303,135.19800680748486
João Monlevade,3136207,135.95904461512538
Paraisópolis,3147303,136.40915081102074
Córrego Fundo,3119955,136.61574589379052
Carlos Chagas,3113701,137.34256896726038
Monte Belo,3143005,137.4143488545148
Astolfo Dutra,3104601,138.62317275186354
Várzea da Palma,3170800,138.6997841160395
São Gonçalo do Pará,3161809,139.00601016756048
Passa Quatro,3147600,139.17660228959346
Conceição dos Ouros,3117801,140.30169323111758
Alvinópolis,3102308,141.16890344835002
Itamarati de Minas,3132602,142.25431352169488
Santa Bárbara,3157203,143.5298410687103
Passa Tempo,3147709,143.68209970489374
Antônio Carlos,3102902,143.89795120819673
Iguatama,3130309,144.43123567895276
Minas Novas,3141801,144.93825901109548
Conceição do Mato Dentro,3117504,146.22030849651202
Paraguaçu,3147204,148.43842362955036
Monte Alegre de Minas,3142809,149.60368892308517
Canápolis,3111804,149.83192662947727
Caetanópolis,3109907,150.43550820254467
Gouveia,3127602,150.59462921054782
Inconfidentes,3130606,151.76609936724918
Pedra do Indaiá,3148905,152.1345292815551
Miraí,3142205,152.13758013288694
Perdigão,3149705,152.24257449388693
São João Batista do Glória,3162203,152.31016065828777
