NOME_MUN,COD_MUN,DISTANCIA
Matozinhos,3141108,117.46870588835134
Pirapora,3151206,119.84017503930713
Barão de Cocais,3105400,132.21268946207613
Pedro Leopoldo,3149309,140.28643138477412
Itabirito,3131901,141.09794023074633
Itatiaiuçu,3133709,141.17213938719027
Arcos,3104205,141.83736216477357
Mateus Leme,3140704,151.31164331012425
Santos Dumont,3160702,156.36795680366248
Visconde do Rio Branco,3172004,168.96791363343033
Delta,3121258,173.2460534772814
Mariana,3140001,178.657765089292
Nova Serrana,3145208,179.50628242117256
Rio Piracicaba,3155702,180.82183992023573
Santa Rita do Sapucaí,3159605,183.25085454608538
Guaranésia,3128303,190.04333506389725
Pains,3146503,192.5551957616855
Itamonte,3133006,193.53945422537612
Monsenhor Paulo,3142601,196.84527347504786
Carmo do Cajuru,3114204,198.94285870178427
São José da Lapa,3162955,202.72841205048456
Congonhas,3118007,205.19498457485926
Itaú de Minas,3133758,209.320739699329
Nova Era,3144706,209.42531376079188
Santana do Paraíso,3158953,209.81180537048593
Paraisópolis,3147303,213.17961952436934
Antônio Carlos,3102902,213.71417146821625
Pedra Azul,3148707,214.1097562607131
Bocaiúva,3107307,214.8720483429269
Conceição do Mato Dentro,3117504,215.60119610202656
Ressaquinha,3154408,215.64787243313435
Passa Tempo,3147709,216.17112450691474
Barroso,3105905,217.87718209115405
Astolfo Dutra,3104601,218.19137198356003
Cristina,3120508,219.791243030088
Manga,3139300,220.97903305776907
Córrego Fundo,3119955,221.1206167472156
Cachoeira de Minas,3109709,222.21480710066382
Caetanópolis,3109907,222.48825193625538
Alvinópolis,3102308,223.3034239282551
Jequitinhonha,3135803,226.05771363623586
Belo Oriente,3106309,226.37414090841764
São Tiago,3165008,227.83951435000688
Silvianópolis,3167400,228.000957205833
Igaratinga,3130200,228.04441984835844
Catas Altas,3115359,228.33719940177255
São Gonçalo do Pará,3161809,228.71523718002203
Eugenópolis,3124906,228.8688068425306
Pirapetinga,3151107,230.840470544357
São Pedro dos Ferros,3164001,230.89241453090855
Malacacheta,3139201,231.02748622944654
Sarzedo,3165537,231.2546298221684
Porteirinha,3152204,231.49190077565095
Serrania,3166907,231.6132022127922
Congonhal,3117900,231.6374022375245
Conceição dos Ouros,3117801,232.17999348977872
Perdigão,3149705,232.71984319073897
Inhaúma,3131000,233.8741805750396
Carandaí,3113206,234.45679935384035
Pouso Alto,3152600,234.59074613156693
Pratápolis,3152907,235.77270525960316
Santa Bárbara,3157203,236.27840702500674
São Sebastião do Oeste,3164605,237.63032743669157
São João Batista do Glória,3162203,237.64444526360953
Brasilândia de Minas,3108552,237.8631514903822
São Francisco,3161106,238.09590711058922
