NOME_MUN,COD_MUN,DISTANCIA
Itabirito,3131901,94.68124952412269
Barão de Cocais,3105400,99.13795773040349
Mariana,3140001,102.3883268929467
Matozinhos,3141108,115.9333269987446
Rio Piracicaba,3155702,135.8070308919389
Mateus Leme,3140704,136.70242570580734
Pirapora,3151206,137.7023480330755
Itamonte,3133006,142.81257332452066
Ouro Preto,3146107,148.63417209374725
São José da Lapa,3162955,148.9644362076468
Congonhas,3118007,154.04790421968863
Arcos,3104205,155.0494561397906
Itaú de Minas,3133758,158.80205980418842
Pirapetinga,3151107,159.94537010572404
Nova Era,3144706,160.04672669860747
Barroso,3105905,160.95579053633764
Itatiaiuçu,3133709,164.0637469753491
Carandaí,3113206,164.44381443955638
Vazante,3171006,166.81533335532603
Sarzedo,3165537,167.3368645219877
Pedro Leopoldo,3149309,168.8749086003453
Santana do Paraíso,3158953,170.2678564728568
Guaranésia,3128303,170.30748985460627
Catas Altas,3115359,174.63452255216953
Córrego Fundo,3119955,176.5023773575365
Visconde do Rio Branco,3172004,178.40548598104618
Santa Rita do Sapucaí,3159605,180.073510972744
Pains,3146503,181.05570473774662
João Monlevade,3136207,183.42509329209298
Jaguaraçu,3135001,187.22881308154217
Santos Dumont,3160702,187.39966863096836
Carmo do Cajuru,3114204,188.045186144206
Ressaquinha,3154408,188.29072334043366
Bocaiúva,3107307,188.47598760283478
Conceição dos Ouros,3117801,190.75447018428196
São Gonçalo do Pará,3161809,190.93271371612
Astolfo Dutra,3104601,191.27103444917364
Congonhal,3117900,194.33451900256506
Itamarati de Minas,3132602,194.45542952148463
Santa Bárbara,3157203,195.92575438215775
Prudente de Morais,3153608,197.9167108775226
Várzea da Palma,3170800,199.1968758138501
Ibiá,3129509,200.83191451919038
Perdigão,3149705,202.18617186251961
Aimorés,3101102,203.7327361669544
Alvinópolis,3102308,204.04241084111504
Paraisópolis,3147303,204.1009955132867
Monsenhor Paulo,3142601,205.33569564455377
Itapagipe,3133402,206.94072222123128
Carlos Chagas,3113701,207.2760440908216
Gouveia,3127602,207.48327475403258
Camanducaia,3110509,208.4875692995086
Passa Tempo,3147709,208.84819930498242
Caetanópolis,3109907,209.14242381932883
Pedra do Indaiá,3148905,210.58271087686498
Dores de Campos,3123007,211.2123827896283
Miraí,3142205,211.5969545470173
Antônio Carlos,3102902,211.75583261071472
Paraguaçu,3147204,212.69604649123926
Pedra Azul,3148707,213.22269857744422
Conceição das Alagoas,3117306,213.49538872747797
Pequeri,3149507,214.18349734206777
Três Marias,3169356,214.54953204490835
São Geraldo,3161502,215.64778217227973
Conceição do Mato Dentro,3117504,216.01406947801343
Passa Quatro,3147600,216.37482729718178
Descoberto,3121308,218.6692190488446
Prados,3152709,219.704884386069
Guidoval,3128808,219.98534739994835
Inconfidentes,3130606,220.27071268612787
Timóteo,3168705,221.05275204349448
Conceição do Pará,3117603,221.23450594990004
Itabira,3131703,222.6460952639668
Guarará,3128501,222.79972248632282
Pouso Alto,3152600,223.45393411548346
Perdões,3149903,223.91613847504783
Itacarambi,3132107,225.22153852867183
Monte Belo,3143005,225.5652010520675
Patrocínio do Muriaé,3148202,226.25874572374022
Rochedo de Minas,3156205,226.69060038864865
Cachoeira da Prata,3109600,227.19396506553593
Serra dos Aimorés,3166709,229.91666873926914
Santa Vitória,3159803,231.567480977334
Guarani,3128402,231.99620084844494
Divisa Alegre,3122355,232.60118218057522
São João Batista do Glória,3162203,233.4030493725291
Claraval,3116407,233.464071550254
Carmópolis de Minas,3114501,233.52671989912082
Coronel Pacheco,3119609,233.5503150501244
Ijaci,3130408,233.75214495140983
Santa Rita de Minas,3159357,235.18032380699304
Igaratinga,3130200,235.9483292895971
Ewbank da Câmara,3125002,236.5204164281086
Cachoeira de Minas,3109709,237.01761703815527
Dona Euzébia,3122900,237.09079493593958
Santa Rita de Jacutinga,3159308,237.87527262133074
Volta Grande,3172103,237.88674707258423
Iguatama,3130309,238.03552966968857
Estrela Dalva,3124609,238.2016131250271
São João do Paraíso,3162708,238.4226137195107
Três Corações,3169307,238.5884774335776
Marliéria,3140308,238.97645802479582
Minas Novas,3141801,239.37528380336536
Tabuleiro,3167905,239.83053283527786
Capim Branco,3112505,240.0557260152121
Belo Vale,3106408,240.12085942743016
Taquaraçu de Minas,3168309,240.12772278769341
Sacramento,3156908,240.2629714554826
São Tiago,3165008,240.32636166115992
Minduri,3141900,240.3286412550408
Inhaúma,3131000,240.5689475797588
Cristina,3120508,240.69933617907904
Eugenópolis,3124906,240.7989865921905
Argirita,3104403,240.87203390575417
Fama,3125200,241.57329211806388
Carmo da Mata,3114006,241.62684314327504
Soledade de Minas,3167806,241.67102649481737
São Vicente de Minas,3165305,242.3930287979963
Senador Cortes,3165602,242.52654577936585
Santana do Jacaré,3158805,243.0366910933468
Laranjal,3138005,243.0827344033945
Pratápolis,3152907,243.28841974476825
Serrania,3166907,243.32265636884958
São Pedro dos Ferros,3164001,243.50246085582444
Silvianópolis,3167400,243.5405862757135
Santana do Deserto,3158607,243.88578125483562
Cambuí,3110608,243.8915580827558
Espinosa,3124302,243.92397435727455
Santo Antônio do Amparo,3159902,245.1010650050003
Guapé,3128105,245.5258487489606
Dores de Guanhães,3123106,245.59890792910193
Jequitinhonha,3135803,245.6154335186647
São Sebastião do Rio Verde,3164902,246.2349002198792
Manga,3139300,246.58525129111226
Mutum,3144003,246.96194315608386
Campo do Meio,3111309,247.31932894203112
Belo Oriente,3106309,247.52132829151387
Nepomuceno,3144607,248.19299301977114
Olímpio Noronha,3145505,248.6227096646006
Carmésia,3113800,248.64507875061548
Fernandes Tourinho,3125804,248.68760488948163
Itamarandiba,3132503,249.15271351723624
João Pinheiro,3136306,249.2883601363277
Coromandel,3119302,249.9757827159275
Malacacheta,3139201,250.0104312921999
Jaíba,3135050,250.0755219230652
Araguari,3103504,250.8056866575808
Simão Pereira,3167509,250.8121134010463
Machado,3139003,250.9948824857984
Santa Juliana,3157708,251.09851456183807
Aguanil,3100807,251.42356124532046
Santana do Garambéu,3158706,251.54082767512415
São Gonçalo do Rio Preto,3125507,251.58966906941134
Mathias Lobato,3171501,251.7428192507975
Rio Preto,3155900,251.76267766411314
Cláudio,3116605,251.85353543684025
Belmiro Braga,3106101,252.0427490241839
Ilicínea,3130507,252.28825217989223
Chiador,3116209,252.46177953148634
Paineiras,3146404,252.69870999995658
Tocantins,3169000,252.97359525711295
