NOME_MUN,COD_MUN,DISTANCIA
Matozinhos,3141108,116.88505414727123
Pirapora,3151206,120.76937601363358
Barão de Cocais,3105400,131.68282804043497
Pedro Leopoldo,3149309,140.33170284572677
Itabirito,3131901,140.4046082041442
Itatiaiuçu,3133709,141.94566575306033
Arcos,3104205,143.09345384197712
Mateus Leme,3140704,150.52446606247727
Santos Dumont,3160702,155.80615554117037
Visconde do Rio Branco,3172004,169.23116341213247
Delta,3121258,169.73185962083363
Rio Piracicaba,3155702,178.23250459715905
Nova Serrana,3145208,178.98650218319835
Mariana,3140001,179.33160474424943
Santa Rita do Sapucaí,3159605,184.17535109811558
Guaranésia,3128303,190.13696138105274
Pains,3146503,193.45425838895073
Itamonte,3133006,194.38854718862464
Monsenhor Paulo,3142601,197.08148558772098
Carmo do Cajuru,3114204,198.23404971554913
São José da Lapa,3162955,201.82942543288078
Itaú de Minas,3133758,202.27268398537666
Congonhas,3118007,206.5850492733265
Santana do Paraíso,3158953,207.78782799910408
Nova Era,3144706,209.96419947804503
Pedra Azul,3148707,211.12232898925313
Antônio Carlos,3102902,211.85466563450794
Bocaiúva,3107307,213.37960341823276
Paraisópolis,3147303,213.56802112159573
Conceição do Mato Dentro,3117504,213.75339856043453
Passa Tempo,3147709,215.4795696551232
Ressaquinha,3154408,216.73050542290176
Barroso,3105905,216.8888857331338
Astolfo Dutra,3104601,216.9147648906225
Manga,3139300,218.37339770940363
Cristina,3120508,218.82842158985338
Cachoeira de Minas,3109709,220.98689553872106
Córrego Fundo,3119955,221.55011228463434
Alvinópolis,3102308,222.524389310038
Caetanópolis,3109907,222.85171215188058
Jequitinhonha,3135803,223.12093522986004
São Tiago,3165008,226.7364938992049
São Gonçalo do Pará,3161809,226.86909119792614
Eugenópolis,3124906,227.32319717538306
Malacacheta,3139201,228.29940830841375
Porteirinha,3152204,228.3909784387398
Silvianópolis,3167400,228.48405941400426
Belo Oriente,3106309,228.51527217708332
Sarzedo,3165537,229.08958712692876
