NOME_MUN,COD_MUN,DISTANCIA
Matozinhos,3141108,118.33779265292273
Pirapora,3151206,119.73392794401153
Barão de Cocais,3105400,132.84973108532097
Arcos,3104205,138.00598825042601
Pedro Leopoldo,3149309,138.5293902949797
Itatiaiuçu,3133709,139.1628223379992
Itabirito,3131901,141.48907327805085
Mateus Leme,3140704,150.11112125073765
Santos Dumont,3160702,154.82594255854332
Visconde do Rio Branco,3172004,165.52809274158756
Delta,3121258,171.99983415863446
Nova Serrana,3145208,176.4164809868031
Mariana,3140001,178.54144790858695
Rio Piracicaba,3155702,181.83219956324632
Santa Rita do Sapucaí,3159605,182.63044940913383
Guaranésia,3128303,190.62892215926595
Itamonte,3133006,191.96916279476682
Pains,3146503,195.78122544466234
Monsenhor Paulo,3142601,196.9366490961898
Itaú de Minas,3133758,197.90081309847488
Carmo do Cajuru,3114204,197.99753896523816
Congonhas,3118007,202.31616568836156
São José da Lapa,3162955,206.50836317216172
Nova Era,3144706,207.70593913431276
Santana do Paraíso,3158953,209.68691437018538
Paraisópolis,3147303,210.04374618009643
Antônio Carlos,3102902,214.1370732214638
Pedra Azul,3148707,214.14335732597755
Bocaiúva,3107307,214.56521715797942
Conceição do Mato Dentro,3117504,214.76307441572865
Belo Oriente,3106309,216.95002461040156
Astolfo Dutra,3104601,217.3951649401413
Ressaquinha,3154408,217.5944353924666
Passa Tempo,3147709,217.63433448421492
Barroso,3105905,217.97033655408399
Cristina,3120508,220.0801606782374
Caetanópolis,3109907,220.84546321304381
Manga,3139300,220.92476663747058
Alvinópolis,3102308,223.24543610106593
Córrego Fundo,3119955,223.4094207785515
Cachoeira de Minas,3109709,223.89350153181687
Catas Altas,3115359,225.85807241558342
Jequitinhonha,3135803,225.96302476077256
Igaratinga,3130200,227.34046518648444
Silvianópolis,3167400,227.717091428347
São Tiago,3165008,227.83652110514714
Eugenópolis,3124906,228.49216327394547
São Gonçalo do Pará,3161809,230.0870985563833
Congonhal,3117900,231.01796566699707
Serrania,3166907,231.13212492501447
Porteirinha,3152204,231.16288065844304
Malacacheta,3139201,231.32450430117694
Sarzedo,3165537,231.5076871170982
São Pedro dos Ferros,3164001,231.62398868943538
Conceição dos Ouros,3117801,231.6698210095145
