NOME_MUN,COD_MUN,DISTANCIA
Barão de Cocais,3105400,123.2938696903384
Matozinhos,3141108,129.13764713477423
Mateus Leme,3140704,150.38878495791667
Juatuba,3136652,161.30812155188474
Itaú de Minas,3133758,167.4026486126761
Mariana,3140001,179.60629755754712
Vazante,3171006,184.44887092938484
Guaranésia,3128303,186.30792616642904
Barroso,3105905,192.63705868857687
Itabirito,3131901,193.19786287376616
Itamonte,3133006,196.58724133486692
Rio Piracicaba,3155702,200.71376878925741
Carandaí,3113206,202.01096398071354
Nova Era,3144706,208.75874995011597
Paraisópolis,3147303,210.61110310992626
Santa Bárbara,3157203,211.57366337425177
São Joaquim de Bicas,3162922,212.94817247853146
Ibiá,3129509,214.29294003393508
Congonhas,3118007,216.13100388156693
São José da Lapa,3162955,218.4492289921539
Sarzedo,3165537,222.72713099526823
Igarapé,3130101,223.65434722493723
Carmo do Cajuru,3114204,225.70485716533275
Várzea da Palma,3170800,225.88764566422623
Visconde do Rio Branco,3172004,229.04594986648237
Camanducaia,3110509,230.29517791158327
Pirapetinga,3151107,231.7052889696607
Paraopeba,3147402,233.08585484171215
Três Marias,3169356,233.1071575387287
Aimorés,3101102,234.4908836745124
Paraguaçu,3147204,235.10170159126613
Santana do Paraíso,3158953,237.11874656697603
Santa Vitória,3159803,238.9398967680973
Conceição das Alagoas,3117306,239.47214184917794
Itatiaiuçu,3133709,242.29746949980427
Pompéu,3152006,249.0206220102831
Pains,3146503,249.2107447735895
Carlos Chagas,3113701,250.7845326243388
Astolfo Dutra,3104601,251.6391198233867
Perdões,3149903,253.67514997152028
Arcos,3104205,255.90145915130464
Cambuí,3110608,258.460041853595
Santa Rita do Sapucaí,3159605,259.5554504665949
Pirapora,3151206,260.41905969629374
Papagaios,3146909,260.5522702135089
Cláudio,3116605,260.8035445901979
Santos Dumont,3160702,262.0527038806538
Conceição dos Ouros,3117801,265.5086266937638
Pedra Azul,3148707,268.12752403853654
Itapagipe,3133402,269.75883843055243
Córrego Fundo,3119955,269.8857905596814
Bocaiúva,3107307,270.0572232126601
Prudente de Morais,3153608,271.4873956570967
Espinosa,3124302,271.7150275440033
Pitangui,3151404,272.91116814344605
Bambuí,3105103,273.5278923638798
Passa Quatro,3147600,273.66894926100315
São Gonçalo do Pará,3161809,273.81969753548515
São Francisco,3161106,275.1025463991093
Porteirinha,3152204,275.56073450993557
Conceição do Mato Dentro,3117504,276.37665749632396
Campos Gerais,3111606,277.53321966551425
Capelinha,3112307,277.9635074592345
