NOME_MUN,COD_MUN,DISTANCIA
Buritis,3109303,138.16234823919666
Barão de Cocais,3105400,139.57949184286412
Caeté,3110004,147.1957466941531
Presidente Olegário,3153400,158.03351574661062
Almenara,3101706,161.17190751830745
Lagoa Formosa,3137502,171.27628449207273
Carandaí,3113206,172.22882322246534
Santa Bárbara,3157203,173.5719032867761
Aimorés,3101102,174.01687974827465
Araçuaí,3103405,180.6898695897595
Congonhas,3118007,203.23536061941726
Várzea da Palma,3170800,205.1439054591203
Congonhal,3117900,206.10599787078698
São Domingos do Prata,3161007,214.21927557917647
Raul Soares,3154002,217.2048798598213
Monte Belo,3143005,219.2573407038535
Turmalina,3169703,220.1082792725085
Nazareno,3144508,220.4952261995413
Diamantina,3121605,221.06147526754773
Conselheiro Pena,3118403,222.04131187623756
Matozinhos,3141108,226.31347206928254
Cachoeira de Minas,3109709,226.70414478114068
Jaboticatubas,3134608,227.60810700074913
Mateus Leme,3140704,231.2615284099857
São Francisco de Paula,3161205,232.5947420229241
Mantena,3139607,239.45475078763351
Inhapim,3130903,239.90788635296494
Prados,3152709,243.02967538436138
Estrela do Sul,3124807,243.16714069413112
Ilicínea,3130507,243.99914911971624
Santos Dumont,3160702,255.33950937155177
Itutinga,3134509,262.1318080106181
Felixlândia,3125705,262.43310571561045
São Pedro dos Ferros,3164001,262.63506156412967
Itaobim,3133303,262.75976761680994
Alterosa,3102001,263.4812314021625
Passa Tempo,3147709,266.4981161718005
Guidoval,3128808,269.71603999855614
Santana de Cataguases,3158409,271.343597461867
Virgínia,3171709,272.79836081044
Gouveia,3127602,273.0040596750583
Mariana,3140001,273.79334544524625
Itatiaiuçu,3133709,274.1457526636198
Alfredo Vasconcelos,3101631,275.9618189949283
Nanuque,3144300,277.9167831132269
Coimbra,3116704,278.66837330926455
Jaguaraçu,3135001,279.9833253481669
Brazópolis,3108909,283.4005332797387
Baldim,3105004,284.31326649743227
Antônio Carlos,3102902,284.3280432214832
Nova Era,3144706,286.72361014382614
Guapé,3128105,287.96447083637435
Patrocínio do Muriaé,3148202,288.98706203116456
Itacarambi,3132107,292.24800448382115
Maria da Fé,3139904,292.81986598602475
Augusto de Lima,3104809,294.398325785811
Igarapé,3130101,294.62777245732286
Varjão de Minas,3170750,295.5690234341981
Brasilândia de Minas,3108552,296.2633096343795
Capelinha,3112307,296.6931361264551
Salinas,3157005,297.0750826452973
Bocaiúva,3107307,297.99579897923167
São Sebastião do Rio Verde,3164902,298.73297825296396
Corinto,3119104,298.7667315601879
Cordisburgo,3118908,299.59912874625303
Cachoeira Dourada,3109808,302.05309462076366
Natércia,3144409,303.0948057441794
Ibertioga,3129400,303.2859023168817
Moeda,3142304,305.0697269539113
Indianópolis,3130705,305.3711652799424
Carvalhópolis,3114709,307.11682479972404
Lagoa Santa,3137601,308.55692128278565
Pirapetinga,3151107,309.8653072675558
Barão de Monte Alto,3105509,314.1303317764068
Dona Euzébia,3122900,315.6009385011857
Nova Módica,3144904,320.2361111712521
Guiricema,3129004,321.63117408171615
Campanário,3110806,321.6515328610451
Matutina,3141207,322.981230127427
Alvinópolis,3102308,324.52888328884006
Lajinha,3137700,325.4791134481286
Guimarânia,3128907,325.51295936117845
Espinosa,3124302,326.37959906776985
Buenópolis,3109204,326.46202934549757
Cedro do Abaeté,3115607,326.5671243560186
Catas Altas,3115359,326.58900886994036
Arinos,3104502,327.9511680437026
Itamogi,3132909,329.1983690805923
Medeiros,3141306,332.60517404002667
Oliveira Fortes,3145703,334.89627035872405
Dionísio,3121803,334.9438791613628
Silveirânia,3167301,335.7107973675406
Engenheiro Caldas,3123700,336.1214905240519
Monte Azul,3142908,339.0016095095946
Carvalhos,3114808,339.0064634508199
Bandeira do Sul,3105301,339.0143816871745
Fernandes Tourinho,3125804,340.03249443342014
Resplendor,3154309,340.97855033870235
Pimenta,3150505,341.24903708030917
Ritápolis,3156106,341.56814312657264
Santo Hipólito,3160603,341.79776607245645
Pratinha,3153004,342.9374556958443
Rio Piracicaba,3155702,345.268064917543
Teixeiras,3168507,346.36156015233234
Miradouro,3142106,348.5808843548026
Ferros,3125903,349.0554297792756
Umburatiba,3170305,349.19814397465285
Dom Cavati,3122504,349.44982222484646
Belo Vale,3106408,349.52295297792176
Campestre,3111002,350.3739860404339
Itambacuri,3132701,352.45458804303274
Iapu,3129301,353.26695562262955
Pedra do Indaiá,3148905,355.66066185165846
Santo Antônio do Amparo,3159902,356.0325900256142
São João da Mata,3162302,357.10830256813244
Caetanópolis,3109907,357.18060923756764
Piracema,3150604,358.11242265139373
Lagamar,3137106,359.7231859387905
Águas Formosas,3100906,361.58950975131677
Conceição da Aparecida,3117108,363.1042424067328
Estiva,3124500,364.35979473366604
Bonfim,3108107,365.62762094136474
Galiléia,3127305,366.08205594794526
Tabuleiro,3167905,367.4129735558551
Olaria,3145406,368.6370587445983
Santana do Jacaré,3158805,369.08324530094643
Carmópolis de Minas,3114501,369.09942518948986
Carlos Chagas,3113701,369.15114718494164
Taquaraçu de Minas,3168309,369.51457746657695
Matipó,3140902,369.9316122321279
Ressaquinha,3154408,370.1692824585436
Pedro Leopoldo,3149309,370.191314260957
Poço Fundo,3151701,370.681324434058
São José da Barra,3162948,370.7733621219826
Crucilândia,3120607,371.6520584059612
São Pedro da União,3163904,371.6816687458638
Piranguçu,3150901,372.7749262438169
Carmésia,3113800,373.59708937856095
Tarumirim,3168408,373.7526015894022
Conceição das Alagoas,3117306,375.90968113521285
Barroso,3105905,376.6809480175779
Planura,3151602,376.7373174575782
São José do Goiabal,3163409,381.80450493112613
Aracitaba,3103306,382.03202238486483
