NOME_MUN,COD_MUN,DISTANCIA
Itabirito,3131901,45.7282548571944
Matozinhos,3141108,60.002905924079705
Barão de Cocais,3105400,61.008928432994566
Juatuba,3136652,73.26351146468963
Mariana,3140001,75.18149685988655
Rio Piracicaba,3155702,84.1167875034729
Mateus Leme,3140704,87.18889885119275
São Joaquim de Bicas,3162922,88.52046559146174
Vazante,3171006,95.58051806876352
Carandaí,3113206,98.44018463433122
Barroso,3105905,100.3939041596604
Santana do Paraíso,3158953,100.91396503951623
Itamonte,3133006,101.74860327862314
Ibiá,3129509,102.76852023936266
Pirapora,3151206,103.55289394596515
Delta,3121258,104.0394700190894
São José da Lapa,3162955,104.18702472994963
Guaranésia,3128303,105.75886745699255
Sarzedo,3165537,106.28179176944073
Santa Rita do Sapucaí,3159605,106.53574054809408
Itatiaiuçu,3133709,108.67462546394944
Conceição das Alagoas,3117306,109.65293248713866
Arcos,3104205,110.66458400512164
Itaú de Minas,3133758,110.76188294833204
Itapagipe,3133402,112.45057618434262
Pedro Leopoldo,3149309,113.3179719482919
Nova Era,3144706,114.99688913236716
Pains,3146503,122.50436329998831
Pirapetinga,3151107,124.40282132117893
Congonhas,3118007,125.13398492865046
Santos Dumont,3160702,126.38381613430482
Coromandel,3119302,126.7870989472539
Visconde do Rio Branco,3172004,126.78885665941023
Ouro Preto,3146107,127.22215887978214
Sacramento,3156908,127.30601024968482
Igarapé,3130101,129.00580055895574
Catas Altas,3115359,129.65797618651126
Santa Juliana,3157708,130.65273834432148
Carmo do Cajuru,3114204,130.6678388685149
Bocaiúva,3107307,130.81704107580018
Prudente de Morais,3153608,131.43089724347806
Pedra Azul,3148707,132.09511333998978
Pompéu,3152006,132.89127076248178
Santa Vitória,3159803,134.53117490533333
Ressaquinha,3154408,134.73314841675807
Aimorés,3101102,135.57484291005514
Monsenhor Paulo,3142601,135.75995434293975
Congonhal,3117900,135.92482264683204
Buritis,3109303,136.32286088163204
Astolfo Dutra,3104601,136.8055194333557
João Monlevade,3136207,136.86925089629864
Córrego Fundo,3119955,137.45316957845773
Paraisópolis,3147303,137.53202581503706
Carlos Chagas,3113701,137.94516356345716
Monte Belo,3143005,138.52782226839406
São Gonçalo do Pará,3161809,139.36407497446058
Várzea da Palma,3170800,139.89938823833836
Conceição dos Ouros,3117801,140.27525433937393
Passa Quatro,3147600,140.30885470038316
Alvinópolis,3102308,142.08149763426871
Itamarati de Minas,3132602,143.91962855651607
Passa Tempo,3147709,144.18431062543473
Antônio Carlos,3102902,144.3069869876191
Santa Bárbara,3157203,144.67991211834675
Minas Novas,3141801,144.99045643974807
Iguatama,3130309,145.48699281241622
Paraguaçu,3147204,148.35852828981854
Papagaios,3146909,149.92200885897722
Gouveia,3127602,150.65248219054243
Monte Alegre de Minas,3142809,150.69216264450486
Canápolis,3111804,150.74114824903478
Conceição do Mato Dentro,3117504,150.95886077601887
Caetanópolis,3109907,151.3368629534317
Inconfidentes,3130606,152.03341160606368
Maravilhas,3139706,152.07965310443632
Perdigão,3149705,152.64952556779357
Mutum,3144003,152.89832246611866
Miraí,3142205,152.97692776857713
Pedra do Indaiá,3148905,153.18624460917965
São João Batista do Glória,3162203,153.44780444576242
Dores de Campos,3123007,154.89677444125908
Belo Vale,3106408,155.68157532777929
Santa Rita de Caldas,3159209,156.4714154329501
São Geraldo,3161502,157.3318990524568
Lagoa Formosa,3137502,157.91292154093836
Serra dos Aimorés,3166709,158.15659038043145
Jaguaraçu,3135001,158.52328477840564
Itamarandiba,3132503,158.57680679921236
Espinosa,3124302,159.12021400715014
Cachoeira de Minas,3109709,159.24031244767946
Cristina,3120508,159.3437268065597
Jaíba,3135050,159.3705096290013
São Sebastião do Oeste,3164605,159.42554643947867
Prados,3152709,159.58273026185282
Brasilândia de Minas,3108552,159.8273704640696
Nepomuceno,3144607,160.15647588733668
Pouso Alto,3152600,160.6366017604591
Claraval,3116407,161.32748145211747
Três Marias,3169356,161.35484123795723
Carneirinho,3114550,161.4087607841227
Jequitinhonha,3135803,162.33921040589377
Igaratinga,3130200,162.84755047538962
Itanhandu,3133105,162.85967449236938
Manga,3139300,162.93351762952724
Camanducaia,3110509,163.11447500215922
Itacarambi,3132107,163.38812991566596
Guidoval,3128808,163.40190453679116
Ouro Branco,3145901,164.00737657522836
Guapé,3128105,164.10420562095175
Arinos,3104502,164.30239010127764
Capinópolis,3112604,164.58950687304235
São Tiago,3165008,164.6568115063963
Campos Altos,3111507,165.01360569596739
Conquista,3118205,165.0985792301123
Delfinópolis,3121209,165.2369783265313
Pirajuba,3150703,165.75540357734204
Lagamar,3137106,165.8088576676378
Malacacheta,3139201,166.07998525268562
Medina,3141405,166.2035735501039
Silvianópolis,3167400,166.24603483425662
Guimarânia,3128907,166.25968448553658
João Pinheiro,3136306,166.37313906134568
Piranga,3150802,166.52410163636299
Campina Verde,3111101,166.66978184576075
Ervália,3124005,166.75911126336274
Ipaba,3131158,166.8942246179172
Felixlândia,3125705,167.2968304431372
Inhaúma,3131000,167.45569711752503
Conceição do Pará,3117603,167.56641368956707
Poço Fundo,3151701,167.7705291887971
Lagoa Dourada,3137403,167.8265308115229
Paraopeba,3147402,168.25813761358017
Campo do Meio,3111309,168.38583978982382
Ewbank da Câmara,3125002,168.82776653152484
Montalvânia,3142700,168.95390798712407
São Pedro dos Ferros,3164001,168.96810876487882
Perdões,3149903,169.23203289807992
Campos Gerais,3111606,169.4336601915509
Bambuí,3105103,169.44118863958582
São João do Paraíso,3162708,169.72836012728362
Porteirinha,3152204,169.84456663078635
Minduri,3141900,169.96899280352505
Santo Antônio do Amparo,3159902,170.1909501577997
Virgem da Lapa,3171600,170.41494875265965
Pratápolis,3152907,170.58980202277036
Eugenópolis,3124906,170.90518245681352
Fama,3125200,170.96446172989081
Divisa Alegre,3122355,171.03236935028548
São José do Alegre,3163201,171.07605380546232
Serrania,3166907,171.11860070568983
Capim Branco,3112505,171.45890736461556
Laranjal,3138005,171.54977928347301
Mário Campos,3140159,171.90843734725487
Bom Repouso,3107901,172.04057394547158
Timóteo,3168705,172.0861335125786
Coronel Pacheco,3119609,172.22567128416597
Pedralva,3149101,172.51702675355688
São João Evangelista,3162807,172.91207706742995
São Pedro da União,3163904,172.9412619590139
Coração de Jesus,3118809,172.95081611574557
Pedrinópolis,3149200,173.1251398602169
Poté,3152402,173.3740142319764
São Francisco,3161106,173.61688406928346
Santa Rita de Minas,3159357,173.8432422606192
São João do Oriente,3162609,173.9429287928661
Presidente Olegário,3153400,173.97130818558233
Soledade de Minas,3167806,174.2953443953341
Araújos,3103900,174.4776190621053
Conceição da Aparecida,3117108,174.5414487558916
Tabuleiro,3167905,174.63801514584827
Pequeri,3149507,174.9170250839468
Córrego do Bom Jesus,3119906,175.08361434461835
Rio Pardo de Minas,3155603,175.3132457384765
Limeira do Oeste,3138625,175.54354460138654
Patrocínio do Muriaé,3148202,175.92691599609108
Iraí de Minas,3131604,175.95124270665627
Paineiras,3146404,176.01940075374455
Guarani,3128402,176.10399715267835
Guarará,3128501,176.32511009052104
Matutina,3141207,176.56037530951488
Nova Resende,3145109,176.78032961437384
Capetinga,3112406,176.78716565825755
Carrancas,3114600,177.3981542825349
Virgínia,3171709,177.5225653888778
Sobrália,3167707,177.6591797041719
Santana do Jacaré,3158805,177.69809731538956
Cabo Verde,3109501,177.99940253495964
Itabira,3131703,178.28633303624397
Morada Nova de Minas,3143500,178.32785255170236
São Tomás de Aquino,3165107,178.45899794391636
Brasília de Minas,3108602,178.5839470086067
Buenópolis,3109204,178.62320907464277
Descoberto,3121308,178.86879395520435
Rodeiro,3156304,178.97270494333765
Fervedouro,3125952,179.0151219842523
Itinga,3134004,179.3566232402265
Santa Rita de Jacutinga,3159308,179.85022756862614
Desterro de Entre Rios,3121407,179.85207587814398
Carmópolis de Minas,3114501,180.4428974471771
Abadia dos Dourados,3100104,180.61558225601263
Dona Euzébia,3122900,180.74368894428602
Taquaraçu de Minas,3168309,180.7829923705308
Crucilândia,3120607,180.84218003739483
Tupaciguara,3169604,180.98164735959432
Monte Azul,3142908,181.2733409875068
Piracema,3150604,181.3338878568027
Santa Maria do Suaçuí,3158201,181.7279267242277
Juruaia,3136900,181.76793526491994
Cristais,3120201,181.8288889229928
Guiricema,3129004,182.00631068641962
Carmo do Rio Claro,3114402,182.04633180387717
São Vicente de Minas,3165305,182.18684899670603
Ilicínea,3130507,182.18688825775135
Martinho Campos,3140506,182.29354905741224
Ferros,3125903,182.35232743968004
Mirabela,3142007,182.3968628198962
Alterosa,3102001,182.39718522759495
Sabinópolis,3156809,182.64866707135843
Iapu,3129301,182.79516638716353
Arceburgo,3104106,182.9012793733533
Dores de Guanhães,3123106,183.05182352142128
Capelinha,3112307,183.071358740331
Peçanha,3148608,183.30033915058038
Machacalis,3138906,183.39732995475873
Carvalhos,3114808,183.4564075164769
São Francisco do Glória,3161403,183.5369834911374
São Tomé das Letras,3165206,183.63119163926655
Divinolândia de Minas,3122207,183.71777510818623
Carmésia,3113800,183.85348971989987
Campestre,3111002,184.05577677087504
Tarumirim,3168408,184.16298991054043
Nova Lima,3144805,184.40992509792198
Madre de Deus de Minas,3139102,184.5312345409814
Coronel Xavier Chaves,3119708,184.619191116229
São Francisco de Paula,3161205,184.7609568677193
Novo Cruzeiro,3145307,184.76370802904603
Divino,3122009,184.77414579922615
Passa Vinte,3147808,184.7905633629795
Bonfinópolis de Minas,3108206,184.84847625300986
Cachoeira da Prata,3109600,184.92831464102343
Rochedo de Minas,3156205,185.08162961331695
Iturama,3134400,185.19887795161765
Coronel Murta,3119500,185.22955495374973
Carmo da Mata,3114006,185.25956486491458
Serranos,3167004,185.58778772052648
Urucânia,3170503,185.61732016840153
Raposos,3153905,185.8020062488606
Marliéria,3140308,185.93550705440998
Coqueiral,3118700,186.146034815225
Liberdade,3138500,186.44247926466568
Cambuquira,3110707,186.47616744018188
Ubaporanga,3170057,186.51199620359822
Dionísio,3121803,186.64491281798473
Itapecerica,3133501,186.9349525326036
Santana do Garambéu,3158706,186.94666528781968
Acaiaca,3100401,187.0345117386684
Simão Pereira,3167509,187.17062720018865
Estrela Dalva,3124609,187.5998094718514
Itabirinha,3131802,187.717736679418
Carmo da Cachoeira,3113909,187.80862198218446
Salto da Divisa,3157104,188.03770592536034
Botelhos,3108404,188.12801730640604
Olímpio Noronha,3145505,188.30618379000128
Três Corações,3169307,188.33178708259072
Pocrane,3151909,188.41587346830465
Entre Folhas,3123858,188.44190963023175
Argirita,3104403,188.53408333515395
Bocaina de Minas,3107208,188.5604036735602
Caldas,3110301,188.56224504969757
Capela Nova,3112208,188.61802917184804
Belo Oriente,3106309,188.68558397391024
Pitangui,3151404,188.73874671187133
Senhora de Oliveira,3166006,188.74039691048569
Esmeraldas,3124104,188.90528881808578
Leme do Prado,3138351,189.02207916803948
Cláudio,3116605,189.0229157373101
Lamim,3137908,189.13262155213113
Candeias,3112000,189.15902980014891
Ibitiúra de Minas,3129905,189.28984871653324
Machado,3139003,189.30790580766444
Goiabeira,3127370,189.5745514070441
Águas Formosas,3100906,189.68893099037
Itamogi,3132909,189.77030438159215
Berilo,3106507,189.7799594044941
Natércia,3144409,189.81560698599418
Bom Sucesso,3108008,189.96175929597257
Mathias Lobato,3171501,190.09545890826493
São João do Manteninha,3162575,190.2207832185664
Volta Grande,3172103,190.39297338650647
Sardoá,3165503,190.4855208952916
Prata,3152808,190.50964929957752
Pimenta,3150505,190.57339103260307
Joaíma,3136009,190.6255970253426
Lagoa Grande,3137536,190.6635257230215
Centralina,3115805,190.67727401470376
Padre Paraíso,3146305,190.88722398944518
Fernandes Tourinho,3125804,190.93484301635772
Rio Manso,3155306,191.02451913861483
Corinto,3119104,191.17134838583834
São Gonçalo do Rio Abaixo,3161908,191.21217317538367
Cana Verde,3111903,191.37337084570203
Rio Paranaíba,3155504,191.4611412521832
Ritápolis,3156106,191.7957052760753
Bom Jesus da Penha,3107604,191.84716143391756
Guaraciaba,3128204,191.8812945872025
Itaverava,3133907,191.90720725043843
Ijaci,3130408,192.37363654450445
São José do Goiabal,3163409,192.38013272429626
Rio Preto,3155900,192.81126538560787
Alto Caparaó,3102050,192.91302750142995
Divino das Laranjeiras,3122108,192.95665200223567
Cruzeiro da Fortaleza,3120706,193.04106311452273
Jacinto,3134707,193.14694142932575
Santa Bárbara do Tugúrio,3157302,193.20652991637735
Brazópolis,3108909,193.25711454786665
Senhora dos Remédios,3166204,193.2720731175957
Rubim,3156601,193.37900610647907
Itambé do Mato Dentro,3132800,193.41503929786023
Mendes Pimentel,3141504,193.52377915627233
Santana dos Montes,3159100,193.6055017647097
Carmo do Paranaíba,3114303,193.61130794846005
Felisburgo,3125606,193.63384359644698
Mesquita,3141702,193.75474702680856
Nova Serrana,3145208,193.75541671564008
Riachinho,3154457,193.7805540982583
Cordisburgo,3118908,193.78422931433641
Virgolândia,3171907,193.80139377770354
Chiador,3116209,193.83537338423724
Santa Bárbara do Leste,3157252,193.83933411640388
Simonésia,3167608,194.01443499856993
Coimbra,3116704,194.25683708004368
Ibertioga,3129400,194.34303303396706
Vargem Alegre,3170578,194.42773138340638
São João da Ponte,3162401,194.47329932202754
Conselheiro Pena,3118403,194.51966926494703
Santo Antônio do Monte,3160405,194.67690251614982
Japaraíba,3135308,194.70602275896718
São Roque de Minas,3164308,194.7147906734544
Comendador Gomes,3116902,194.7731112116528
Aguanil,3100807,194.77619496619462
Campo Florido,3111408,194.83082968780576
Barra Longa,3105707,194.84452834058845
Palma,3146701,194.90963565931358
Buritizeiro,3109402,194.98350136981082
Serra do Salitre,3166808,195.01273646119748
Carvalhópolis,3114709,195.28840808733946
Paiva,3146602,195.38949145187064
Alpercata,3101805,195.42071297144645
Munhoz,3143807,195.66504912500227
Itanhomi,3133204,195.69592957189207
Bonfim,3108107,195.77389508984982
Santana do Deserto,3158607,195.7817241037975
Varzelândia,3170909,195.81693903608087
Biquinhas,3107000,195.88360151093238
São Sebastião do Rio Verde,3164902,195.91213845845036
Arapuá,3103801,196.00194834668144
Abre Campo,3100302,196.25240914015234
Jacuí,3134806,196.33297201876883
Nova Porteirinha,3145059,196.34008246061646
Perdizes,3149804,196.45788688836058
Pavão,3148509,196.46397830342616
Senador Amaral,3165578,196.59579966420142
Cachoeira Dourada,3109808,196.89301230563186
Caparaó,3112109,196.97615087437646
Pequi,3149606,197.01270159830256
Rio Doce,3155009,197.1471715827334
Passabém,3147501,197.17405183282767
Gonçalves,3127404,197.23948121976937
Bela Vista de Minas,3106002,197.3312607747527
Nova Módica,3144904,197.57187470275827
Alto Jequitibá,3153509,197.57639221462915
Heliodora,3129202,197.60575752137126
São Gonçalo do Rio Preto,3125507,197.65923975439063
Jequitaí,3135605,198.21682944538134
Piranguinho,3151008,198.2891082988435
Aiuruoca,3101201,198.31786442842855
Belmiro Braga,3106101,198.4930867713079
Araçaí,3103207,198.52274503226084
Gonzaga,3127503,198.53960512435117
Rio Vermelho,3156007,198.5915307529554
Estrela do Indaiá,3124708,198.72443301585167
Antônio Dias,3103009,198.74961556944942
Pingo-d'Água,3150539,198.76085249607036
Alfredo Vasconcelos,3101631,198.7639746978146
Queluzito,3153806,198.78231595887218
São Pedro do Suaçuí,3164100,198.8540830795111
Felício dos Santos,3125408,199.2283302791202
Dom Joaquim,3122603,199.50349763066026
Santo Antônio do Aventureiro,3160009,199.9567848472857
Inimutaba,3131109,200.051946665521
