NOME_MUN,COD_MUN,DISTANCIA
Matozinhos,3141108,128.858000542485
Pirapora,3151206,131.7381632583968
Itatiaiuçu,3133709,134.72344500397088
Barão de Cocais,3105400,136.62169895629933
Itabirito,3131901,141.54125585288602
Pedro Leopoldo,3149309,147.4675727856658
Juatuba,3136652,153.22123024714782
Arcos,3104205,154.12001958295818
Mateus Leme,3140704,159.03967078521487
Santos Dumont,3160702,168.23540579046858
São Joaquim de Bicas,3162922,170.19068308108612
Delta,3121258,173.94503957877032
Mariana,3140001,178.13737873959496
Visconde do Rio Branco,3172004,181.57598113449558
Rio Piracicaba,3155702,188.30792149726784
Nova Serrana,3145208,188.74081861064514
Pains,3146503,197.98765573615077
Santa Rita do Sapucaí,3159605,199.90675544699792
Guaranésia,3128303,200.66992009806603
Itaú de Minas,3133758,202.75543365459862
Carmo do Cajuru,3114204,202.84505197185644
Itamonte,3133006,204.76600341679097
Monsenhor Paulo,3142601,207.80204315418464
São José da Lapa,3162955,207.91145810172694
Congonhas,3118007,208.2423191936257
Ressaquinha,3154408,213.79851925048249
Nova Era,3144706,216.3606815469346
Santana do Paraíso,3158953,217.0208919706232
Antônio Carlos,3102902,217.4100299045626
Pedra Azul,3148707,217.91599055102603
Bocaiúva,3107307,220.18941947460354
Conceição do Mato Dentro,3117504,220.6272985709018
Catas Altas,3115359,221.99393530803968
Belo Oriente,3106309,222.9324220634536
Manga,3139300,223.01204284179278
Passa Tempo,3147709,223.29020160949096
Cristina,3120508,223.30619892943537
Paraisópolis,3147303,223.33441066231794
Barroso,3105905,226.00858535241997
Córrego Fundo,3119955,226.48262652516593
Astolfo Dutra,3104601,226.72418784380437
Inhaúma,3131000,227.33727431506506
Caetanópolis,3109907,229.20565330030664
Jequitinhonha,3135803,229.58641150907647
Cachoeira de Minas,3109709,230.20063032377428
Silvianópolis,3167400,230.44347883815573
São Gonçalo do Rio Abaixo,3161908,230.86004101637283
Alvinópolis,3102308,230.96533684871144
São Gonçalo do Pará,3161809,231.1947246160971
Maravilhas,3139706,231.4814224533495
Malacacheta,3139201,231.62600198667295
Eugenópolis,3124906,231.83689224582514
Igaratinga,3130200,232.06446634653497
São João Batista do Glória,3162203,232.65766433828617
São Tiago,3165008,233.79919400051716
Sarzedo,3165537,233.94495291976256
Papagaios,3146909,234.46746199479793
São Pedro dos Ferros,3164001,235.17185584136956
Perdigão,3149705,235.78319162238654
Pratápolis,3152907,236.24807796153164
Serrania,3166907,237.11072901966955
Pouso Alto,3152600,237.15035244140446
Claraval,3116407,237.63660128591232
Congonhal,3117900,238.12719406139618
Porteirinha,3152204,238.24081885370376
Itacarambi,3132107,238.534984119949
Pedra do Indaiá,3148905,239.0575236869801
Santa Bárbara,3157203,240.03702066315867
Carrancas,3114600,240.57516048852216
Conceição dos Ouros,3117801,240.79682703374326
Pirapetinga,3151107,241.05247894792532
Capetinga,3112406,241.52592393930644
São Sebastião do Oeste,3164605,242.13233485880252
Carandaí,3113206,242.14351517727675
Esmeraldas,3124104,243.0007085564763
Miraí,3142205,243.28262647749608
São Francisco,3161106,243.40385921042477
Bom Repouso,3107901,243.827512039024
Belo Vale,3106408,243.9009841499082
Paraopeba,3147402,243.9234856029168
Piracema,3150604,244.4666391998354
Brasilândia de Minas,3108552,244.54543115231795
Buenópolis,3109204,244.7060359054564
Guimarânia,3128907,244.74441285328575
Itamarati de Minas,3132602,245.3230080675922
Paineiras,3146404,246.25404977608378
Fervedouro,3125952,246.32781271387034
São Francisco de Paula,3161205,246.41834805856502
Camanducaia,3110509,246.728753850985
São João do Paraíso,3162708,247.22213763929653
Campo do Meio,3111309,247.315141703721
Santa Rita de Caldas,3159209,247.41967809110918
Inconfidentes,3130606,247.4267526830611
Aimorés,3101102,247.65219822526004
Minas Novas,3141801,247.76647538092323
Matutina,3141207,248.62486195108758
São Pedro da União,3163904,249.01307453219013
São João Evangelista,3162807,249.23204235148924
Cláudio,3116605,249.49773134613662
Guiricema,3129004,249.60783660825743
Carmópolis de Minas,3114501,250.166583447243
Piranga,3150802,250.182581792108
Espinosa,3124302,250.4994713876943
Japaraíba,3135308,251.15763760697828
Cataguases,3115300,252.13075401392817
Santa Rita de Minas,3159357,252.20894674884607
Serra dos Aimorés,3166709,252.5202918042972
Pedralva,3149101,252.71268930809316
Abadia dos Dourados,3100104,253.79475033492227
Fortaleza de Minas,3126307,253.9131993729931
Conceição do Pará,3117603,253.94634559796225
Prados,3152709,254.21564667699124
Arceburgo,3104106,254.25152959975262
Fama,3125200,254.27460458940556
Ubaporanga,3170057,254.42905730360377
Carmo da Mata,3114006,254.9732470868902
Prudente de Morais,3153608,255.81266702150782
Minduri,3141900,255.86760380250982
Ouro Preto,3146107,256.19067106192244
Lagoa Dourada,3137403,256.2565593248528
Cruzeiro da Fortaleza,3120706,257.1411446538674
Lagamar,3137106,257.2734244353366
Laranjal,3138005,257.69950476473394
Gouveia,3127602,258.9394737249104
Cana Verde,3111903,259.1182540342095
Jacuí,3134806,259.14150861694645
Guarani,3128402,259.160839929952
Brazópolis,3108909,259.30797612275455
Natércia,3144409,259.40289446229883
São Tomé das Letras,3165206,259.68613197539935
Vespasiano,3171204,259.7301952840401
Cordisburgo,3118908,259.82853455414744
Virgínia,3171709,260.51758845662414
Guidoval,3128808,261.2973036583029
Heliodora,3129202,261.4349682571979
São Geraldo,3161502,261.74733802746323
Montalvânia,3142700,262.637242941067
Dona Euzébia,3122900,262.6554870468526
Nova Porteirinha,3145059,262.73793413336006
Medina,3141405,262.7695265144056
Santa Maria do Suaçuí,3158201,262.9693441150769
Rodeiro,3156304,262.9817506200593
Novo Cruzeiro,3145307,263.196008448556
Riachinho,3154457,264.22398535094027
Madre de Deus de Minas,3139102,265.0243589605756
Jaguaraçu,3135001,265.1155128290633
Iraí de Minas,3131604,265.1163865001811
Divisa Nova,3122405,265.1627419326272
Aguanil,3100807,265.51565500377376
Três Marias,3169356,265.88224846664446
Sabinópolis,3156809,265.91540394715287
São João da Ponte,3162401,266.478607495541
Cambuí,3110608,266.559200942224
Santa Rita de Jacutinga,3159308,266.69982822335936
São Vicente de Minas,3165305,266.84165059248534
Capitão Enéas,3112703,266.94236793943736
Arantina,3103603,267.5344267092965
Pequi,3149606,268.0272437734723
Poté,3152402,268.0775583444281
Resplendor,3154309,268.20963839415174
Almenara,3101706,268.3984345035527
Tarumirim,3168408,268.6471596436422
