NOME_MUN,COD_MUN,DISTANCIA
Matozinhos,3141108,111.94702843545966
Pirapora,3151206,113.46184839666515
Barão de Cocais,3105400,127.69761874306789
Pedro Leopoldo,3149309,132.56057446828615
Arcos,3104205,132.7905534534107
Mateus Leme,3140704,138.22237121002547
Itabirito,3131901,139.2534165819503
Itatiaiuçu,3133709,140.5772772268059
Santos Dumont,3160702,144.37899013670224
Juatuba,3136652,148.17280132474528
São Joaquim de Bicas,3162922,154.3914703283305
Visconde do Rio Branco,3172004,159.63754650170313
Nova Serrana,3145208,169.53402116473012
Rio Piracicaba,3155702,171.12196406458472
Delta,3121258,174.54347424317325
Mariana,3140001,174.75353841645577
Santa Rita do Sapucaí,3159605,179.34436481410123
Itamonte,3133006,185.8482383659598
Guaranésia,3128303,186.0477977542336
Carmo do Cajuru,3114204,186.96548044393484
Pedra Azul,3148707,193.54112002065827
São José da Lapa,3162955,193.86091527570647
Santana do Paraíso,3158953,196.1719838059306
Itaú de Minas,3133758,196.68126517135772
Pains,3146503,198.79602377144792
Bocaiúva,3107307,199.35586758223883
Nova Era,3144706,199.75759688096713
Monsenhor Paulo,3142601,200.8612511151703
Conceição do Mato Dentro,3117504,200.8901025586767
Antônio Carlos,3102902,201.4249216948812
São Gonçalo do Rio Abaixo,3161908,201.585474756777
Paraisópolis,3147303,201.8433689149045
Manga,3139300,201.93986249827785
Astolfo Dutra,3104601,203.13527873649062
Congonhas,3118007,204.42600071859368
Jequitinhonha,3135803,204.5532998161559
Barroso,3105905,208.55839244523514
Porteirinha,3152204,209.21907464544557
Belo Oriente,3106309,210.20675459223406
Passa Tempo,3147709,210.74072673625983
Alvinópolis,3102308,211.34363561738354
Malacacheta,3139201,211.48605105276226
São Gonçalo do Pará,3161809,214.84059533608712
São Francisco,3161106,215.37773169365857
Conceição dos Ouros,3117801,215.8812804155875
Congonhal,3117900,216.09047437104482
Esmeraldas,3124104,217.38085158292506
Cristina,3120508,217.71136875764824
Eugenópolis,3124906,219.22035728056056
Cachoeira de Minas,3109709,220.428721175806
Miraí,3142205,221.1144168429705
Sarzedo,3165537,221.2729091285927
Caetanópolis,3109907,221.4317606242279
Maravilhas,3139706,222.2309226462495
São Tiago,3165008,222.23819571217774
Perdigão,3149705,222.94006869217122
Itacarambi,3132107,223.26326527497656
São João do Paraíso,3162708,223.3472509188785
Piranga,3150802,223.43082010465196
Minas Novas,3141801,223.49261133840997
Espinosa,3124302,224.15839688619945
Santa Bárbara,3157203,224.91649846924975
Papagaios,3146909,225.16334694579893
Ressaquinha,3154408,225.34345828282167
Córrego Fundo,3119955,225.76082118540845
Pirapetinga,3151107,226.91337171227008
Paraopeba,3147402,228.20127425568535
Cláudio,3116605,228.9320131430124
Catas Altas,3115359,229.20643607248707
São João Evangelista,3162807,229.3824484262301
Bom Repouso,3107901,231.57777608606798
Cataguases,3115300,231.64883476744384
Camanducaia,3110509,231.8637766532397
Igaratinga,3130200,232.50156199548428
Buenópolis,3109204,232.8169286835527
São Pedro dos Ferros,3164001,233.113743544641
Fervedouro,3125952,233.3930560656241
Novo Cruzeiro,3145307,233.44836665860797
Brasilândia de Minas,3108552,233.4583778697698
Pratápolis,3152907,234.14729702365054
Silvianópolis,3167400,234.30363118035876
Ubaporanga,3170057,234.32822099625702
Prados,3152709,234.37958873191903
Carandaí,3113206,234.675629716387
Gouveia,3127602,234.69596552774496
Inconfidentes,3130606,234.97666948341492
Serrania,3166907,235.40290040198175
Medina,3141405,235.52649934198985
Aimorés,3101102,235.7685570923404
São Geraldo,3161502,235.93049852960752
Montalvânia,3142700,236.34627082235068
Carmópolis de Minas,3114501,236.80044839825672
Santa Maria do Suaçuí,3158201,237.07412665934066
Guiricema,3129004,237.5813200477842
Prudente de Morais,3153608,238.11118342968135
Serra dos Aimorés,3166709,238.53208927561843
São João da Ponte,3162401,239.0880696406069
Brazópolis,3108909,239.20658744136375
Belo Vale,3106408,239.9856671922763
Inhaúma,3131000,240.87740340581658
Vespasiano,3171204,242.61863558658385
Almenara,3101706,242.91396087059536
Guarani,3128402,242.9796917267978
Poté,3152402,243.75778311972692
Pouso Alto,3152600,243.9213252192828
Carmo da Mata,3114006,243.93226727740716
Guidoval,3128808,244.16738323342057
Piracema,3150604,244.21767314429957
Santa Rita de Minas,3159357,244.25093847871082
Pedralva,3149101,244.38566441406306
Tarumirim,3168408,244.80299565164736
Cambuí,3110608,245.39233530916084
Brasília de Minas,3108602,245.4002759158346
Campo do Meio,3111309,245.59861389696778
Santa Rita de Caldas,3159209,245.73205218448032
Itamarati de Minas,3132602,246.52443600287097
Sabará,3156700,247.1510177310904
Joaíma,3136009,247.57361605397813
Serro,3167103,248.2393586220922
Laranjal,3138005,248.29498944197826
Monte Azul,3142908,248.3086205347886
Arceburgo,3104106,248.34713784214037
Capetinga,3112406,248.36969440204422
Jacinto,3134707,249.3226709831461
São Francisco de Paula,3161205,250.03406329894355
Itambacuri,3132701,250.06681111589168
Resplendor,3154309,250.67502731146894
Claraval,3116407,250.96128840288054
Cordisburgo,3118908,250.97284725328944
Capitão Enéas,3112703,251.72347260148763
Pedra do Indaiá,3148905,252.30499720927259
Sabinópolis,3156809,252.6560156145281
Dores de Campos,3123007,252.75750913050263
Ouro Preto,3146107,252.87132199270215
Virgem da Lapa,3171600,252.99790181098922
São Tomé das Letras,3165206,253.39246036728218
Lagoa Dourada,3137403,253.51088893476583
Pocrane,3151909,253.74777900249293
