NOME_MUN,COD_MUN
Caeté,3110004
Barão de Cocais,3105400
Almenara,3101706
Buritis,3109303
Santa Bárbara,3157203
Aimorés,3101102
Presidente Olegário,3153400
Araçuaí,3103405
Carandaí,3113206
Várzea da Palma,3170800
Lagoa Formosa,3137502
Diamantina,3121605
Mateus Leme,3140704
Raul Soares,3154002
Monte Belo,3143005
São Domingos do Prata,3161007
Congonhas,3118007
Conselheiro Pena,3118403
Matozinhos,3141108
Congonhal,3117900
Turmalina,3169703
Mantena,3139607
Santos Dumont,3160702
Jaboticatubas,3134608
Inhapim,3130903
Cachoeira de Minas,3109709
Nazareno,3144508
São Francisco de Paula,3161205
Nanuque,3144300
Itaobim,3133303
