NOME_MUN,COD_MUN
Barão de Cocais,3105400
Matozinhos,3141108
Mateus Leme,3140704
Itaú de Minas,3133758
Mariana,3140001
Vazante,3171006
Guaranésia,3128303
Barroso,3105905
Itabirito,3131901
Itamonte,3133006
Rio Piracicaba,3155702
Carandaí,3113206
Nova Era,3144706
Paraisópolis,3147303
Santa Bárbara,3157203
Ibiá,3129509
Congonhas,3118007
São José da Lapa,3162955
Sarzedo,3165537
Carmo do Cajuru,3114204
Várzea da Palma,3170800
Visconde do Rio Branco,3172004
Camanducaia,3110509
Pirapetinga,3151107
Três Marias,3169356
Aimorés,3101102
Paraguaçu,3147204
Santana do Paraíso,3158953
Santa Vitória,3159803
Conceição das Alagoas,3117306
