NOME_MUN,COD_MUN
Buritis,3109303
Barão de Cocais,3105400
Caeté,3110004
Presidente Olegário,3153400
Almenara,3101706
Lagoa Formosa,3137502
Carandaí,3113206
Santa Bárbara,3157203
Aimorés,3101102
Araçuaí,3103405
Congonhas,3118007
Várzea da Palma,3170800
Congonhal,3117900
São Domingos do Prata,3161007
Raul Soares,3154002
Monte Belo,3143005
Turmalina,3169703
Nazareno,3144508
Diamantina,3121605
Conselheiro Pena,3118403
Matozinhos,3141108
Cachoeira de Minas,3109709
Jaboticatubas,3134608
Mateus Leme,3140704
São Francisco de Paula,3161205
Mantena,3139607
Inhapim,3130903
Prados,3152709
Estrela do Sul,3124807
Ilicínea,3130507
