NOME_MUN,COD_MUN
Itabirito,3131901
Matozinhos,3141108
Barão de Cocais,3105400
Mariana,3140001
Rio Piracicaba,3155702
Mateus Leme,3140704
Vazante,3171006
Carandaí,3113206
Barroso,3105905
Santana do Paraíso,3158953
Itamonte,3133006
Ibiá,3129509
Pirapora,3151206
Delta,3121258
São José da Lapa,3162955
Guaranésia,3128303
Sarzedo,3165537
Santa Rita do Sapucaí,3159605
Itatiaiuçu,3133709
Conceição das Alagoas,3117306
Arcos,3104205
Itaú de Minas,3133758
Itapagipe,3133402
Pedro Leopoldo,3149309
Nova Era,3144706
Pains,3146503
Pirapetinga,3151107
Congonhas,3118007
Santos Dumont,3160702
Coromandel,3119302
