NOME_MUN,COD_MUN
Matozinhos,3141108
Pirapora,3151206
Itatiaiuçu,3133709
Barão de Cocais,3105400
Itabirito,3131901
Pedro Leopoldo,3149309
Arcos,3104205
Mateus Leme,3140704
Santos Dumont,3160702
Delta,3121258
Mariana,3140001
Visconde do Rio Branco,3172004
Rio Piracicaba,3155702
Nova Serrana,3145208
Pains,3146503
Santa Rita do Sapucaí,3159605
Guaranésia,3128303
Itaú de Minas,3133758
Carmo do Cajuru,3114204
Itamonte,3133006
Monsenhor Paulo,3142601
São José da Lapa,3162955
Congonhas,3118007
Ressaquinha,3154408
Nova Era,3144706
Santana do Paraíso,3158953
Antônio Carlos,3102902
Pedra Azul,3148707
Bocaiúva,3107307
Conceição do Mato Dentro,3117504
