NOME_MUN,COD_MUN
Matozinhos,3141108
Pirapora,3151206
Barão de Cocais,3105400
Pedro Leopoldo,3149309
Arcos,3104205
Mateus Leme,3140704
Itabirito,3131901
Itatiaiuçu,3133709
Santos Dumont,3160702
Visconde do Rio Branco,3172004
Nova Serrana,3145208
Rio Piracicaba,3155702
Delta,3121258
Mariana,3140001
Santa Rita do Sapucaí,3159605
Itamonte,3133006
Guaranésia,3128303
Carmo do Cajuru,3114204
Pedra Azul,3148707
São José da Lapa,3162955
Santana do Paraíso,3158953
Itaú de Minas,3133758
Pains,3146503
Bocaiúva,3107307
Nova Era,3144706
Monsenhor Paulo,3142601
Conceição do Mato Dentro,3117504
Antônio Carlos,3102902
São Gonçalo do Rio Abaixo,3161908
Paraisópolis,3147303
