NOME_MUN,COD_MUN
Barão de Cocais,3105400
Matozinhos,3141108
Mateus Leme,3140704
Juatuba,3136652
Itaú de Minas,3133758
Mariana,3140001
Vazante,3171006
Guaranésia,3128303
Barroso,3105905
Itabirito,3131901
Itamonte,3133006
Rio Piracicaba,3155702
Carandaí,3113206
Nova Era,3144706
Paraisópolis,3147303
Santa Bárbara,3157203
São Joaquim de Bicas,3162922
Ibiá,3129509
Congonhas,3118007
São José da Lapa,3162955
Sarzedo,3165537
Igarapé,3130101
Carmo do Cajuru,3114204
Várzea da Palma,3170800
Visconde do Rio Branco,3172004
Camanducaia,3110509
Pirapetinga,3151107
Paraopeba,3147402
Três Marias,3169356
Aimorés,3101102
