NOME_MUN,COD_MUN
Matozinhos,3141108
Pirapora,3151206
Barão de Cocais,3105400
Pedro Leopoldo,3149309
Itabirito,3131901
Itatiaiuçu,3133709
Arcos,3104205
Mateus Leme,3140704
Juatuba,3136652
Santos Dumont,3160702
São Joaquim de Bicas,3162922
Visconde do Rio Branco,3172004
Delta,3121258
Rio Piracicaba,3155702
Nova Serrana,3145208
Mariana,3140001
Santa Rita do Sapucaí,3159605
Guaranésia,3128303
Pains,3146503
Itamonte,3133006
Monsenhor Paulo,3142601
Carmo do Cajuru,3114204
São José da Lapa,3162955
Itaú de Minas,3133758
Congonhas,3118007
Santana do Paraíso,3158953
Nova Era,3144706
Pedra Azul,3148707
Antônio Carlos,3102902
Bocaiúva,3107307
