NOME_MUN,COD_MUN
Matozinhos,3141108
Pirapora,3151206
Barão de Cocais,3105400
Arcos,3104205
Pedro Leopoldo,3149309
Itatiaiuçu,3133709
Itabirito,3131901
Mateus Leme,3140704
Juatuba,3136652
Santos Dumont,3160702
São Joaquim de Bicas,3162922
Visconde do Rio Branco,3172004
Delta,3121258
Nova Serrana,3145208
Mariana,3140001
Rio Piracicaba,3155702
Santa Rita do Sapucaí,3159605
Guaranésia,3128303
Itamonte,3133006
Pains,3146503
Monsenhor Paulo,3142601
Itaú de Minas,3133758
Carmo do Cajuru,3114204
Congonhas,3118007
São José da Lapa,3162955
Nova Era,3144706
Santana do Paraíso,3158953
Paraisópolis,3147303
Antônio Carlos,3102902
Pedra Azul,3148707
