,,VINCULOS_ATIVOS,VINCULOS_ATIVOS,VINCULOS_ATIVOS,VINCULOS_ATIVOS,VINCULOS_ATIVOS,VINCULOS_ATIVOS,VINCULOS_ATIVOS,VINCULOS_ATIVOS,VINCULOS_ATIVOS,VINCULOS_ATIVOS,VINCULOS_ATIVOS,VINCULOS_ATIVOS,VINCULOS_ATIVOS,VINCULOS_ATIVOS,VINCULOS_ATIVOS,VINCULOS_ATIVOS,VINCULOS_ATIVOS,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,NUM_FIRMAS,NUM_FIRMAS,NUM_FIRMAS,NUM_FIRMAS,NUM_FIRMAS,NUM_FIRMAS,NUM_FIRMAS,NUM_FIRMAS,NUM_FIRMAS,NUM_FIRMAS,NUM_FIRMAS,NUM_FIRMAS,NUM_FIRMAS,NUM_FIRMAS,NUM_FIRMAS,NUM_FIRMAS,NUM_FIRMAS,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,IDHM_RENDA,IDHM_LONGEVIDADE,IDHM_EDU,GINI,TAXA_ALFAB,PROP_MENOS_DE_1_SM
ANO,,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2010,2010,2010,2010,2010,2010
NOME_MUN,COD_MUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abadia dos Dourados,3100104,784.0,710.0,745.0,802.0,848.0,883.0,931.0,1026.0,1058.0,1171.0,1249.0,1410.0,4571.0,2458.0,2741.0,2716.0,2178.0,5.606837476190846,5.767914063260482,5.962052937937562,6.241545709370647,6.768303185679635,6.389329425518164,6.377035915383268,6.442551233934192,6.560702076347083,6.689696676667955,6.830064183675637,7.001057156678694,7.219509765288529,7.236177441843842,7.233430719690151,7.347221941241112,7.289845417848811,3606.2,4298.33,4919.17,5814.55,6505.19,7637.37,8210.89,8427.13,9497.65,12385.35,16514.9,19907.27,27377.91,23446.96,25627.2,21944.76,18389.1,203.0,200.0,195.0,239.0,286.0,304.0,325.0,354.0,350.0,375.0,380.0,401.0,1194.0,625.0,840.0,756.0,685.0,0.0315413300186451,0.031094527363184,0.0303643724696356,0.0372448184509895,0.0446038677479725,0.0463697376449054,0.0479563228567212,0.0520205731080088,0.0522076372315035,0.0557703747769185,0.056354738247071,0.0575570546863786,0.170766590389016,0.0890947968638631,0.1193690493107858,0.1070973225669358,0.0982501434308663,6436.0,6432.0,6422.0,6417.0,6412.0,6556.0,6777.0,6805.0,6704.0,6724.0,6743.0,6967.0,6992.0,7015.0,7037.0,7059.0,6972.0,0.693,0.839,0.563,0.4738,91.6,0.3741312086794371
Abaeté,3100203,2839.0,2752.0,3036.0,3485.0,3596.0,3682.0,3606.0,3975.0,4192.0,4389.0,4499.0,4620.0,4542.0,4194.0,4077.0,4084.0,3911.0,6.060289770235476,6.161226659559676,6.234490773857769,6.287350449331199,6.405309004909876,6.467305262391058,6.556749220539203,6.637321798959014,6.717308232421662,6.778792273637034,6.921900514856831,7.027086437813541,7.071986970023726,7.168025904156266,7.2641037433041,7.343784291841216,7.394237783609896,4082.69,4730.88,5594.87,6256.2,6805.65,7508.02,8857.3,9013.79,9970.25,10935.43,11932.97,13038.79,14882.01,14429.87,18243.05,18043.93,21329.32,1168.0,1159.0,1290.0,1316.0,1364.0,1302.0,1353.0,1372.0,1561.0,1418.0,1572.0,1538.0,1551.0,1548.0,1468.0,1468.0,1437.0,0.051426558647411,0.0506666666666666,0.0555627342033854,0.0562224975434699,0.0578088578088578,0.0579336121740678,0.0583365670676497,0.0589904548972396,0.0687665198237885,0.0624229617890473,0.0691292875989445,0.0655835572043836,0.0660168553673278,0.065774378585086,0.0622719945702893,0.0621744102325187,0.0618783102958274,22712.0,22875.0,23217.0,23407.0,23595.0,22474.0,23193.0,23258.0,22700.0,22716.0,22740.0,23451.0,23494.0,23535.0,23574.0,23611.0,23223.0,0.72,0.848,0.556,0.551,92.0,0.3689995966115369
Abre Campo,3100302,888.0,881.0,906.0,1153.0,1221.0,1236.0,1346.0,1410.0,1749.0,1919.0,1521.0,1628.0,1738.0,1787.0,1586.0,1706.0,1687.0,5.934648281242245,6.058658592647592,6.135612286350818,6.157372719758859,6.3765686565256905,6.435271763462895,6.484535272651597,6.546623172235054,6.874399094950437,7.062265325201107,7.125325720904589,6.895062001444718,7.006780310573004,7.094619339844232,7.181396652804716,7.22275799457729,7.237118634652437,3476.11,3713.37,4208.53,4597.12,5156.01,5141.4,5855.41,6365.36,8024.49,11098.08,9081.3,9938.96,11316.06,13345.88,13692.0,13538.52,13932.52,397.0,403.0,421.0,450.0,471.0,497.0,524.0,543.0,561.0,589.0,597.0,670.0,683.0,711.0,713.0,741.0,739.0,0.0297645823961613,0.0302234888255587,0.0315971179825878,0.0337863202943163,0.0353789529031773,0.0386259423331001,0.0396849439563768,0.0412081657433406,0.0421455938697318,0.0442557667743632,0.0448669773034721,0.0488944026855433,0.0498140179417985,0.0518259348349005,0.0519452134634999,0.0539576203305905,0.0548830300779799,13338.0,13334.0,13324.0,13319.0,13313.0,12867.0,13204.0,13177.0,13311.0,13309.0,13306.0,13703.0,13711.0,13719.0,13726.0,13733.0,13465.0,0.646,0.823,0.525,0.5225,88.9,0.4472485103399929
Acaiaca,3100401,271.0,254.0,192.0,316.0,222.0,291.0,238.0,337.0,291.0,333.0,322.0,364.0,410.0,409.0,418.0,462.0,478.0,5.954868644188861,6.019943454295718,6.0467593350191,6.189147082655109,6.330457775321756,6.433098919652754,6.571900555364223,6.732932756759926,6.799222499909884,6.785493048790407,6.96813590540292,6.996164010896362,7.103107868308023,7.118950066769125,7.197321742806413,7.327940978044365,7.336929519132952,2457.98,3113.41,3450.54,3665.47,3576.3,3989.69,4522.26,4807.3,5718.71,6350.92,6876.64,7515.2,7686.15,7858.53,8959.87,9535.48,11089.56,110.0,108.0,104.0,111.0,106.0,102.0,95.0,101.0,107.0,112.0,111.0,108.0,117.0,102.0,105.0,105.0,104.0,0.0278340080971659,0.027128862094951,0.0257234726688102,0.0272259013980868,0.0257844806616395,0.0251479289940828,0.0225867807893485,0.023854511100614,0.0272680937818552,0.0285495794035177,0.02828025477707,0.026699629171817,0.0288888888888888,0.0251479289940828,0.0258557005663629,0.025830258302583,0.0260390585878818,3952.0,3981.0,4043.0,4077.0,4111.0,4056.0,4206.0,4234.0,3924.0,3923.0,3925.0,4045.0,4050.0,4056.0,4061.0,4065.0,3994.0,0.61,0.823,0.499,0.4821,87.5,0.4277286135693215
Aguanil,3100807,414.0,418.0,516.0,706.0,738.0,700.0,685.0,763.0,802.0,815.0,806.0,811.0,846.0,728.0,719.0,713.0,691.0,5.792132029959787,5.910125066258432,5.964111374109783,6.004857470388571,6.171632593491284,6.332414736313973,6.3743235916472045,6.501775451534113,6.561446313507698,6.716163553915783,6.837929615765451,6.875816632465584,6.958672558291922,7.097746221825119,7.126065273994303,7.291187379701764,7.44119238667203,3536.75,3997.2,4579.03,5050.4,5950.66,5811.8,5889.12,6275.01,7234.48,10079.8,9940.19,9909.98,10993.36,11225.9,14611.1,13439.21,13508.93,140.0,157.0,161.0,163.0,155.0,169.0,170.0,181.0,174.0,196.0,235.0,218.0,212.0,238.0,209.0,202.0,194.0,0.0384721077219016,0.042732716385411,0.0429447852760736,0.0429965708256396,0.0404488517745302,0.0416872224962999,0.0400188323917137,0.041946697566628,0.0429735737219066,0.0478983382209188,0.056914507144587,0.0507803400885161,0.0489381348107109,0.054462242562929,0.0474353154788924,0.0454954954954954,0.043615107913669,3639.0,3674.0,3749.0,3791.0,3832.0,4054.0,4248.0,4315.0,4049.0,4092.0,4129.0,4293.0,4332.0,4370.0,4406.0,4440.0,4448.0,0.672,0.845,0.513,0.4662,88.1,0.4370599831033511
Aimorés,3101102,4138.0,3121.0,3514.0,2913.0,2582.0,2613.0,2589.0,2865.0,3082.0,3010.0,3074.0,3082.0,3164.0,3130.0,3035.0,3092.0,2998.0,6.236631149387762,6.290693915374395,6.311662100051261,6.470797104288415,6.704319322980624,6.553316186120861,6.618711353703685,6.767752388746022,6.83081637070754,7.19164769031627,6.992786353793552,7.033784999604866,7.1555128347827175,7.292182453465475,7.386462752250114,7.450189950431957,7.477754679426938,5844.39,4865.64,5824.48,6885.27,8186.05,8573.46,8789.8,10293.63,10184.46,11670.97,13125.32,14985.86,14885.13,15472.55,15615.35,16878.22,18132.43,789.0,832.0,827.0,859.0,916.0,970.0,969.0,1022.0,983.0,1020.0,970.0,954.0,938.0,899.0,875.0,846.0,819.0,0.0317837576538833,0.0336923949137442,0.0338656838656838,0.0353949482879393,0.0379799320009951,0.0400297127764938,0.0389610389610389,0.0411681772406847,0.0393688173334935,0.0408850408850408,0.0388980230180053,0.0371567672833495,0.0365193692816819,0.0349887133182844,0.0340427187487841,0.0329042044261211,0.0325090302861906,24824.0,24694.0,24420.0,24269.0,24118.0,24232.0,24871.0,24825.0,24969.0,24948.0,24937.0,25675.0,25685.0,25694.0,25703.0,25711.0,25193.0,0.685,0.81,0.576,0.5328,86.7,0.3943806112480811
Aiuruoca,3101201,545.0,572.0,578.0,705.0,763.0,671.0,620.0,782.0,813.0,820.0,745.0,824.0,892.0,869.0,800.0,891.0,906.0,5.984077134108899,6.029173042334095,6.094812679382767,6.244729724440709,6.303330819699044,6.413189552297866,6.519790240490747,6.602040648403687,6.696286478935096,6.783755755444507,6.898819444358391,6.970595098969208,7.069861418506618,7.186179212764394,7.295443860966261,7.365043680788349,7.395297521458764,3292.88,3816.1,4484.93,5088.01,5290.22,5413.27,6380.77,6702.62,7635.25,8116.83,9013.01,10771.41,11169.5,12225.21,15853.89,14443.31,15399.39,313.0,326.0,336.0,360.0,369.0,327.0,333.0,336.0,348.0,357.0,318.0,323.0,319.0,307.0,306.0,314.0,309.0,0.0486175831003417,0.0507471980074719,0.0525492649358773,0.0564528775286184,0.0580188679245283,0.0536153467781603,0.0533739381311107,0.0541062801932367,0.0563745342621091,0.0581527936145952,0.0519947678221059,0.0514823079375199,0.0509828991529487,0.0491987179487179,0.0491645244215938,0.0505717506844902,0.0512267904509283,6438.0,6424.0,6394.0,6377.0,6360.0,6099.0,6239.0,6210.0,6173.0,6139.0,6116.0,6274.0,6257.0,6240.0,6224.0,6209.0,6032.0,0.677,0.871,0.505,0.4888,87.1,0.441317144959529
Alagoa,3101300,172.0,180.0,173.0,203.0,198.0,216.0,164.0,214.0,281.0,299.0,306.0,309.0,368.0,357.0,331.0,369.0,387.0,6.167402198642946,6.26802302164384,6.3999554300817545,6.386443737565746,6.562337702298597,6.737711166924297,6.818325400827466,6.901034835539944,7.065060064408235,7.065080518688644,7.169802532298959,7.169730707178842,7.275630170843613,7.359571251107062,7.388394603415703,7.471575581164078,7.476964651382429,2696.93,3046.5,3335.93,4039.88,4136.56,5187.23,5796.54,5800.71,6863.16,7342.14,8251.35,9735.69,10208.69,10844.8,11413.04,12890.33,13407.17,67.0,81.0,68.0,71.0,48.0,57.0,58.0,76.0,73.0,82.0,75.0,68.0,63.0,73.0,68.0,70.0,71.0,0.0238519045923816,0.0287846481876332,0.0240878498051718,0.0251060820367751,0.0169431697846805,0.0201769911504424,0.0198834418923551,0.0259740259740259,0.0269472129937246,0.0303366629670736,0.0278189910979228,0.0245664739884393,0.0227930535455861,0.0264492753623188,0.0246734397677793,0.0254360465116279,0.0264629146477823,2809.0,2814.0,2823.0,2828.0,2833.0,2825.0,2917.0,2926.0,2709.0,2703.0,2696.0,2768.0,2764.0,2760.0,2756.0,2752.0,2683.0,0.634,0.832,0.518,0.4212,86.8,0.444023569023569
