,,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_AGRO_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_IND_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_SERV_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,VA_ADM_SOBRE_VA_TOT,IDHM_RENDA,IDHM_LONGEVIDADE,IDHM_EDU,GINI,TAXA_ALFAB,PROP_MENOS_DE_1_SM,PROP_1_A_2_SM,PROP_2_A_5_SM,PROP_5_A_10_SM,PROP_MAIS_DE_10_SM
ANO,,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010
NOME_MUN,COD_MUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abadia dos Dourados,3100104,272.2817773437501,319.86980808080745,388.40668112798295,513.6518541300528,869.8346931137726,595.4571474103577,588.1817009493662,628.0069504071056,706.7677253521119,804.0783194355346,925.2501965317916,1097.79308449974,1365.8193245152197,1388.7751378384992,1384.9657924026144,1551.879321944809,1465.3441636423656,3606.2,4298.33,4919.17,5814.55,6505.19,7637.37,8210.89,8427.13,9497.65,12385.35,16514.9,19907.27,27377.91,23446.96,25627.2,21944.76,18389.1,6436.0,6432.0,6422.0,6417.0,6412.0,6556.0,6777.0,6805.0,6704.0,6724.0,6743.0,6967.0,6992.0,7015.0,7037.0,7059.0,6972.0,0.3046483696868238,0.3416148141052476,0.3768593603827388,0.33158445286382,0.3313807985982963,0.3472359446262206,0.3676661080535506,0.3684629234451421,0.3419414719479863,0.3361265172929233,0.2751392320281775,0.2894512021384035,0.2250046312457263,0.2756849823738779,0.3027800368008457,0.2330542718508719,0.264287576418289,0.1086444347691506,0.1163631962024782,0.0976400298175607,0.1096896215383269,0.115351038608016,0.0864932043044806,0.089290605777837,0.0843027724825063,0.0967684267558897,0.1214974885655517,0.1561356779697155,0.1898406958382697,0.2766718264125984,0.1681175215504446,0.1549677191676234,0.1480946944215641,0.0966410529316327,0.2764060987655552,0.2609156722534338,0.2656281606160913,0.3022322806563304,0.2955812973997664,0.3173937671014251,0.2775365352021481,0.2799240964304864,0.2814982677708375,0.3028702060354848,0.3712722825925327,0.3359944588215733,0.3575722431946148,0.3755961838744585,0.3745250137315408,0.3998753884863935,0.367476164598076,0.3103011425269434,0.2811063558168741,0.2598724491836092,0.2564936160316994,0.2576868913991697,0.2488770839678736,0.2655067509664641,0.2673102076418651,0.2797918501350205,0.2395057881060401,0.1974528074095742,0.1847136510651501,0.1407512936243037,0.1806013122012189,0.1677272362714583,0.2189756452411703,0.2715952060520022,0.693,0.839,0.563,0.4738,91.6,0.3741312086794371,0.1864722834378708,0.0713680284794033,0.0149177826750296,0.007289371079844
Abaeté,3100203,428.4995852968901,474.0091662364478,510.04082618510125,537.7267058108935,605.0487328244278,643.7466592121098,703.9794888231413,763.0486562870194,826.5895273287181,879.0064834855933,1014.2457531111424,1126.7429874033778,1178.4873284207508,1297.2811160928666,1428.1051052455737,1546.5536640419946,1626.584641515596,4082.69,4730.88,5594.87,6256.2,6805.65,7508.02,8857.3,9013.79,9970.25,10935.43,11932.97,13038.79,14882.01,14429.87,18243.05,18043.93,21329.32,22712.0,22875.0,23217.0,23407.0,23595.0,22474.0,23193.0,23258.0,22700.0,22716.0,22740.0,23451.0,23494.0,23535.0,23574.0,23611.0,23223.0,0.179076826381998,0.1930462637706005,0.1931121648139415,0.17287409145139,0.1543320488127859,0.1926040361380246,0.2250228617615776,0.1651779452589685,0.1531485673089722,0.1684175178644504,0.1401666685080486,0.1577995850444447,0.1550060416708291,0.142970592811584,0.2828214557147437,0.2420831555643203,0.2159611869164462,0.1005963682429022,0.1064460697344751,0.148729843465102,0.1709929262064083,0.1234877245284997,0.0731500665199451,0.1091468168489297,0.1441457106749259,0.1474171537807451,0.1470860734627815,0.1293230119209631,0.104347292739029,0.1314214433159639,0.0811041290573532,0.0769184181044358,0.0771222753558118,0.126943085170524,0.4566424071023314,0.4626309270987565,0.4409224431398542,0.4389853219982328,0.4906830889164124,0.4889423056108319,0.4321579857499873,0.4512866451400245,0.4527840464035818,0.4510869556930368,0.4894475185297885,0.5000542175659942,0.491911088339014,0.5220242127185986,0.4266704152968285,0.4530437024017165,0.449097508458855,0.2636843865370707,0.2378767293085086,0.2172355485811022,0.2171476528480025,0.2314971308889914,0.2453035917311983,0.2336723356395054,0.239389698926081,0.2466502325067009,0.2334094529797313,0.2410627970396451,0.2377989046505319,0.2216614266741928,0.2539010654124641,0.2135897108839919,0.2277508641602806,0.2079982194541747,0.72,0.848,0.556,0.551,92.0,0.3689995966115369,0.1899959661153691,0.0804255748285599,0.0235982250907624,0.009076240419524
Abre Campo,3100302,377.907055793991,427.8011961301669,462.0218971332205,472.18587912087895,587.9069320388355,623.451991315136,654.9345275181723,696.8869289202385,967.1939991711546,1167.0860028001402,1243.0529894660356,987.386942333484,1104.093936440678,1205.4634042553196,1314.743216348288,1370.263032031593,1390.0828583230086,3476.11,3713.37,4208.53,4597.12,5156.01,5141.4,5855.41,6365.36,8024.49,11098.08,9081.3,9938.96,11316.06,13345.88,13692.0,13538.52,13932.52,13338.0,13334.0,13324.0,13319.0,13313.0,12867.0,13204.0,13177.0,13311.0,13309.0,13306.0,13703.0,13711.0,13719.0,13726.0,13733.0,13465.0,0.3010222229095464,0.2537968652510707,0.2514754641047834,0.2961469762033282,0.2546516670944951,0.2413715207093326,0.2270070601532192,0.2331253711273557,0.2066560963166136,0.2529643532584052,0.2529283027462118,0.1800711740189805,0.1885558188670026,0.2108000013400651,0.2465886832692279,0.1746105853966812,0.1545810157252237,0.0549501952766236,0.0454570402846583,0.0388518815329466,0.0455661405627678,0.0492735759880437,0.0444610209581418,0.0364935886325587,0.048188075184069,0.1441949462835703,0.1957573380961229,0.0600045420940418,0.0490339645335386,0.0572140998531049,0.0667565817954712,0.0588454315153905,0.0555022137844523,0.0556283919874198,0.3445668703973019,0.3848824174191882,0.4120621398181402,0.3579934999920677,0.4013458685884691,0.3794378526144361,0.4124592973505023,0.4063219961737149,0.3734800067333458,0.3315449915981525,0.3907206686464177,0.4586314797329552,0.4590967668831899,0.4438676609787788,0.4096220634843298,0.4643846503142018,0.4810464258643209,0.2994607114165279,0.3158636986538474,0.2976105145441298,0.3002934182630534,0.2947288883289919,0.3347296218745355,0.3240400538637195,0.3123645448483976,0.2756689606423885,0.2197333170473193,0.2963464865133287,0.3122633895790929,0.2951333143967024,0.2785757500995661,0.2849438217310516,0.3055025446991438,0.3087441664230355,0.646,0.823,0.525,0.5225,88.9,0.4472485103399929,0.1162811076060287,0.0456536978618997,0.0134945671223273,0.0045566070802663
Acaiaca,3100401,385.6262531017369,411.5553233830845,422.7408463949844,487.4301912045889,561.413536299766,622.0987981859414,714.7269312169317,839.6060189573454,897.1494866071431,884.9162863070541,1062.240786516854,1092.4345436507929,1215.739567723343,1235.152924335379,1335.848223938223,1522.244208695653,1535.9886419753084,2457.98,3113.41,3450.54,3665.47,3576.3,3989.69,4522.26,4807.3,5718.71,6350.92,6876.64,7515.2,7686.15,7858.53,8959.87,9535.48,11089.56,3952.0,3981.0,4043.0,4077.0,4111.0,4056.0,4206.0,4234.0,3924.0,3923.0,3925.0,4045.0,4050.0,4056.0,4061.0,4065.0,3994.0,0.1197714359608499,0.1256878787763309,0.1282531002766688,0.1096888289824735,0.1103881111925799,0.1161769014758839,0.13190320674472,0.1418255082911647,0.1305687791133482,0.1318929130008835,0.1148144924197075,0.1148042065046566,0.1054173969545096,0.0776201005219346,0.1087175913954075,0.0670211548349427,0.0489205814267924,0.0597515537990285,0.0531200817032692,0.0628200625726825,0.062672276242782,0.0684290707284781,0.0372964244862732,0.0320347805906442,0.0411858507000582,0.0587184109602148,0.0511070100058626,0.0433815270594648,0.0573118348391933,0.0592992250945372,0.0511218937160102,0.0535085184082926,0.0616766685004677,0.1329464617893386,0.3641479900966359,0.4053469573196111,0.4225252267801631,0.4054416953980926,0.3367571834352845,0.3376380975822724,0.3109524709073316,0.3123178064908172,0.3229416827799257,0.3409573513384412,0.3678386703000781,0.3496871334490394,0.3356282258381478,0.3426714163092894,0.337358548415252,0.362478886855254,0.3495919459064849,0.4563290201434856,0.4158450822007887,0.3864016103704855,0.4221971993766519,0.4844256346436573,0.5088885764555704,0.5251095417573041,0.5046708345179597,0.4877711734146332,0.4760427674535388,0.4739652716533242,0.4781968252071105,0.4996551521128053,0.5285865894527657,0.500415313507271,0.5088232898093357,0.4685409874181121,0.61,0.823,0.499,0.4821,87.5,0.4277286135693215,0.1029498525073746,0.0412979351032448,0.0091445427728613,0.0011799410029498
Aguanil,3100807,327.7109696969698,368.75227099236633,389.2070149253731,405.3932040816326,478.9674272300469,562.5132764140875,586.588523344191,666.3236087369427,707.2939239412262,825.643889392565,932.5563846153846,968.5660051546378,1052.235848007415,1209.2386453433696,1243.9726331658294,1467.3119196428595,1704.781768774704,3536.75,3997.2,4579.03,5050.4,5950.66,5811.8,5889.12,6275.01,7234.48,10079.8,9940.19,9909.98,10993.36,11225.9,14611.1,13439.21,13508.93,3639.0,3674.0,3749.0,3791.0,3832.0,4054.0,4248.0,4315.0,4049.0,4092.0,4129.0,4293.0,4332.0,4370.0,4406.0,4440.0,4448.0,0.2914841179469548,0.3020611301577933,0.3507533287691943,0.3204591165726846,0.3159698060743091,0.299771426406676,0.246710643013815,0.2402816804795957,0.2438715647204381,0.3502299720510577,0.2851918662565345,0.2488574223839623,0.2341573683440544,0.2278342716507715,0.355094973249667,0.2670728258719134,0.2019960131795757,0.0529683064885658,0.0472903958985031,0.0433945149209244,0.059839457901821,0.0646302414302063,0.0485553810785781,0.0503493365929847,0.0617529900259392,0.0888298375809964,0.0850858377031587,0.092757185049059,0.0634052496976639,0.0706724378336342,0.0527214446556022,0.0403603764886583,0.0357978754630345,0.0565171735734011,0.311300849351085,0.3136717773645216,0.2952193306448341,0.2911766475141616,0.3082006585156719,0.2896991500981643,0.2974031796074319,0.2955240395992532,0.2853271116694981,0.2583544927999977,0.2757991264928457,0.3113195487860288,0.3259682238449846,0.3307731188127873,0.2900641140092128,0.3261512897998049,0.3460836049818082,0.3442467262133943,0.336976553874743,0.3106328256650471,0.3285247780113326,0.3111993404162891,0.3619740424165815,0.4055367991958505,0.402441251702077,0.381971450803063,0.3063296974457859,0.3462518471927531,0.3764178033056961,0.3692019699773267,0.3886711648808389,0.3144805362524617,0.3709779914298299,0.3954032082652149,0.672,0.845,0.513,0.4662,88.1,0.4370599831033511,0.1762883694733877,0.0574486060264714,0.01126443255421,0.0036609405801182
Aimorés,3101102,511.1336742241518,539.5275857050447,550.9599387414154,645.9984499286148,815.9224575860413,701.5668467194563,748.9793055555562,869.3557227518679,925.9464195430228,1328.2900141143243,1088.750898901593,1134.3158803563863,1281.1492873252175,1468.772729923732,1613.986932173137,1720.189865152593,1768.265991260349,5844.39,4865.64,5824.48,6885.27,8186.05,8573.46,8789.8,10293.63,10184.46,11670.97,13125.32,14985.86,14885.13,15472.55,15615.35,16878.22,18132.43,24824.0,24694.0,24420.0,24269.0,24118.0,24232.0,24871.0,24825.0,24969.0,24948.0,24937.0,25675.0,25685.0,25694.0,25703.0,25711.0,25193.0,0.0910570703837976,0.1491677039424826,0.1576244076979573,0.1364844703599201,0.0949600446285206,0.1151932413800884,0.1204743327330061,0.1230861997575719,0.1051922657940508,0.1277070724500987,0.151563564819255,0.1105403037513268,0.1240448472232947,0.102958681867295,0.1180604263647524,0.0994152136171934,0.0694688101142798,0.3318057226691239,0.1538497621677512,0.2199499124095394,0.1148108620322639,0.3475737323263991,0.3195633218562299,0.2738098761374314,0.3070627487812455,0.2481934239964267,0.2588935852468217,0.2341083979602294,0.2216630673999967,0.1973398820352446,0.2490292901868895,0.1881974021860159,0.2327050234932478,0.2739462174078478,0.3951924092014673,0.4607423286356604,0.4091986723637535,0.5390080263515642,0.3670613818301173,0.3666879649455141,0.3736033805684273,0.3599291760493547,0.4009786234545496,0.3766557049790125,0.3842475190978493,0.3928059074412044,0.4199849365670626,0.411487250693156,0.437772149308291,0.4071924366923415,0.4014824634905917,0.181944797745611,0.2362401961102108,0.2132270075287495,0.2096966478578741,0.1904048465851641,0.1985554718181676,0.2321124153906952,0.2099218712806387,0.2456356867549728,0.2367436409396257,0.2300805181226662,0.2749907186996786,0.258630334174398,0.2365247772526592,0.2559700221409405,0.2606873286273286,0.2551025089872807,0.685,0.81,0.576,0.5328,86.7,0.3943806112480811,0.1510908498860306,0.073312555240266,0.020281899799972,0.0068846815834767
Aiuruoca,3101201,397.0559227467811,415.37139275766,443.55095115681263,515.2899358288765,546.3888051668453,609.8356851642131,678.436061997703,736.5967916666663,809.39453373016,883.3802617801036,991.103971291867,1064.856256880734,1175.9850531914892,1321.046114592658,1473.5708163265322,1579.784431239391,1628.3093085106375,3292.88,3816.1,4484.93,5088.01,5290.22,5413.27,6380.77,6702.62,7635.25,8116.83,9013.01,10771.41,11169.5,12225.21,15853.89,14443.31,15399.39,6438.0,6424.0,6394.0,6377.0,6360.0,6099.0,6239.0,6210.0,6173.0,6139.0,6116.0,6274.0,6257.0,6240.0,6224.0,6209.0,6032.0,0.2160157153974583,0.2125784599457864,0.2306800985080483,0.1957602001236855,0.1800763468323143,0.2391863581987226,0.2227393263413844,0.213847825043084,0.1887574143517105,0.2040910380355618,0.2007485438847948,0.2664576363714886,0.2303953438186982,0.2199509090732813,0.3375209386997234,0.2122073549326434,0.1827962139400332,0.0750692410626473,0.0783626500617644,0.0778893100380686,0.0915566802629319,0.0951212321913084,0.0491892497711886,0.079010300394623,0.0838569182566606,0.0933110018111214,0.057085102859045,0.0561704089364759,0.057915163727009,0.0566202409029466,0.0602228241523178,0.0516137527141342,0.0648444982977797,0.0602203244587424,0.3709452360039598,0.3926640652182859,0.4031473724026644,0.4187924362218707,0.4009592615418901,0.3796906957007423,0.3575716701147089,0.3735018959604758,0.3891995291480346,0.4018101696632971,0.400358264392518,0.3742217908690118,0.3890306687900484,0.4019567610109922,0.3483757544290725,0.4002773691664799,0.4347331103855026,0.3379698579976644,0.3163948247741632,0.2882832190512186,0.2938906833915118,0.323843159434487,0.3319336963293464,0.3406787296214379,0.3287933607397795,0.3287320546891334,0.337013689442096,0.3427228017840154,0.3014053935142032,0.3239537464883066,0.3178694920112929,0.2624895541570699,0.3226707658167047,0.3222503626223477,0.677,0.871,0.505,0.4888,87.1,0.441317144959529,0.1620676968359087,0.0596026490066225,0.0189477557027225,0.0071743929359823
Alagoa,3101300,476.9454857142856,527.4336216216217,601.8182142857144,593.7413207547172,707.9246788990827,843.6276016260164,914.452385964912,993.302088235294,1170.3522658610282,1170.3762048192775,1299.5879508196724,1299.4946111111117,1444.6612887828169,1571.162784222737,1617.1079283887475,1757.3733898305086,1766.8695632183908,2696.93,3046.5,3335.93,4039.88,4136.56,5187.23,5796.54,5800.71,6863.16,7342.14,8251.35,9735.69,10208.69,10844.8,11413.04,12890.33,13407.17,2809.0,2814.0,2823.0,2828.0,2833.0,2825.0,2917.0,2926.0,2709.0,2703.0,2696.0,2768.0,2764.0,2760.0,2756.0,2752.0,2683.0,0.2023579784816376,0.2186981477984547,0.2305905931769507,0.2346807704970203,0.2558881983709029,0.3084695937546896,0.2319112639129981,0.2513437042371603,0.2420276185425441,0.1894644629272971,0.1960382882017106,0.1927370361848183,0.2115060449392782,0.1549081660159506,0.1662971517621012,0.1823014937152756,0.1609957102870336,0.0346516536614024,0.0303286519039673,0.0251416275354805,0.0304587400889091,0.0255636848015225,0.0274254294170338,0.0252680313987615,0.0319084911873145,0.0332720834619543,0.0358628336302218,0.0631409916927061,0.0430767449823184,0.0321868859177075,0.0359146562675492,0.05935328695157,0.0695900515847897,0.0727726637099023,0.2975014142475495,0.3007218614275252,0.2998030982421127,0.2870869165727026,0.2598022215089373,0.2387242012518191,0.2642028277829032,0.247507523458363,0.2569699525578339,0.2660833604822371,0.2644815322950345,0.2789612607319428,0.2676308486644968,0.2818587759775863,0.2825133735855126,0.2579440063176091,0.2869282251691215,0.4654889536094104,0.4502513388700526,0.4444646810454561,0.447773572841368,0.4587458068461431,0.4253807755764574,0.4786178769053369,0.4692402811171619,0.4677302901663142,0.5085893429602438,0.4763391878105486,0.4852249581009203,0.4886762570875555,0.5273184017389138,0.4918361877008162,0.4901644775354981,0.4793033719321951,0.634,0.832,0.518,0.4212,86.8,0.444023569023569,0.1224747474747474,0.0618686868686868,0.0096801346801346,0.0016835016835016
