,,PROP_POP_EMPREGADA,PROP_POP_EMPREGADA,PROP_POP_EMPREGADA,PROP_POP_EMPREGADA,PROP_POP_EMPREGADA,PROP_POP_EMPREGADA,PROP_POP_EMPREGADA,PROP_POP_EMPREGADA,PROP_POP_EMPREGADA,PROP_POP_EMPREGADA,PROP_POP_EMPREGADA,PROP_POP_EMPREGADA,PROP_POP_EMPREGADA,PROP_POP_EMPREGADA,PROP_POP_EMPREGADA,PROP_POP_EMPREGADA,PROP_POP_EMPREGADA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,REMUNERACAO_MEDIA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,PIB_PER_CAPITA,NUM_FIRMAS,NUM_FIRMAS,NUM_FIRMAS,NUM_FIRMAS,NUM_FIRMAS,NUM_FIRMAS,NUM_FIRMAS,NUM_FIRMAS,NUM_FIRMAS,NUM_FIRMAS,NUM_FIRMAS,NUM_FIRMAS,NUM_FIRMAS,NUM_FIRMAS,NUM_FIRMAS,NUM_FIRMAS,NUM_FIRMAS,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,FIRMAS_PER_CAPITA,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,POP,IDHM_RENDA,IDHM_LONGEVIDADE,IDHM_EDU,GINI,TAXA_ALFAB,PROP_MENOS_DE_1_SM
ANO,,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2010,2010,2010,2010,2010,2010
NOME_MUN,COD_MUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abadia dos Dourados,3100104,0.40502633806021526,0.15314262738478132,0.19583164913919107,0.19028877187056065,0.19974790546211807,0.15437254294027788,0.22402196343489067,0.3022870730037004,0.26809954165440797,0.34714807908880746,0.5210736781190809,0.6624801738478769,5.7400784707742645,2.442849221419745,3.1682259024599566,2.9051834445974305,1.9309496991191766,-1.562324682077889,-1.4481661189523705,-0.8963967554578576,-0.181931156399776,1.7931769731081355,-0.4564556166651585,-1.0147290462359113,-1.2531308064276638,-1.0703883541910566,-0.8624091576234914,-0.7943671596252203,-0.3713869370692183,0.4484431610864084,0.053102598695310164,-0.45314178038210184,-0.17540513257660942,-0.7069143193046032,-0.14664096783833513,-0.12337066320246773,-0.1371301541712236,-0.09233615233237766,-0.08420247864360147,-0.030466106616742716,-0.06622644993527647,-0.06383995562195045,-0.13384908204932558,-0.061313234161705234,0.09271284320817338,0.2479248859017899,0.6409310293211852,0.45999067286870426,0.4699908351638813,0.16042042576240562,-0.07250143443284346,-0.14755258679440303,-0.14926618220787552,-0.1500074893270756,-0.14377780346917565,-0.1346363782398385,-0.13041399086434322,-0.12640305527745974,-0.12242688638026168,-0.12426112170879212,-0.12268275458728717,-0.11903155855086675,-0.11754999075931771,0.014294051628104154,-0.08159495464074341,-0.042710311455925506,-0.0557261530625874,-0.06516847160680905,-0.09932259104915159,-0.16764871321770833,-0.215621743094361,0.06734378948602969,0.4078236031151665,0.4753249570978657,0.6045271882420409,0.8038557345629389,0.7916159875468247,0.9227947629177635,1.0605656460038564,1.181846227988952,8.16702604270458,3.25414671364277,5.387719087125395,4.738894713255024,4.223294188906963,-0.16965656047592492,-0.1704568957386494,-0.17207635409188912,-0.17292199548155557,-0.17373141851728027,-0.16888220375927027,-0.17153650463931103,-0.17185096405716374,-0.173550281239866,-0.1739419333190008,-0.17431332326064125,-0.17470371869167922,-0.1750373702664815,-0.17536257271111635,-0.17566598331134128,-0.1759390109130523,-0.17679688867547133,0.740104803858508,0.5089044482246663,0.08888164444275386,-0.13781092452595597,0.661673816661239,-0.38230374785290144
Abaeté,3100203,0.45554458027128886,0.3053849377535225,0.4174922427418331,0.5325195086680498,0.4686924047076564,0.5379892607617421,0.46524946078497614,0.5640138482675783,0.5974351136281839,0.5669463609759031,0.6653483783457683,0.6009110223319293,0.5318138282587903,0.40920042166850995,0.47987314108833884,0.35865732640309805,0.2709495621358204,0.35835363330607073,0.3047449987556352,0.22056015471525414,0.022111345979346934,0.05070610147769853,-0.0638262306842385,-0.11014369515698623,-0.2620931585086691,-0.25380250566273,-0.3830974249857853,-0.30158965084862616,-0.23426369165969932,-0.38733682882664905,-0.3288679225569476,-0.2814117125741701,-0.1951617721795328,-0.07376384339764502,-0.05529211661712638,-0.05507990815935716,-0.05449593107035773,-0.041038697666901824,-0.053617541035324776,-0.04367171143526182,-0.002032648695518235,0.005689843128746978,-0.09809508279933252,-0.1449756828634003,-0.15900726853483235,-0.12143631644515103,-0.07526716779753644,-0.1307068954023271,0.014403031804884281,-0.04019371764086836,0.06039085215885049,0.06774128049682811,0.05778270293858339,0.07961206595070547,0.07962751361725769,0.08523729029883595,0.06718860621679085,0.06865165910942643,0.06396492873877037,0.09275649417789245,0.0586031758377791,0.08470869153139486,0.0714285310038783,0.07376231349817769,0.07298163577250859,0.06323412364377587,0.06419326958804343,0.06162089310137378,0.9326262167291987,0.8021700086020743,0.9874803500398234,0.9427453151835921,1.0396273791743542,1.0447759906010674,1.140833643350253,1.1791653906357336,1.731820247287453,1.308826094838422,1.831228601584642,1.6826172224627105,1.706730238856536,1.7530639704207212,1.6262703951011561,1.694698177124384,1.7269251827942937,0.013592723215149661,0.012510997460880779,0.010317397601742313,0.009155346371785372,0.0080254081182901,-0.0012740416278902598,-0.0008099449545135792,-0.0023501757640626737,-0.0029041238591605936,-0.0043749604007382705,-0.005662050204340627,-0.007031469006543101,-0.008221171211031678,-0.009351056715875224,-0.01041388318017341,-0.011412373358636827,-0.014424396426206831,1.2270870830901337,0.81042945007855,-0.011918412341231598,1.3002339639196252,0.7320751844561805,-0.4559364148135529
Abre Campo,3100302,-0.47106439611310147,-0.5269126569305527,-0.5252239890119869,-0.35959887056810236,-0.3412221424902771,-0.3539857248096692,-0.24823253280507682,-0.26655176717544343,-0.055935043159610794,0.0015958223041218078,-0.2899493683148055,-0.2946639655179846,-0.2211826469151207,-0.15706020143557603,-0.23262927134579406,-0.2274397576860631,-0.22622388367010235,-0.17382337095912617,-0.15237919839375594,-0.1848277735631884,-0.5568894565213898,-0.08725539364532807,-0.22512354430572548,-0.4736319708081689,-0.7235887324756114,0.5653107303011078,1.1419157532572264,0.7899540222190397,-0.929773456008107,-0.7567605580894009,-0.7402914147478943,-0.7444666248781855,-0.8907163966832151,-1.0267077029532792,-0.17158078201149093,-0.21572382484856167,-0.22403733828310662,-0.23374011527450447,-0.22154051406373967,-0.2852847649768453,-0.3001448839697527,-0.308196913945724,-0.2452992757334553,-0.13559054624804864,-0.3156710960167399,-0.2881335967562415,-0.2796483617103803,-0.20171763800666134,-0.2663879695259341,-0.27190055127128676,-0.2739302753286985,-0.10427071088300527,-0.10543831600899006,-0.10261569070353359,-0.10000944515419195,-0.09690295645908269,-0.09220026217029624,-0.08864440920451193,-0.08782172620590309,-0.08644880382927896,-0.08548698362758997,-0.08194126134629397,-0.0728400326640673,-0.07082718595062855,-0.06719236875175136,-0.06413538033755302,-0.05825254539371024,-0.056063916162338474,-0.1915273438822582,-0.21080952809425219,-0.15676399977733707,-0.09218965758198161,-0.03355015073795195,0.0939897711769073,0.17717752220718241,0.22163626340596623,0.2202986913640271,0.25463372185708977,0.36753205570338604,0.6413860652334539,0.7074425307882891,0.8552340962772776,0.9459610960752041,1.1378882541310509,1.246806387019748,-0.09194787553885213,-0.09365555785242685,-0.09712061284809966,-0.09895508474160505,-0.10073462746728487,-0.10243069532786311,-0.1046956421213899,-0.10620585234479274,-0.10306646267182895,-0.10411961486810292,-0.10512170576557961,-0.10618635191910722,-0.10711602488691736,-0.10799325048157055,-0.10882367226475594,-0.10959954867053365,-0.11192182916070459,-0.10760508961876429,-0.027139999515571615,-0.45831866381317427,0.7693495167603097,0.1864645840453931,0.6668445219297366
Acaiaca,3100401,-0.439404512896888,-0.5617278261829024,-0.8332332947219306,-0.48929717855252525,-0.8445090458387089,-0.6739840635112513,-0.8526227507954534,-0.6228113565228627,-0.7578904860085651,-0.6823106685243737,-0.6589947252412008,-0.6247017383600515,-0.5099199904300915,-0.504514936866796,-0.3892475351363621,-0.3545717381135394,-0.2908828809553611,-0.08817640621593703,-0.3249243878414356,-0.5491124098877279,-0.41534688860294544,-0.30860017441477444,-0.23606439938623763,-0.033879583715079924,0.22439749125775052,0.17332011390779958,-0.3470489528049036,-0.05349872346105444,-0.39716421560638937,-0.2110235749498705,-0.6039244190602503,-0.6553062988451432,-0.28621545578377683,-0.4213443840094073,-0.3667685213005615,-0.3104451782080914,-0.3167351550186776,-0.3419508559947368,-0.38234505306783595,-0.4028651834193401,-0.43253758538647535,-0.4928551457009337,-0.4197403599286498,-0.4095084382550136,-0.43678976469027586,-0.41847435741950634,-0.48769540095551017,-0.5611866353497116,-0.5583512573666753,-0.47777120972321685,-0.40242659706269196,-0.16830111493749578,-0.1691290575295379,-0.1690900277108912,-0.17032922462708044,-0.17134997781030362,-0.17040970690681725,-0.17004370149242454,-0.16875019603165178,-0.16780800912453478,-0.16839531422467205,-0.16500985324224962,-0.1662489413983823,-0.1651102005681681,-0.16918277347728816,-0.1667057888417225,-0.1653715802333187,-0.16312674407416838,-0.2917149697511325,-0.36415132143890033,-0.4372026666240342,-0.3948083646951184,-0.4926056868306647,-0.5697210470370004,-0.70621742406167,-0.7128120317761752,-0.6244375931622185,-0.6567531445016496,-0.6331116659258802,-0.7433389478910792,-0.5830860169689157,-0.8619689878403225,-0.772767910324542,-0.7681595421190662,-0.7328902692841095,-0.197623580670606,-0.19773016133690083,-0.19791230141425584,-0.19799915733775436,-0.19807073400866407,-0.19520588797389837,-0.19827492964842494,-0.19833771581681625,-0.20320746538079879,-0.2036416013495194,-0.204022599216924,-0.2044257712019903,-0.2047775991854691,-0.2050979283908935,-0.20540476604039465,-0.20569932705840754,-0.2065516903441877,-0.7569147952609319,-0.027139999515571615,-0.8327188747251262,0.016797528506405156,-0.05994020323689946,0.38675669786916356
Aguanil,3100807,0.27739446189475586,0.20511884499651775,0.52067892407995,1.0671040628903248,1.0049435617769524,0.6542694484172642,0.5422013179282414,0.6409054531726595,0.7618245962522026,0.6356468199106426,0.6351515570435485,0.5082121649197691,0.5540407283733287,0.2720530511534257,0.358740179852067,0.2097443330176143,0.12037880178576865,-0.7774764498452741,-0.8143617339387702,-0.8879574559055523,-1.236286242952018,-1.0710042780677245,-0.7430364392854064,-1.028381504059765,-0.9517843000775477,-1.0665077051250167,-0.7200240653998125,-0.7521626422972906,-1.0311587935382178,-1.0293116349860263,-0.7227661059924384,-1.0542522382761947,-0.49744339444076685,0.21102067181156545,-0.1599553662880674,-0.17091290124692937,-0.17872731954865226,-0.1810918411869535,-0.14065014373019424,-0.21684226423981204,-0.2967972051903522,-0.3189050196920259,-0.30506655662107063,-0.19434675228973514,-0.26848576433883337,-0.2896920329231975,-0.2981438008712419,-0.34059470708140954,-0.20968127341774911,-0.27700792344115305,-0.2930757282803061,-0.16160804134294973,-0.15854991741256555,-0.15713722894300672,-0.1595427097816816,-0.1613557201494548,-0.15714380109074913,-0.15581305598754472,-0.15410250918536242,-0.1558012541580543,-0.15379510506292174,-0.14381539769677945,-0.14796605890590073,-0.14928531295568356,-0.1464065911412077,-0.14916085054495667,-0.14903424315872432,-0.14795248500005076,0.26035181458005807,0.4090349812328443,0.38503321772579713,0.33266036374501545,0.20902339429235942,0.24473934463351632,0.19442822647949978,0.2614042441233833,0.2673109326584281,0.4660021270453833,1.0943353815240071,0.7590491129536064,0.6534236436259022,1.02492728055296,0.648857332098864,0.5644532346128351,0.4734361928411745,-0.20114760535697282,-0.2011462741637728,-0.2011051423191637,-0.20106414378684534,-0.20102191567841463,-0.19522694692127007,-0.19783812923987468,-0.1975032440577607,-0.20187395889964174,-0.20184965422450774,-0.20187189222789573,-0.20190316031131364,-0.20192690423130372,-0.2019425036921946,-0.20195722570386124,-0.20197183255122378,-0.20201553186279173,0.3613408089005789,0.7099211161272555,-0.631118761157152,-0.2793801104351063,0.0456618484555102,0.5206510016658107
Aimorés,3101102,1.1168148421557897,0.3987054331138766,0.6147233972096748,0.1194155993387541,-0.13648114277308782,-0.1990421223570544,-0.2194697800043497,-0.15733486387088771,-0.15358309259243103,-0.26983953420779755,-0.18746983507447526,-0.2805450212410059,-0.26162060783087393,-0.25672914574912176,-0.20119265667230435,-0.2751330418408333,-0.2987021170438228,1.1052790927003955,0.8817531958796592,0.5369517666508652,0.8392956496733828,1.4860370162884335,0.3692619864609307,0.20174216067076442,0.40156782590512374,0.33805889838644,1.8379600888447114,0.07877122234280517,-0.1989754127539445,0.08587306582347531,0.3669952005016218,0.4036437018406958,0.4163660492884873,0.43277475209555555,0.2824469150444056,-0.03380407380584985,-0.026415948879755707,0.03202750816670157,0.08689849395923409,0.06510122708691087,-0.008735950908794147,0.15737398323220084,-0.08188927624126867,-0.10253397744651888,-0.09350245391811562,-0.016730163664090556,-0.07508834607401034,-0.06240231593324802,-0.1477209866517337,-0.10014452634225511,-0.08410242456266023,-0.016814549247603602,-0.012816864780803539,-0.017478211760356303,-0.015169357235574289,-0.0061387797432105795,0.001453072919259275,-0.004209245875558284,-0.00011870121374556616,-0.010824168070252625,-0.01057400566670448,-0.018186971681290957,-0.025636954228933022,-0.02834985604343317,-0.03570764611069894,-0.0368057649137447,-0.040567799075850355,-0.042575685874233916,-0.08674174956992993,-0.03892182504902069,-0.048450753416163776,-0.017986938006258783,0.09089586609927186,0.16311699387167766,0.1397761938765777,0.2194829885538961,0.06263484459362612,0.059039766870518054,0.007437008539174658,-0.09092135508340257,-0.11248663595186992,-0.2285398892605475,-0.23342224750867602,-0.28879431028054403,-0.28882585388557097,0.037371445699516184,0.032751744145180804,0.023381981304477568,0.0183931726624022,0.013557551535062684,0.017236773111836218,0.01664127136804308,0.013793247031493722,0.021301685786802183,0.019291465534326886,0.017500220652988403,0.015590654464686134,0.013927313344203478,0.012345000368490731,0.010860938200926935,0.009461595881592302,0.005258934429189824,0.5958137581602505,-0.4626761133045112,0.2760817498987298,0.9612130187161336,-0.20074293882677985,-0.09174836374351115
Aiuruoca,3101201,-0.1843596615747819,-0.17441671214056684,-0.18880584703275613,-0.016238272289741614,0.035824454991751645,-0.1702798277510698,-0.2824000821550671,-0.020631272056852182,-0.05216393224195049,-0.1208287647312654,-0.2041546409314899,-0.15117152435102943,-0.042444718492268774,-0.0507002436124158,-0.07140880365924879,0.004323602005033167,0.060982709669315474,0.03554137832570932,-0.2837900645663478,-0.35210043883519754,-0.16774759367094605,-0.43881694513091246,-0.33631343797700664,-0.2961763982650983,-0.44161180629700925,-0.36341547898803467,-0.3563951507321954,-0.4254385924802082,-0.5318622184777705,-0.39937899100463203,-0.22712364815353067,-0.10594676334157994,-0.0729811665541777,-0.06733642393592389,-0.20670817190269972,-0.19950486920047764,-0.19023520824747042,-0.17672345610834242,-0.2078787804672316,-0.2575290032295642,-0.24797233803246915,-0.2682255166684933,-0.2747467718571694,-0.3076129165801555,-0.31942278284541903,-0.2433675447485613,-0.2880483975437112,-0.2751312386066661,-0.13300352904141233,-0.2253684873746678,-0.20763057379862326,-0.12301131694773419,-0.12206267904994661,-0.12044003974336134,-0.11867841315584376,-0.11770732954901292,-0.12586002319614073,-0.12488511975693922,-0.1257226159206768,-0.12461953230480648,-0.12581137083623367,-0.12962878632360184,-0.13051421652671374,-0.13146149217109568,-0.1348510280442257,-0.132796821556627,-0.13017051375300712,-0.12856315396090046,0.7868537430507505,0.8061604156186608,0.8436015049925815,0.9533722727533978,1.0496754885238857,0.8321274802389655,0.8844340944677129,0.9161655315576255,1.0282101125574876,1.0610399772117602,0.7975373699061459,0.8028446686200628,0.7795316714627448,0.686126068993769,0.7627744289670422,0.908445145640695,0.9958615624901394,-0.1696340427462996,-0.17054591496540827,-0.17238043417807083,-0.17335066491499485,-0.17428145954533414,-0.17369417323370429,-0.17713170987264565,-0.17798072574405338,-0.17921501677182114,-0.1801448272132719,-0.18092358444750756,-0.1817527886402232,-0.1824673730725508,-0.18315064322542093,-0.1837901870609113,-0.18438799846266887,-0.18618893487043217,0.4515227124619911,1.580993343705142,-0.7463188260531373,0.14160194239999901,-0.1303415710318409,0.5817363247584046
Alagoa,3101300,-0.5558366031317359,-0.559229132335012,-0.6260800415674996,-0.5712638895994897,-0.6324681607100499,-0.6119349913911964,-0.857469332055994,-0.7067250106176429,-0.3952463198743239,-0.385543409833232,-0.2991877672945523,-0.376813089810166,-0.14900285767381619,-0.1678016651369136,-0.1760927321165024,-0.10890726839236178,-0.00770177157667067,0.8120474865564744,0.7807138138649617,0.8989420341430775,0.4635338388865437,0.8044865908224267,1.2977404869075728,1.206497722542347,1.0797397178576056,1.5594673677438018,1.1570607807796314,1.0286087249423181,0.5171917578054134,0.7663893598725111,0.7446907747338735,0.4144596206049173,0.5392721836570935,0.427983150442369,-0.3209589387294523,-0.32100889204449073,-0.33075129873569736,-0.298463297970734,-0.32531411003244654,-0.28060588698045774,-0.30599115658153864,-0.37511813043326564,-0.3331583361418226,-0.35231363274705857,-0.3612665343453716,-0.2990646981936865,-0.3431168911915188,-0.3655600610113459,-0.4069954030616856,-0.3052360418239559,-0.2976750844793561,-0.17789452042301176,-0.17495837963480837,-0.17663916377481825,-0.1786265437389257,-0.1831799154496757,-0.17931964364895256,-0.1770641532748319,-0.1733275981711172,-0.1739009892567786,-0.17360967463958288,-0.17116308227157967,-0.17289726230473926,-0.174105399842633,-0.17403945941659943,-0.1729477380434565,-0.17126649567260532,-0.16869063906801152,-0.49836720598781387,-0.28210549460757933,-0.5152958899698145,-0.49259129663597856,-0.9156255885208722,-0.8145097366239186,-0.845888328844072,-0.5986817750176627,-0.6426570280901455,-0.5530535991916448,-0.6609387790773522,-0.8764258360033892,-0.9590382757611055,-0.7782042563092642,-0.8506530719090629,-0.7948732636069752,-0.7037990456699408,-0.21049246315149187,-0.21071584104035224,-0.2111615051693157,-0.2113843603968964,-0.21158905004429573,-0.20816767008118126,-0.21168054218702778,-0.2118128894074913,-0.2161691483776453,-0.21657755100936682,-0.21697955455768747,-0.21741518292535347,-0.21777757688425156,-0.21812159211545962,-0.21844546209597754,-0.218750527826227,-0.21965059732460648,-0.3240416581661535,0.2743850023383122,-0.5591187205971614,-1.1176187112129703,-0.18314259687804574,0.6205703634824761
