"Tabela 6579 - População residente estimada"
"Variável - População residente estimada (Pessoas)"
"Município","Ano",""
"Abadia dos Dourados (MG)","2002","6436"
"Abadia dos Dourados (MG)","2003","6432"
"Abadia dos Dourados (MG)","2004","6422"
"Abadia dos Dourados (MG)","2005","6417"
"Abadia dos Dourados (MG)","2006","6412"
"Abadia dos Dourados (MG)","2008","6777"
"Abadia dos Dourados (MG)","2009","6805"
"Abadia dos Dourados (MG)","2011","6724"
"Abadia dos Dourados (MG)","2012","6743"
"Abadia dos Dourados (MG)","2013","6967"
"Abadia dos Dourados (MG)","2014","6992"
"Abadia dos Dourados (MG)","2015","7015"
"Abadia dos Dourados (MG)","2016","7037"
"Abadia dos Dourados (MG)","2017","7059"
"Abadia dos Dourados (MG)","2018","6972"
"Abadia dos Dourados (MG)","2019","6989"
"Abadia dos Dourados (MG)","2020","7006"
"Abadia dos Dourados (MG)","2021","7022"
"Abaeté (MG)","2002","22712"
"Abaeté (MG)","2003","22875"
"Abaeté (MG)","2004","23217"
"Abaeté (MG)","2005","23407"
"Abaeté (MG)","2006","23595"
"Abaeté (MG)","2008","23193"
"Abaeté (MG)","2009","23258"
"Abaeté (MG)","2011","22716"
"Abaeté (MG)","2012","22740"
"Abaeté (MG)","2013","23451"
"Abaeté (MG)","2014","23494"
"Abaeté (MG)","2015","23535"
"Abaeté (MG)","2016","23574"
"Abaeté (MG)","2017","23611"
"Abaeté (MG)","2018","23223"
"Abaeté (MG)","2019","23237"
"Abaeté (MG)","2020","23250"
"Abaeté (MG)","2021","23263"
"Abre Campo (MG)","2002","13338"
"Abre Campo (MG)","2003","13334"
"Abre Campo (MG)","2004","13324"
"Abre Campo (MG)","2005","13319"
"Abre Campo (MG)","2006","13313"
"Abre Campo (MG)","2008","13204"
"Abre Campo (MG)","2009","13177"
"Abre Campo (MG)","2011","13309"
"Abre Campo (MG)","2012","13306"
"Abre Campo (MG)","2013","13703"
"Abre Campo (MG)","2014","13711"
"Abre Campo (MG)","2015","13719"
"Abre Campo (MG)","2016","13726"
"Abre Campo (MG)","2017","13733"
"Abre Campo (MG)","2018","13465"
"Abre Campo (MG)","2019","13454"
"Abre Campo (MG)","2020","13444"
"Abre Campo (MG)","2021","13434"
"Acaiaca (MG)","2002","3952"
"Acaiaca (MG)","2003","3981"
"Acaiaca (MG)","2004","4043"
"Acaiaca (MG)","2005","4077"
"Acaiaca (MG)","2006","4111"
"Acaiaca (MG)","2008","4206"
"Acaiaca (MG)","2009","4234"
"Acaiaca (MG)","2011","3923"
"Acaiaca (MG)","2012","3925"
"Acaiaca (MG)","2013","4045"
"Acaiaca (MG)","2014","4050"
"Acaiaca (MG)","2015","4056"
"Acaiaca (MG)","2016","4061"
"Acaiaca (MG)","2017","4065"
"Acaiaca (MG)","2018","3994"
"Acaiaca (MG)","2019","3994"
"Acaiaca (MG)","2020","3994"
"Acaiaca (MG)","2021","3995"
"Açucena (MG)","2002","11414"
"Açucena (MG)","2003","11380"
"Açucena (MG)","2004","11307"
"Açucena (MG)","2005","11267"
"Açucena (MG)","2006","11227"
"Açucena (MG)","2008","11425"
"Açucena (MG)","2009","11409"
"Açucena (MG)","2011","10183"
