UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO, POPULAÇÃO ESTIMADA , CODIGO RAIS 
RO,11,00015,Alta Floresta D'Oeste,"22,516",1100015
RO,11,00023,Ariquemes,"111,148",1100023
RO,11,00031,Cabixi,"5,067",1100031
RO,11,00049,Cacoal,"86,416",1100049
RO,11,00056,Cerejeiras,"16,088",1100056
RO,11,00064,Colorado do Oeste,"15,213",1100064
RO,11,00072,Corumbiara,"7,052",1100072
RO,11,00080,Costa Marques,"19,255",1100080
RO,11,00098,Espigão D'Oeste,"33,009",1100098
RO,11,00106,Guajará-Mirim,"46,930",1100106
RO,11,00114,Jaru,"51,469",1100114
RO,11,00122,Ji-Paraná,"131,026",1100122
RO,11,00130,Machadinho D'Oeste,"41,724",1100130
RO,11,00148,Nova Brasilândia D'Oeste,"20,504",1100148
RO,11,00155,Ouro Preto do Oeste,"35,445",1100155
RO,11,00189,Pimenta Bueno,"37,098",1100189
RO,11,00205,Porto Velho,548.952(1),1100205
RO,11,00254,Presidente Médici,"18,165",1100254
RO,11,00262,Rio Crespo,"3,843",1100262
RO,11,00288,Rolim de Moura,"55,748",1100288
RO,11,00296,Santa Luzia D'Oeste,"5,942",1100296
RO,11,00304,Vilhena,"104,517",1100304
RO,11,00320,São Miguel do Guaporé,"23,147",1100320
RO,11,00338,Nova Mamoré,"32,184",1100338
RO,11,00346,Alvorada D'Oeste,"13,807",1100346
RO,11,00379,Alto Alegre dos Parecis,"13,268",1100379
RO,11,00403,Alto Paraíso,"22,258",1100403
RO,11,00452,Buritis,"41,043",1100452
RO,11,00502,Novo Horizonte do Oeste,"8,125",1100502
RO,11,00601,Cacaulândia,"6,307",1100601
RO,11,00700,Campo Novo de Rondônia,"14,391",1100700
RO,11,00809,Candeias do Jamari,"28,068",1100809
RO,11,00908,Castanheiras,"2,923",1100908
RO,11,00924,Chupinguaia,"11,755",1100924
RO,11,00940,Cujubim,"27,131",1100940
RO,11,01005,Governador Jorge Teixeira,"7,130",1101005
RO,11,01104,Itapuã do Oeste,"10,819",1101104
