ano,id_municipio,avg_wage_dec,n_employ_dec
2014,1200427,1376.599,732
2014,1200450,1048.8767,1956
2016,1200302,1063.882755,1776
2016,1600709,1359.798446,767
2016,1400050,1018.234351,706
2016,1400209,1424.465468,1231
2018,1400282,1185.524852,266
2019,1400605,1005.915019,698
2014,1600303,2253.130399,106177
2017,1200427,1667.27342,849
2017,1600535,1405.341017,1650
2020,1200203,1347.476009,9177
2020,1400209,1844.000879,1408
2018,1600279,1873.245179,2187
2018,1600535,1499.876849,2018
2020,1600212,1397.31645,438
2020,1600550,1664.361803,299
2021,1200450,1889.60389,2367
2014,1703206,974.3544055,456
2014,1703842,1067.779406,798
2014,1712504,879.145674,649
2014,1713700,963.6272897,173
2014,1713957,811.5043796,410
2014,1716208,912.8085619,594
2014,1716604,1132.323532,1355
2018,1716208,1011.569951,713
2018,1720655,1417.772986,590
2018,1708304,848.8176654,376
2014,2802908,895.7303328,14757
2014,2706406,1256.639642,1181
2014,2707107,1391.028298,1346
2014,2707206,1419.500336,713
2015,1706001,1025.260981,426
2015,1712009,1524.635435,653
2015,1713957,921.5404419,385
2015,1720309,1058.112382,305
2015,1721257,927.129097,197
2015,1100015,1131.561397,2917
2019,1707306,1177.88635,717
2019,1712504,1358.765255,823
2019,1717008,1409.011015,321
2017,1716703,1125.767102,928
2017,1708304,935.1754083,483
2017,1702703,1197.981119,181
2017,1715002,1463.437712,269
2017,1720937,1300.40318,228
2019,1100601,1681.322403,576
2019,1101476,1469.189891,399
2016,1710904,1110.731281,279
2016,1716604,1415.723146,1212
2020,1717909,1392.929267,467
2020,1710706,1798.307152,359
2021,1718709,1316.916427,268
2021,1715754,1420.333225,976
2021,1710508,1721.866773,423
2021,1715705,1701.673423,458
2017,1100114,1333.370268,9736
2018,1100452,1226.610102,3443
2015,2800308,1710.320749,219064
2015,2800506,1599.561531,1175
2015,2802908,974.3452721,14541
2015,2803708,1055.017358,645
2015,2804508,1186.734197,4352
2021,1100072,1581.978239,1367
2021,1100924,1545.682788,2923
2021,1100296,1601.00187,896
2015,2200277,1519.025429,229
2015,2202406,1767.079281,465
2015,2203255,1026.535316,176
2015,2203354,1300.034011,343
2015,2209658,1266.930411,282
2015,2209807,965.5249007,217
2020,1101104,1551.635696,1176
2018,2204402,1457.134452,823
2018,2210003,1371.245528,2025
2018,2210805,1414.4763,704
2018,2206670,1453.719521,372
2018,2203271,1190.999425,286
2016,1100098,1235.116342,5044
2016,1101435,986.7655063,473
2016,1101500,1271.87915,1295
2020,2803203,1793.41033,3836
2020,2804003,1702.285957,1371
2020,2805703,1502.636353,4126
2016,2800100,1215.546349,437
2016,2801405,1304.628034,1475
2016,2801702,1094.780842,944
2016,2802403,1729.855316,618
2016,2802601,1278.95162,350
2016,2805703,1156.802471,3398
2018,2804607,1060.024647,2573
2018,2805604,1945.136781,1328
2018,2805802,1634.028405,1409
2018,2804458,1155.21848,762
2022,1100338,1608.854881,2354
2021,2800506,1799.376482,1234
2021,2802601,1828.984412,447
2021,2804409,1469.839869,2843
2021,2802007,1996.933379,402
2018,2700706,1296.621616,1331
2018,2702009,1672.126843,504
2018,2708709,1337.561722,1141
2018,2705903,1593.388921,277
2014,2201705,864.6037644,306
2014,2201929,813.9991241,127
2014,2201960,912.1563869,318
2014,2204402,1128.853131,803
2014,2205201,893.61595,736
2014,2206001,1125.651653,237
2022,2804300,1179.035537,732
2022,1712504,1746.738911,975
2022,1710508,1757.045823,460
2022,1703107,1453.143827,512
2022,1717008,1666.783218,360
2016,2200301,1111.891268,762
2016,2201507,1410.675114,1141
2016,2202026,1575.656497,283
2016,2203453,1419.249906,314
2016,2205953,1203.526472,374
2016,2206605,584.3755516,939
2016,2210409,1733.547311,581
2014,2102754,1024.148704,667
2014,2103000,951.0278069,15217
2014,2103802,904.2737101,1852
2014,2104628,1210.149109,356
2014,2108504,1099.501583,1825
2019,2801405,1207.836945,1268
2019,2807501,1449.12776,787
2019,2805802,1411.912217,761
2019,2803104,1845.514516,413
2020,2706208,2386.370721,221
2020,2705101,1188.265468,3592
2020,2708006,1612.444622,4337
2020,2704104,1309.570491,1114
2020,2201101,1470.377135,454
2020,2206001,1540.594384,300
2020,2207009,1503.138431,2991
2020,2209872,1744.321182,323
2020,2211407,1952.795093,185
2020,2207900,1568.061787,1863
2020,2210904,1957.526854,195
2020,2202802,3577.349904,157
2020,2209401,1233.947598,272
2019,2709301,1421.277401,4638
2017,2800605,1773.711796,3783
2017,2804607,1039.723222,3318
2017,2804458,1284.262195,960
2017,2807204,1903.236824,695
2017,2803807,1330.560134,626
2017,2806503,1103.279717,573
2019,2202117,1847.760676,274
2019,2203701,1548.790582,2779
2019,2210953,1959.699302,213
2019,2209609,1871.654737,245
2019,2201176,1892.022811,197
2017,2200954,1257.320773,187
2017,2205508,1196.346323,2195
2017,2203008,1424.437985,354
2017,2201739,1219.529772,216
2017,2206050,1565.986525,269
2017,2207355,1471.175921,201
2017,2209500,1173.498505,258
2017,2206357,1311.656501,359
2017,2200459,1225.489831,365
2017,2205250,1751.336107,239
2017,2206654,1323.027931,211
2016,1302405,1253.996109,1872
2016,1303502,1338.598813,855
2016,1304005,819.5417601,283
2017,2708402,1900.330597,2099
2014,2501575,1164.300157,619
2014,2504355,978.3752429,608
2014,2505402,685.7901217,565
2014,2506806,783.429704,1696
2014,2507705,778.2751047,1187
2014,2508802,1032.877862,445
2014,2509156,982.4096233,564
2014,2511301,1059.516229,989
2014,2512705,1009.937429,1175
2014,2513406,889.8237058,1520
2014,2514602,1526.253094,136
2014,2515005,848.4594872,136
2014,2516201,919.7990203,8517
2014,2409506,1185.415417,292
2014,2412807,1026.766815,414
2014,2414753,1183.338,193
2014,2414902,1118.698651,205
2018,1302702,1554.774131,1511
2019,1301902,1453.291969,8837
2019,1304104,1770.19957,1605
