ano,id_municipio,avg_wage_dec,n_employ_dec,pop,nome,treated_group,treated_after_treatment
2022,3151107.0,1835.9764,2465,"10,791",Pirapetinga,0,0
2022,3145901.0,2594.410801,15052,"40,220",Ouro Branco,0,0
2022,3133758.0,1670.34848,3746,"16,286",Itaú de Minas,0,0
2022,3118007.0,2253.101481,18942,"55,836",Congonhas,0,0
2022,3109006.0,1981.351717,14070,"41,208",Brumadinho,1,1
2022,3131901.0,1941.650358,21807,"52,996",Itabirito,0,0
2021,3109006.0,1997.996567,11065,"41,208",Brumadinho,1,1
2021,3133758.0,1654.694354,3424,"16,286",Itaú de Minas,0,0
2021,3131901.0,1776.000036,19316,"52,996",Itabirito,0,0
2021,3145901.0,2501.48837,13573,"40,220",Ouro Branco,0,0
2021,3151107.0,1786.680465,2361,"10,791",Pirapetinga,0,0
2021,3118007.0,2125.571093,18067,"55,836",Congonhas,0,0
2020,3133758.0,1418.257924,3206,"16,286",Itaú de Minas,0,0
2020,3109006.0,1746.088921,9933,"41,208",Brumadinho,1,1
2020,3145901.0,2309.533388,12570,"40,220",Ouro Branco,0,0
2020,3151107.0,1601.560107,2181,"10,791",Pirapetinga,0,0
2020,3131901.0,1822.220305,18757,"52,996",Itabirito,0,0
2020,3118007.0,1999.930781,16644,"55,836",Congonhas,0,0
2019,3151107.0,1638.935435,2121,"10,791",Pirapetinga,0,0
2019,3145901.0,2267.202142,12491,"40,220",Ouro Branco,0,0
2019,3131901.0,1813.316039,15803,"52,996",Itabirito,0,0
2019,3133758.0,1364.423436,3279,"16,286",Itaú de Minas,0,0
2019,3118007.0,2086.470202,16863,"55,836",Congonhas,0,0
2019,3109006.0,1650.823264,10911,"41,208",Brumadinho,1,1
2018,3109006.0,1762.500882,9444,"41,208",Brumadinho,1,0
2018,3118007.0,2002.557409,17089,"55,836",Congonhas,0,0
2018,3131901.0,1957.374269,14475,"52,996",Itabirito,0,0
2018,3151107.0,1493.976069,2235,"10,791",Pirapetinga,0,0
2018,3145901.0,2301.605726,11534,"40,220",Ouro Branco,0,0
2018,3133758.0,1347.516413,2908,"16,286",Itaú de Minas,0,0
2017,3109006.0,1714.053205,8977,"41,208",Brumadinho,1,0
2017,3145901.0,2436.272778,11397,"40,220",Ouro Branco,0,0
2017,3131901.0,1703.52556,13733,"52,996",Itabirito,0,0
2017,3151107.0,1413.352484,2272,"10,791",Pirapetinga,0,0
2017,3118007.0,1896.856235,16650,"55,836",Congonhas,0,0
2017,3133758.0,1293.82161,2935,"16,286",Itaú de Minas,0,0
2016,3118007.0,1823.49136,15030,"55,836",Congonhas,0,0
2016,3145901.0,1937.777721,11646,"40,220",Ouro Branco,0,0
2016,3133758.0,1200.116904,3108,"16,286",Itaú de Minas,0,0
2016,3131901.0,1596.526837,13418,"52,996",Itabirito,0,0
2016,3109006.0,1657.345087,7939,"41,208",Brumadinho,1,0
2016,3151107.0,1353.411043,2062,"10,791",Pirapetinga,0,0
2015,3131901.0,1136.580193,13308,"52,996",Itabirito,0,0
2015,3151107.0,1301.409649,2275,"10,791",Pirapetinga,0,0
2015,3145901.0,1836.467444,14671,"40,220",Ouro Branco,0,0
2015,3109006.0,1431.858993,9240,"41,208",Brumadinho,1,0
2015,3118007.0,1425.0517,15193,"55,836",Congonhas,0,0
2015,3133758.0,984.3214501,3327,"16,286",Itaú de Minas,0,0
