ano,id_municipio,avg_wage_dec,n_employ_dec,pop,nome,treated_group,treated_after_treatment
2022,3140159.0,1131.711248,2103,"15,814",Mário Campos,1,1
2022,3136652.0,1953.283686,9247,"27,823",Juatuba,1,1
2022,3163904.0,1677.193381,604,"4,563",São Pedro da União,0,0
2022,3155801.0,2044.538924,3597,"18,007",Rio Pomba,0,0
2022,3145505.0,1885.092547,400,"2,829",Olímpio Noronha,0,0
2022,3126000.0,1289.059963,1507,"7,602",Florestal,1,1
2022,3130002.0,1493.778245,397,"3,003",Ibituruna,0,0
2022,3152709.0,1164.60881,1942,"9,128",Prados,0,0
2022,3163102.0,1400.847264,970,"5,151",São José da Varginha,1,1
2022,3154804.0,1736.932476,1936,"10,524",Rio Acima,0,0
2022,3145604.0,1462.314061,10463,"41,987",Oliveira,0,0
2022,3147303.0,1772.166846,5629,"21,353",Paraisópolis,0,0
2022,3120805.0,1470.498245,3184,"15,529",Cruzília,0,0
2022,3125200.0,1999.84601,285,"2,374",Fama,0,0
2022,3122900.0,1190.650197,1255,"6,664",Dona Euzébia,0,0
2022,3123601.0,1481.259673,6121,"28,556",Elói Mendes,0,0
2022,3164308.0,1395.428782,1659,"7,100",São Roque de Minas,0,0
2022,3158953.0,1524.946033,6095,"36,048",Santana do Paraíso,0,0
2022,3139003.0,1464.525799,10258,"42,682",Machado,0,0
2022,3131000.0,1451.968044,1269,"6,352",Inhaúma,0,0
2022,3133808.0,1732.332869,30665,"94,455",Itaúna,0,0
2022,3169000.0,1496.949929,2970,"16,769",Tocantins,0,0
2022,3145901.0,2594.410801,15052,"40,220",Ouro Branco,0,0
2022,3139706.0,1319.491991,1693,"8,113",Maravilhas,1,1
2022,3126406.0,1647.509884,518,"2,986",Fortuna de Minas,1,1
2022,3137809.0,1484.291774,3265,"20,995",Lambari,0,0
2022,3162203.0,1528.739341,1584,"7,541",São João Batista do Glória,0,0
2022,3152600.0,1711.564804,1900,"5,862",Pouso Alto,0,0
2022,3138401.0,1409.776689,10462,"52,690",Leopoldina,0,0
2022,3131208.0,1354.244841,2887,"20,133",Ipanema,0,0
2022,3114709.0,1916.813043,405,"3,614",Carvalhópolis,0,0
2022,3101607.0,1856.675179,24467,"80,973",Alfenas,0,0
2022,3115904.0,1535.987136,432,"3,216",Chácara,0,0
2022,3146909.0,1235.578876,3632,"15,922",Papagaios,1,1
2022,3152907.0,1570.979849,1389,"8,530",Pratápolis,0,0
2022,3164407.0,1512.300584,2148,"5,598",São Sebastião da Bela Vista,0,0
2022,3138302.0,1507.236395,433,"3,222",Leandro Ferreira,0,0
2022,3113305.0,1441.628904,5492,"33,022",Carangola,0,0
2022,3138708.0,1209.396083,1135,"5,431",Luminárias,0,0
2022,3102308.0,1630.464727,2652,"15,135",Alvinópolis,0,0
2022,3165537.0,2155.936614,10736,"34,050",Sarzedo,0,0
2022,3106101.0,1686.543489,636,"3,422",Belmiro Braga,0,0
2022,3106002.0,1992.764217,1399,"10,269",Bela Vista de Minas,0,0
2022,3110301.0,1999.292378,2451,"14,600",Caldas,0,0
2022,3149606.0,1523.638681,762,"4,457",Pequi,1,1
2022,3142205.0,1618.13231,2667,"15,205",Miraí,0,0
2022,3154200.0,1427.671727,1479,"11,578",Resende Costa,0,0
2022,3152006.0,1629.292439,6460,"32,248",Pompéu,1,1
2022,3120904.0,1365.762362,21299,"81,085",Curvelo,0,0
2022,3166907.0,1344.098156,1279,"7,667",Serrania,0,0
2022,3165404.0,1396.424461,1330,"7,045",Sapucaí-Mirim,0,0
