ano,id_municipio,avg_wage_dec,n_employ_dec,pop,nome,treated_group,treated_after_treatment
2022,3144805.0,2637.312604,64973,"97,378",Nova Lima,0,0
2022,3131703.0,1824.957828,36018,"121,717",Itabira,0,0
2022,3145901.0,2594.410801,15052,"40,220",Ouro Branco,0,0
2022,3140001.0,1897.358329,20961,"61,830",Mariana,1,1
2022,3155702.0,1810.408516,2851,"14,325",Rio Piracicaba,0,0
2022,3125101.0,1704.007562,36662,"37,649",Extrema,0,0
2021,3155702.0,1676.558649,2643,"14,325",Rio Piracicaba,0,0
2021,3131703.0,1780.065984,34249,"121,717",Itabira,0,0
2021,3145901.0,2501.48837,13573,"40,220",Ouro Branco,0,0
2021,3144805.0,2497.994971,53446,"97,378",Nova Lima,0,0
2021,3125101.0,1559.241949,33845,"37,649",Extrema,0,0
2021,3140001.0,1780.940907,17528,"61,830",Mariana,1,1
2020,3140001.0,1801.346633,16981,"61,830",Mariana,1,1
2020,3155702.0,1687.074687,2495,"14,325",Rio Piracicaba,0,0
2020,3145901.0,2309.533388,12570,"40,220",Ouro Branco,0,0
2020,3131703.0,1696.814978,30948,"121,717",Itabira,0,0
2020,3144805.0,2377.646426,56130,"97,378",Nova Lima,0,0
2020,3125101.0,1446.456969,26671,"37,649",Extrema,0,0
2019,3145901.0,2267.202142,12491,"40,220",Ouro Branco,0,0
2019,3144805.0,2385.00303,57354,"97,378",Nova Lima,0,0
2019,3140001.0,1892.90433,16553,"61,830",Mariana,1,1
2019,3125101.0,1386.779612,24861,"37,649",Extrema,0,0
2019,3155702.0,1748.723945,2491,"14,325",Rio Piracicaba,0,0
2019,3131703.0,1593.504972,28858,"121,717",Itabira,0,0
2018,3125101.0,1566.373213,22215,"37,649",Extrema,0,0
2018,3140001.0,2000.791286,14204,"61,830",Mariana,1,1
2018,3131703.0,1658.16384,26510,"121,717",Itabira,0,0
2018,3144805.0,2614.59017,47591,"97,378",Nova Lima,0,0
2018,3155702.0,1883.484709,2324,"14,325",Rio Piracicaba,0,0
2018,3145901.0,2301.605726,11534,"40,220",Ouro Branco,0,0
2017,3144805.0,2389.190321,38480,"97,378",Nova Lima,0,0
2017,3140001.0,1719.866402,14142,"61,830",Mariana,1,1
2017,3145901.0,2436.272778,11397,"40,220",Ouro Branco,0,0
2017,3131703.0,1314.202088,26168,"121,717",Itabira,0,0
2017,3155702.0,1766.38384,2055,"14,325",Rio Piracicaba,0,0
2017,3125101.0,1534.928794,19805,"37,649",Extrema,0,0
2016,3155702.0,1333.528166,1641,"14,325",Rio Piracicaba,0,0
2016,3125101.0,1444.167414,16889,"37,649",Extrema,0,0
2016,3145901.0,1937.777721,11646,"40,220",Ouro Branco,0,0
2016,3144805.0,2484.181472,41748,"97,378",Nova Lima,0,0
2016,3131703.0,1788.081793,31302,"121,717",Itabira,0,0
2016,3140001.0,1532.34226,12542,"61,830",Mariana,1,1
2015,3131703.0,1507.622559,34786,"121,717",Itabira,0,0
2015,3125101.0,1305.785902,17204,"37,649",Extrema,0,0
2015,3140001.0,1700.9047,13200,"61,830",Mariana,1,1
2015,3145901.0,1836.467444,14671,"40,220",Ouro Branco,0,0
2015,3155702.0,1155.499647,1432,"14,325",Rio Piracicaba,0,0
2015,3144805.0,2096.858805,41939,"97,378",Nova Lima,0,0
2014,3140001.0,1288.896634,13928,"61,830",Mariana,1,0
2014,3125101.0,1181.947386,16700,"37,649",Extrema,0,0
2014,3144805.0,1896.312083,46369,"97,378",Nova Lima,0,0
2014,3155702.0,1307.514339,1706,"14,325",Rio Piracicaba,0,0
2014,3145901.0,1670.305517,16359,"40,220",Ouro Branco,0,0
2014,3131703.0,1552.765965,40967,"121,717",Itabira,0,0
2013,3144805.0,1768.289851,45486,"97,378",Nova Lima,0,0
2013,3155702.0,871.9196309,1511,"14,325",Rio Piracicaba,0,0
2013,3125101.0,1101.563921,16274,"37,649",Extrema,0,0
2013,3131703.0,1381.620782,39590,"121,717",Itabira,0,0
2013,3145901.0,1729.74757,16462,"40,220",Ouro Branco,0,0
2013,3140001.0,1505.899979,16393,"61,830",Mariana,1,0
2012,3155702.0,829.2223347,1570,"14,325",Rio Piracicaba,0,0
2012,3140001.0,1211.832837,12766,"61,830",Mariana,1,0
2012,3131703.0,1245.478707,40461,"121,717",Itabira,0,0
2012,3125101.0,945.5356967,14466,"37,649",Extrema,0,0
2012,3144805.0,1387.35491,47213,"97,378",Nova Lima,0,0
2012,3145901.0,1708.81731,16873,"40,220",Ouro Branco,0,0
2011,3145901.0,1578.843809,15863,"40,220",Ouro Branco,0,0
2011,3144805.0,1355.733967,40007,"97,378",Nova Lima,0,0
2011,3131703.0,1505.338861,39039,"121,717",Itabira,0,0
2011,3155702.0,762.0064354,1479,"14,325",Rio Piracicaba,0,0
2011,3125101.0,875.4508629,12899,"37,649",Extrema,0,0
2011,3140001.0,957.550547,11840,"61,830",Mariana,1,0
