Ano,Codigo do Municipio,Nome do Municipio,Nome da Unidade da Federacao,Valor adicionado bruto da Agropecuaria (1000),Valor adicionado bruto da Industria (1000),Valor adicionado bruto dos Serviços (1000),Valor adicionado bruto da Adm (1000),Valor adicionado bruto total (1000),"Impostos, liq de Subsidios, sobre produtos (1000)",PIB (1000),PIB per Capita (1)
2015,3100104,Abadia dos Dourados,Minas Gerais,42401.874,25857.404,57768.769,27777.48,153805.527,10674.888,164480.415,23446.96
2015,3100203,Abaeté,Minas Gerais,45169.832,25623.87,164927.245,80216.975,315937.922,23669.059,339606.982,14429.87
2015,3100302,Abre Campo,Minas Gerais,36432.021,11537.368,76712.504,48145.529,172827.423,10264.672,183092.095,13345.88
2015,3100401,Acaiaca,Minas Gerais,2409.945,1587.23,10639.245,16411.53,31047.95,826.254,31874.203,7858.53
2015,3100500,Açucena,Minas Gerais,13098.494,12740.271,18173.474,35912.891,79925.129,1775.043,81700.172,8057.22
2015,3100609,Água Boa,Minas Gerais,29315.281,4994.673,30919.399,49184.857,114414.209,3563.487,117977.696,8033.34
2015,3100708,Água Comprida,Minas Gerais,42309.98,4735.878,24202.497,14547.832,85796.187,3382.508,89178.695,43206.73
2015,3100807,Aguanil,Minas Gerais,10779.455,2494.394,15649.77,18389.083,47312.702,1744.471,49057.174,11225.9
2015,3100906,Águas Formosas,Minas Gerais,10863.932,15601.373,89711.09,69741.408,185917.804,11590.744,197508.548,10229.89
2015,3101003,Águas Vermelhas,Minas Gerais,15476.266,8014.535,84128.498,45007.429,152626.727,16013.343,168640.07,12541.09
2015,3101102,Aimorés,Minas Gerais,39093.728,94557.187,156242.974,89809.185,379703.074,17848.526,397551.6,15472.55
2015,3101201,Aiuruoca,Minas Gerais,15993.969,4379.168,29228.722,23114.225,72716.085,3569.23,76285.314,12225.21
2015,3101300,Alagoa,Minas Gerais,4519.73,1047.876,8223.747,15385.482,29176.835,754.82,29931.655,10844.8
2015,3101409,Albertina,Minas Gerais,8629.537,3508.803,39650.08,14664.135,66452.556,10165.625,76618.18,25261.52
2015,3101508,Além Paraíba,Minas Gerais,6847.488,143679.567,458909.321,121820.727,731257.103,81234.969,812492.072,22746.14
2015,3101607,Alfenas,Minas Gerais,94875.716,282574.312,1217279.697,276829.637,1871559.363,255020.165,2126579.528,27017.22
