UF,COD. UF,COD. MUNIC,nome,pop,ano,id_municipio
RO,11.0,15.0,Alta Floresta D'Oeste,25578,2015,1100015.0
RO,11.0,379.0,Alto Alegre dos Parecis,13940,2015,1100379.0
RO,11.0,403.0,Alto Paraíso,20210,2015,1100403.0
RO,11.0,346.0,Alvorada D'Oeste,17063,2015,1100346.0
RO,11.0,23.0,Ariquemes,104401,2015,1100023.0
RO,11.0,452.0,Buritis,37838,2015,1100452.0
RO,11.0,31.0,Cabixi,6355,2015,1100031.0
RO,11.0,601.0,Cacaulândia,6367,2015,1100601.0
RO,11.0,49.0,Cacoal,87226,2015,1100049.0
RO,11.0,700.0,Campo Novo de Rondônia,14220,2015,1100700.0
RO,11.0,809.0,Candeias do Jamari,24155,2015,1100809.0
RO,11.0,908.0,Castanheiras,3617,2015,1100908.0
RO,11.0,56.0,Cerejeiras,17986,2015,1100056.0
RO,11.0,924.0,Chupinguaia,10129,2015,1100924.0
RO,11.0,64.0,Colorado do Oeste,18817,2015,1100064.0
RO,11.0,72.0,Corumbiara,8842,2015,1100072.0
RO,11.0,80.0,Costa Marques,16651,2015,1100080.0
RO,11.0,940.0,Cujubim,20974,2015,1100940.0
RO,11.0,98.0,Espigão D'Oeste,32385,2015,1100098.0
RO,11.0,1005.0,Governador Jorge Teixeira,10127,2015,1101005.0
RO,11.0,106.0,Guajará-Mirim,46632,2015,1100106.0
RO,11.0,1104.0,Itapuã do Oeste,9995,2015,1101104.0
RO,11.0,114.0,Jaru,55738,2015,1100114.0
RO,11.0,122.0,Ji-Paraná,130419,2015,1100122.0
RO,11.0,130.0,Machadinho D'Oeste,37167,2015,1100130.0
RO,11.0,1203.0,Ministro Andreazza,10823,2015,1101203.0
RO,11.0,1302.0,Mirante da Serra,12360,2015,1101302.0
RO,11.0,1401.0,Monte Negro,15873,2015,1101401.0
RO,11.0,148.0,Nova Brasilândia D'Oeste,21592,2015,1100148.0
RO,11.0,338.0,Nova Mamoré,27600,2015,1100338.0
RO,11.0,1435.0,Nova União,7824,2015,1101435.0
RO,11.0,502.0,Novo Horizonte do Oeste,10276,2015,1100502.0
RO,11.0,155.0,Ouro Preto do Oeste,39924,2015,1100155.0
RO,11.0,1450.0,Parecis,5697,2015,1101450.0
RO,11.0,189.0,Pimenta Bueno,37512,2015,1100189.0
RO,11.0,1468.0,Pimenteiras do Oeste,2424,2015,1101468.0
RO,11.0,205.0,Porto Velho,502.748(1),2015,1100205.0
RO,11.0,254.0,Presidente Médici,22557,2015,1100254.0
RO,11.0,1476.0,Primavera de Rondônia,3501,2015,1101476.0
RO,11.0,262.0,Rio Crespo,3750,2015,1100262.0
RO,11.0,288.0,Rolim de Moura,56242,2015,1100288.0
RO,11.0,296.0,Santa Luzia D'Oeste,8532,2015,1100296.0
RO,11.0,1484.0,São Felipe D'Oeste,6103,2015,1101484.0
RO,11.0,1492.0,São Francisco do Guaporé,19002,2015,1101492.0
RO,11.0,320.0,São Miguel do Guaporé,23933,2015,1100320.0
RO,11.0,1500.0,Seringueiras,12581,2015,1101500.0
RO,11.0,1559.0,Teixeirópolis,5003,2015,1101559.0
RO,11.0,1609.0,Theobroma,11347,2015,1101609.0
RO,11.0,1708.0,Urupá,13293,2015,1101708.0
RO,11.0,1757.0,Vale do Anari,10843,2015,1101757.0
RO,11.0,1807.0,Vale do Paraíso,8231,2015,1101807.0
RO,11.0,304.0,Vilhena,91801,2015,1100304.0
AC,12.0,13.0,Acrelândia,13869,2015,1200013.0
AC,12.0,54.0,Assis Brasil,6738,2015,1200054.0
AC,12.0,104.0,Brasiléia,23849,2015,1200104.0
AC,12.0,138.0,Bujari,9339,2015,1200138.0
AC,12.0,179.0,Capixaba,10498,2015,1200179.0
AC,12.0,203.0,Cruzeiro do Sul,81519,2015,1200203.0
AC,12.0,252.0,Epitaciolândia,16731,2015,1200252.0
AC,12.0,302.0,Feijó,32385,2015,1200302.0
AC,12.0,328.0,Jordão,7509,2015,1200328.0
AC,12.0,336.0,Mâncio Lima,17173,2015,1200336.0
AC,12.0,344.0,Manoel Urbano,8641,2015,1200344.0
AC,12.0,351.0,Marechal Thaumaturgo,16895,2015,1200351.0
AC,12.0,385.0,Plácido de Castro,18159,2015,1200385.0
AC,12.0,807.0,Porto Acre,16757,2015,1200807.0
AC,12.0,393.0,Porto Walter,10759,2015,1200393.0
AC,12.0,401.0,Rio Branco,370550,2015,1200401.0
AC,12.0,427.0,Rodrigues Alves,16974,2015,1200427.0
AC,12.0,435.0,Santa Rosa do Purus,5809,2015,1200435.0
AC,12.0,500.0,Sena Madureira,41750,2015,1200500.0
AC,12.0,450.0,Senador Guiomard,21182,2015,1200450.0
AC,12.0,609.0,Tarauacá,38819,2015,1200609.0
AC,12.0,708.0,Xapuri,17608,2015,1200708.0
AM,13.0,29.0,Alvarães,15545,2015,1300029.0
AM,13.0,60.0,Amaturá,10847,2015,1300060.0
AM,13.0,86.0,Anamã,12320,2015,1300086.0
AM,13.0,102.0,Anori,19292,2015,1300102.0
AM,13.0,144.0,Apuí,20648,2015,1300144.0
AM,13.0,201.0,Atalaia do Norte,18133,2015,1300201.0
AM,13.0,300.0,Autazes,37033,2015,1300300.0
AM,13.0,409.0,Barcelos,27433,2015,1300409.0
AM,13.0,508.0,Barreirinha,30658,2015,1300508.0
AM,13.0,607.0,Benjamin Constant,39484,2015,1300607.0
AM,13.0,631.0,Beruri,18171,2015,1300631.0
AM,13.0,680.0,Boa Vista do Ramos,17668,2015,1300680.0
AM,13.0,706.0,Boca do Acre,33498,2015,1300706.0
AM,13.0,805.0,Borba,39292,2015,1300805.0
AM,13.0,839.0,Caapiranga,12420,2015,1300839.0
AM,13.0,904.0,Canutama,15130,2015,1300904.0
AM,13.0,1001.0,Carauari,27880,2015,1301001.0
AM,13.0,1100.0,Careiro,36435,2015,1301100.0
AM,13.0,1159.0,Careiro da Várzea,27981,2015,1301159.0
AM,13.0,1209.0,Coari,83078,2015,1301209.0
AM,13.0,1308.0,Codajás,26777,2015,1301308.0
AM,13.0,1407.0,Eirunepé,34025,2015,1301407.0
AM,13.0,1506.0,Envira,18786,2015,1301506.0
AM,13.0,1605.0,Fonte Boa,20742,2015,1301605.0
AM,13.0,1654.0,Guajará,15826,2015,1301654.0
AM,13.0,1704.0,Humaitá,51302,2015,1301704.0
AM,13.0,1803.0,Ipixuna,26860,2015,1301803.0
AM,13.0,1852.0,Iranduba,45984,2015,1301852.0
AM,13.0,1902.0,Itacoatiara,97122,2015,1301902.0
AM,13.0,1951.0,Itamarati,8179,2015,1301951.0
AM,13.0,2009.0,Itapiranga,8953,2015,1302009.0
AM,13.0,2108.0,Japurá,5125,2015,1302108.0
AM,13.0,2207.0,Juruá,13198,2015,1302207.0
AM,13.0,2306.0,Jutaí,16585,2015,1302306.0
AM,13.0,2405.0,Lábrea,43263,2015,1302405.0
AM,13.0,2504.0,Manacapuru,94175,2015,1302504.0
AM,13.0,2553.0,Manaquiri,28413,2015,1302553.0
AM,13.0,2603.0,Manaus,2057711,2015,1302603.0
AM,13.0,2702.0,Manicoré,53053,2015,1302702.0
AM,13.0,2801.0,Maraã,18423,2015,1302801.0
AM,13.0,2900.0,Maués,59983,2015,1302900.0
AM,13.0,3007.0,Nhamundá,20358,2015,1303007.0
AM,13.0,3106.0,Nova Olinda do Norte,35156,2015,1303106.0
AM,13.0,3205.0,Novo Airão,17671,2015,1303205.0
AM,13.0,3304.0,Novo Aripuanã,24315,2015,1303304.0
AM,13.0,3403.0,Parintins,111575,2015,1303403.0
AM,13.0,3502.0,Pauini,19378,2015,1303502.0
AM,13.0,3536.0,Presidente Figueiredo,32812,2015,1303536.0
AM,13.0,3569.0,Rio Preto da Eva,30530,2015,1303569.0
AM,13.0,3601.0,Santa Isabel do Rio Negro,22404,2015,1303601.0
AM,13.0,3700.0,Santo Antônio do Içá,23688,2015,1303700.0
AM,13.0,3809.0,São Gabriel da Cachoeira,43094,2015,1303809.0
AM,13.0,3908.0,São Paulo de Olivença,36536,2015,1303908.0
AM,13.0,3957.0,São Sebastião do Uatumã,12781,2015,1303957.0
AM,13.0,4005.0,Silves,9081,2015,1304005.0
AM,13.0,4062.0,Tabatinga,61028,2015,1304062.0
AM,13.0,4104.0,Tapauá,18152,2015,1304104.0
AM,13.0,4203.0,Tefé,62444,2015,1304203.0
AM,13.0,4237.0,Tonantins,18478,2015,1304237.0
AM,13.0,4260.0,Uarini,13121,2015,1304260.0
AM,13.0,4302.0,Urucará,17163,2015,1304302.0
AM,13.0,4401.0,Urucurituba,21140,2015,1304401.0
RR,14.0,50.0,Alto Alegre,16176,2015,1400050.0
RR,14.0,27.0,Amajari,11006,2015,1400027.0
RR,14.0,100.0,Boa Vista,320714,2015,1400100.0
RR,14.0,159.0,Bonfim,11739,2015,1400159.0
RR,14.0,175.0,Cantá,16149,2015,1400175.0
RR,14.0,209.0,Caracaraí,20261,2015,1400209.0
RR,14.0,233.0,Caroebe,9165,2015,1400233.0
RR,14.0,282.0,Iracema,10320,2015,1400282.0
RR,14.0,308.0,Mucajaí,16380,2015,1400308.0
RR,14.0,407.0,Normandia,10148,2015,1400407.0
RR,14.0,456.0,Pacaraima,11908,2015,1400456.0
